ID	Когда	Что_нужно	Проверенное_состояние	Ответственный	Как_предоставить	Оценка_активного_времени	Повторяемость	Какой_gate_блокирует	Что_продолжается_без_владельца
O01	Сейчас	Постоянный ADMIN_OWNER на новой почте владельца	Поручение получено; старый адрес ADMIN_OWNER; новая identity отсутствует; перенос ждёт OTP и адресного допуска	Контроллер/B	Подтверждение старой и новой почты непосредственно перед штатным переносом; постоянного пароля нет; OWNER_ACCESS.md	10–15 мин	При входе/утрате сессии	До live OTP	B05/B06, fake SMTP и auth tests
O02	Сейчас	Второй тестовый email/алиас	Один ранее подтверждённый email + новый адрес владельца; live изоляция не пройдена	B/A	Второй тестовый аккаунт для изоляции; второй провайдер почты полезен, не обязателен	5–10 мин	Редко	До live межаккаунтной проверки	Synthetic две учётки
O03	Сейчас	Создать своего Telegram-бота	Токен предоставлен 0600; getMe подтвердил выбранного бота	C04	BotFather; токен прямо в защищённый серверный telegram.env	10–15 мин	Ротация при утечке/смене бота	До запуска реального Telegram	Bot API mock и notifier tests
O04	Сейчас	Telegram user ID и chat ID	Числовой admin ID и private chat destination настроены; getChat подтверждён	C04	Числовой ID администратора и ID адресата; нажать Start своему боту; IP не нужен	5–10 мин	Смена администратора/чата	До уведомлений и WB bundle	Тестовая матрица авторизации без реальных отправок
O05	По готовности	Telegram: получение/текст/восстановление	LIVE_OWNER_RECEIPT_CONFIRMED владельцем; полный мониторинг/runtime ещё не принят	C04	Подтвердить одну тестовую тревогу и восстановление; время и отсутствие дублей	10–20 мин	После изменений пути доставки	До production мониторинга	Локальные retry/dedup/rate tests
O06	Сейчас	Ozon Seller Client ID + API key	Владелец подтвердил доступ; JSON ещё не загружен	A04	Своя консоль: python3 /root/octoport-owner-intake/fill_marketplace_json.py; скрытая вставка готового JSON, затем КОНЕЦ и ДА	10–15 мин	Ротация/изменение прав	До живых Ozon-сценариев	Fixtures и packaged tests
O07	Сейчас	Ozon Performance реквизиты	Владелец подтвердил доступ; JSON ещё не загружен	A04	Ввести в отдельную секцию того же магазина, не в чат/серверный env	5–10 мин	Ротация/изменение прав	До рекламы/ДРР/юнит-экономики	Seller-сценарии и synthetic реклама
O08	Сейчас	WB токен и нужные категории	Владелец подтвердил доступ; JSON/тип/права ещё не проверены	A04/C	Своя консоль: python3 /root/octoport-owner-intake/fill_marketplace_json.py; скрытая вставка готового JSON, затем КОНЕЦ и ДА	10–15 мин	Истечение/ротация	До live WB и внешней беты	Fixtures и карта разрешённых операций
O09	До беты	Допустимая WB схема авторизации сервиса	Актуальный текст сайта заблокирован 498	C/контроллер	Владелец открывает официальную страницу; регистрация разработчика/сервисные права только если реально нужны	15–30 мин + ожидание WB	При изменении правил	До публичного обещания совместимости	Исследование/локальные тесты; gate не засчитывается
O10	Сейчас	Второй реальный магазин одной площадки	Не подтверждён	A04	Указать наличие; ключи в UI. Переименованный дубликат первого магазина не второй кабинет	5–15 мин	Один раз	До live доказательства multi-store	Synthetic разные кабинеты без ложного LIVE PASS
O11	Сейчас	Разрешённые тестовые магазины/данные/LLM	Решение нужно	A/контроллер	Какие кабинеты и данные можно отправлять выбранному ИИ; без передачи покупательских данных сверх задачи	10 мин	Новая площадка/ИИ/аккаунт	До live бизнес-запросов	Только синтетические/обезличенные данные
O12	Сейчас	Периоды и часовой пояс	Нужно закрепить	A	Один закрытый месяц, последние 14 дней; часовой пояс, валюта, схемы поставок	10–15 мин	Новый цикл приёмки	До смысловой сверки	Тестовые фиксированные даты
O13	Сейчас	Контрольные итоги кабинета	Нет единого gold set	A/владелец	Выбрать 5–10 контрольных цифр из кабинета/официального отчёта; сбор файлов автоматизируется где можно	20–40 мин	При смене периода	До утверждения вычислений	Детерминированные synthetic расчёты
O14	После начальной бесплатной беты	Себестоимость и внешние расходы	OWNER_DEFERRED_AFTER_INITIAL_FREE_BETA; COGS не gate первой беты	Владелец/A	Локальный файл; период действия цены/COGS; правило распределения общих затрат, если нужна полная прибыль	20–60 мин при готовом учёте	При изменении расходов	Только будущее обещание полной прибыли с COGS; не начальную бесплатную бету	Считать вклад после расходов площадки и явно назвать границу
O15	По случаю	Контекст аварии/поставки/доставки	Может потребоваться для специальных кейсов	Владелец/A	Ссылка/дата/регион или разрешённый исторический пример; не выдумывать инцидент	5–15 мин	Для конкретного случая	До доказательства причинного сценария	Replay реального обезличенного примера, маркированный как replay
O16	По случаю	Поисковая аналитика/тарифные права	Не подтверждены	A	Указать доступ; не покупать тариф автоматически; конкуренты ссылками при недостатке поиска	10–20 мин	При смене тарифа	До CAP21–25 в полном объёме	Проверить безопасную границу; полноценную функцию не закрывать
O17	Сейчас	ChatGPT Standard/Work и Alice: тестовые аккаунты	OWNER_AUTHORIZED; отдельные технические сессии ещё надо provision/verify	A/C04	Войти самостоятельно в отдельный браузерный профиль; пароли/cookies не экспортировать в чат	15–30 мин	2FA/CAPTCHA/истечение сессии/лимиты	До live composer/file/Health	Публичные no-session checks и synthetic DOM
O18	Сейчас	Разрешение и изоляция профилей на сервере	OWNER_AUTHORIZED по существующим guards; не использовать личный fallback	A/C	Выбрать отдельные тестовые сессии без личной истории; подтверждение разрешённого использования	10 мин	Новый аккаунт/профиль	До authenticated automation	Оставить ввод/проверку на устройстве владельца
O19	Сейчас	Реальный Safari/macOS	Нет: только Windows и Linux; Safari gate остаётся незакрытым	A03	Mac владельца/тестера либо отдельно согласованная аренда; доступ/расходы не предполагать	15 мин организация + 20–40 тест	На release/изменение browser layer	До Safari PASS	Работать над прочими браузерами; Safari остаётся незакрытым
O20	Сейчас	Второе устройство/браузер	Не подтверждено	A02/A04	Указать доступные ОС/браузеры; установить два профиля по карточке	20–30 мин	Крупное изменение transfer/auth	До живого переноса и UX	Два изолированных server profiles + fault tests
O21	По готовности	Владелец принимает UX установки/Start/Finish	Ожидает проверенной RC	A06	Короткая карточка готовой сборки; без ручного дебага	20–40 мин	Существенное изменение UX	До приглашения беты	Автоматизация и дефекты до окна
O22	По готовности	Смысловые результаты 45×2×3	Новый продукт не принят	A/контроллер/владелец	Пакеты подготовленных результатов с периодом/источником; оценить бизнес-смысл	См. TEST_PLAN.md	Регрессия по затронутым семействам	До обещания соответствующих возможностей	Автосверка вычислений и сбор evidence
O23	По необходимости	Официальный WB OpenAPI bundle	HTTP498 возможен повторно	C03/C04	После готовности бота: видимый официальный сайт и один WB_OPENAPI_BUNDLE_V1 файл из 13 YAML	10–20 мин	При блокировке/обновлении источника	До свежей WB authority	Последний валидный snapshot только в разрешённых границах; не fresh PASS
O24	Сейчас	Владелец/контакты публикации	Publisher identity не подтверждена; запись пользователя Octoport не доказательство	Владелец/C	Публичное имя издателя, support email, адресат privacy/deletion; личные документы только магазину	20–30 мин	При изменении издателя	До store drafts/privacy pages	C готовит черновики без вымышленной личности
O25	Сейчас	Chrome Web Store developer	Не подтверждён	Владелец/C	Свой Google account, 2FA/проверки и регистрационный платёж по интерфейсу	20–40 мин + внешнее ожидание	Вход/verification	До подачи Chrome	ZIP/описания/иконки готовятся отдельно
O26	Сейчас	Mozilla AMO account	Не подтверждён	Владелец/C	Свой Mozilla account/верифицированная почта; подпись нужна и для unlisted release	10–20 мин	Вход/verification	До распространения Firefox release	Временная developer установка только для разработки
O27	Сейчас	Opera account	Не подтверждён	Владелец/C	Свой аккаунт издателя и подтверждения	10–20 мин	Вход/verification	До подачи Opera	Пакет/метаданные и совместимость Yandex
O28	Сейчас	Apple Developer/App Store Connect	Не подтверждён	Владелец/C	Личность/организация, 2FA, membership; платить только владельцу	30–60 мин + внешнее ожидание	Продление membership/вход	До Safari distribution	Проверить cloud packager; он не заменяет runtime тест
O29	До подачи	Support/privacy/install URL	Домен существует, страницы требуют проверки	C + отдельный сайт	Подтвердить контакты/описание обработки данных; минимальные страницы нужны до магазина	20–40 мин просмотр	Изменение данных/разрешений	До store review	C готовит тексты; SEO не блокирует технические страницы
O30	До подачи	Ревьюеру доступна проверка входа и функций	Не подготовлено	C/B	Тестовая учётка с синтетическими данными и законным входом; никакого постоянного OTP-backdoor	10–20 мин согласование	Ответы модерации	До store submit	Автотесты и видео не заменяют доступ, если он требуется
O31	До беты	Размер набора и приглашение первых тестеров	Сначала владелец один; затем общая capacity 100, 200, 300, шаг +100; не открывать сейчас	Владелец/B06	Число мест и способ связи; никаких рассылок без указания	10–20 мин	Следующая волна	До открытия регистрации	Нормальные локальные тесты закрытой беты
O32	До эксплуатации	Независимая копия backup/контакт хостинга	Не подтверждено	B05/C05	Если текущих ресурсов недостаточно: выбрать место/бюджет/восстановление доступа	15–30 мин	Продление/авария	До заявленной production recovery	Disposable restore на сервере не равен защите от потери всего сервера
O33	По готовности	Окно production/реальной миграции	Отдельный release gate	Владелец/C	Утвердить exact artifact, backup, проверенный план возврата, время риска	10–20 мин + контроль 20–30	Каждый рискованный выпуск	До production мутации	Подготовить/rehearse полностью на staging
