semantic_identity_id	cluster_id	cluster_state	m8_primary_state	canonical_display_text	task_signature_for_comparison	marketplace_scope	current_search_anchor_query_id	membership_basis	unresolved_external_material_hold_count	unmaterialized_supported_pair_count	upstream_m8_refs	claim_boundary
M8SID_0133a113dcbf6889	M9CL_998176896a32b481	HOLD_CLUSTER_BOUNDARY	WORKING	Интеграция Ozon Performance и ChatGPT (OpenAI)	CONNECT_OWN_AI	OZON	NONE	SINGLETON; 4 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	4	0	M8SID_0133a113dcbf6889; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_0943a1068e9402f4	M9CL_5807efab0bbb4b64	HOLD_CLUSTER_BOUNDARY	WORKING	загрузка отчетов с маркетплейсов	REPORT_ACCESS	GENERIC	M4QR2Q00025	SINGLETON; 38 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	38	0	M8SID_0943a1068e9402f4; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_096b2cc4a0b3c4f5	M9CL_7e11683d4b2f5d22	HOLD_CLUSTER_BOUNDARY	WORKING	Как анализировать отчет о продажах на Wildberries	REPORT_SALES	WILDBERRIES	M9BRW2Q_016_096b2cc4a0b3c4f5	SINGLETON; 17 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	17	1	M8SID_096b2cc4a0b3c4f5; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_0ce35825bf4cba3b	M9CL_ee5c28cd547da2e7	HOLD_CLUSTER_BOUNDARY	WORKING	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	REPORT_FUNNEL	WILDBERRIES	NONE	SINGLETON; 23 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	23	0	M8SID_0ce35825bf4cba3b; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_15cbb2efd88933f0	M9CL_8dc41c74759b520e	HOLD_CLUSTER_BOUNDARY	WORKING	плагин аналитики маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRQ_011_15cbb2efd88933f0	SINGLETON; 22 material external HOLD pair(s); 3 supported pair(s) remain separately traceable.	22	3	M8SID_15cbb2efd88933f0; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_171a63d986f4ed26	M9CL_de045ccdfbf546b3	HOLD_CLUSTER_BOUNDARY	WORKING	финансовые отчеты маркетплейсов	REPORT_FINANCIAL	GENERIC	M9BRQ_008_171a63d986f4ed26	SINGLETON; 30 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	30	0	M8SID_171a63d986f4ed26; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_17638a451bed5dec	M9CL_c055b49c1d4038d9	HOLD_CLUSTER_BOUNDARY	WORKING	сервис внутренней аналитики маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRQ_012_17638a451bed5dec	SINGLETON; 25 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	25	0	M8SID_17638a451bed5dec; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_1c0ee8bb00ecd201	M9CL_d42db04cbd6ea436	HOLD_CLUSTER_BOUNDARY	WORKING	Как правильно рассчитать ДРР на Wildberries?	AD_PERFORMANCE	WILDBERRIES	M9BRW2Q_015_1c0ee8bb00ecd201	SINGLETON; 15 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	15	0	M8SID_1c0ee8bb00ecd201; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_1d9b00510d4544c8	M9CL_d6e9196cf6453986	HOLD_CLUSTER_BOUNDARY	WORKING	Управление остатками на Wildberries: как использовать отчёт «История остатков»	REPORT_STOCK	WILDBERRIES	NONE	SINGLETON; 21 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	21	0	M8SID_1d9b00510d4544c8; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_21a051e61744f9fa	M9CL_ce7b5d6c7e756b52	HOLD_CLUSTER_BOUNDARY	WORKING	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	REPORT_FINANCIAL	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_21a051e61744f9fa; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
