semantic_identity_id	canonical_display_text	preacquisition_disposition	query_form_class	current_material_hold_degree	accepted_exact_query_authority	exact_query_text_if_authorized	provider_information_gain_status	provider_action_authorized	terminal_identity_disposition	carry_forward_state	reopen_trigger	evidence_refs	claim_boundary
M8SID_0133a113dcbf6889	Интеграция Ozon Performance и ChatGPT (OpenAI)	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	4	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_0133a113dcbf6889 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_0133a113dcbf6889 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_0ce35825bf4cba3b	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	23	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_0ce35825bf4cba3b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_0ce35825bf4cba3b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_1d9b00510d4544c8	Управление остатками на Wildberries: как использовать отчёт «История остатков»	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	21	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_1d9b00510d4544c8 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_1d9b00510d4544c8 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_21a051e61744f9fa	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	36	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_21a051e61744f9fa | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_21a051e61744f9fa | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_26313942bc9cfe04	Аналитика продаж на Вайлдберриз в программе для интеграции с маркетплейсами	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	25	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_26313942bc9cfe04 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_26313942bc9cfe04 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_2a1f3b8d04a0da08	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	36	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_2a1f3b8d04a0da08 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_2a1f3b8d04a0da08 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_3b03ea8b493492c0	Как сквозная аналитика продаж поможет вам больше зарабатывать на маркетплейсах	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	18	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3b03ea8b493492c0 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_3b03ea8b493492c0 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_400f6c28e9d7fc9b	Интеграция Claude AI (Anthropic) и Ozon Seller	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	1	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_400f6c28e9d7fc9b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_400f6c28e9d7fc9b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_50e949b2f6a4c494	Работа c маркетплейсом: отчеты и аналитика	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	60	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_50e949b2f6a4c494 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_50e949b2f6a4c494 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_544e197891683f4c	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	57	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_544e197891683f4c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_544e197891683f4c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
