target_id	registry_id	source_ranking_url	best_current_rank	source_execution_query_ids	source_exact_queries	fetch_attempted	observed_at	terminal_state	http_status_or_observation	redirect_chain	final_url	normalized_final_url	declared_canonical	normalized_canonical	content_available	m4c_existing_exact_url_status	m4c_existing_equivalent_or_canonical_status	m4c_existing_equivalent_url_id	m4c_proposed_url_state	notes	claim_boundary
M4QR2TR0001	REG019	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	6	M4QR2Q00002	chatgpt для wildberries	true	2026-09-23T09:00:51.837Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/			true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0002	REG019	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	2	M4QR2Q00034	отчет о списаниях маркетплейс	true	2026-09-23T09:02:09.592Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743			true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	14	M4QR2Q00032	отчет маркетплейса вайлдберриз	true	2026-09-23T09:02:09.592Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0004	REG022	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	9	M4QR2Q00014 || M4QR2Q00038	поисковые запросы wildberries || поисковые запросы wildberries для продавца	true	2026-09-23T09:02:55.912Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0005	REG022	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	14	M4QR2Q00044	чистая прибыль на маркетплейсе	true	2026-09-23T09:04:07.917Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0006	REG022	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	9	M4QR2Q00009	как заполнить карточку товара wildberries	true	2026-09-23T09:04:37.232Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0007	REG022	https://marpla.ru/blog/raschet-drr-na-wildberries/	2	M4QR2Q00024	дрр wildberries	true	2026-09-23T09:05:23.376Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://marpla.ru/blog/raschet-drr-na-wildberries/	https://marpla.ru/blog/raschet-drr-na-wildberries/	https://marpla.ru/blog/raschet-drr-na-wildberries/	https://marpla.ru/blog/raschet-drr-na-wildberries/	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0008	REG022	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	15	M4QR2Q00009	как заполнить карточку товара wildberries	true	2026-09-23T09:05:53.083Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0009	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	7	M4QR2Q00035 || M4QR2Q00036	отчеты маркетплейсов || отчеты продаж маркетплейсов	true	2026-09-23T09:02:09.592Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
M4QR2TR0010	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	2	M4QR2Q00025 || M4QR2Q00033	загрузка отчетов с маркетплейсов || отчет маркетплейса озон	true	2026-09-23T09:04:07.924Z	INSPECTED	HTTP_STATUS_NOT_EXPOSED_BY_BROWSER; public HTML rendered	SOURCE_EQUALS_RENDERED_FINAL; intermediate HTTP hops not exposed by browser	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	true	ABSENT_CONFIRMED_59_59	NO_ACCEPTED_FINAL_OR_CANONICAL_URL_MATCH		ADD_CURRENT_EXACT_RANKING_URL_AND_FRESH_PAGE_CONTEXT	Browser exposes rendered final URL and DOM but not HTTP status/intermediate redirect hops; do not infer a 2xx status. No accepted exact final/canonical page row.	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION
