input_group	role	path	blob_sha	size_bytes	required	notes
LEVEL1	RULE	docs/seo/LEVEL1/README.md	4c3a30644ac736b926ec82bba6b1a6e33434ac06		true	Read complete frozen file; preserve source provenance.
LEVEL1	RULE	docs/seo/EXECUTION_RULES.md	4e999af4826d6f72fd15f481a698f674c8ed2d5c		true	Read complete frozen file; preserve source provenance.
LEVEL1	RULE	docs/seo/WORK_HANDOFF_RULE.md	71a031e74b921dade5998beb842fb3afcc4478e7		true	Read complete frozen file; preserve source provenance.
LEVEL1	RULE	docs/seo/QUALITY_FIRST_RESOURCE_RULE.md	9917a52b837bcb8ae50eb63cc53e7becd1671b39		true	Read complete frozen file; preserve source provenance.
LEVEL1	PRODUCT	docs/seo/PRODUCT_TRUTH.md	6a469d5743142d3e476afa5d2cda653fd411ecb8		true	Read complete frozen file; preserve source provenance.
LEVEL1	METHOD	docs/seo/METHODOLOGY.md	6a85c53ec7994e3f68636dccc49c71d5be95d5ae		true	Read complete frozen file; preserve source provenance.
LEVEL2	RULE	docs/seo/LEVEL2/OCTOPORT_STEP_RULES_INDEX.md	2438ed88a5d129b41dca88d2f87a22bc4b3515cd		true	Read complete frozen file; preserve source provenance.
LEVEL2	RULE	docs/seo/LEVEL2/M4_SEARCH_COMPETITOR_LANDING_RULES.md	3ef9e456dd724500f1b4068236a80211d1fb69be		true	Read complete frozen file; preserve source provenance.
ACCEPTANCE	AUTHORITY	docs/seo/serp/competitors/M4A_R3_MAIN_CHAT_RETURN_QA_2026-09-18.md	97a802d24537a8829c773b10bc9ce26330e681ae		true	Read complete frozen file; preserve source provenance.
ACCEPTANCE	AUTHORITY	docs/seo/serp/competitors/M4B1_R2_MAIN_CHAT_MERGED_QA_2026-09-18.md	dee0ef305301f2d81855fc72595654844b48a04a		true	Read complete frozen file; preserve source provenance.
ACCEPTANCE	AUTHORITY	docs/seo/serp/competitors/M4B1_R3_REACQUISITION_R1_MAIN_CHAT_ACCEPTANCE_2026-09-22.md	f0ccd9babedac919a95e98995f2930a3447f95c2		true	Read complete frozen file; preserve source provenance.
ACCEPTANCE	AUTHORITY	docs/seo/serp/competitors/M4B1_R5_A1_MAIN_CHAT_FINAL_ACCEPTANCE_2026-09-22.md	aa129da41a5eeb13c4c0f93b1e1156a4dad86c1b		true	Read complete frozen file; preserve source provenance.
ACCEPTANCE	AUTHORITY	docs/seo/serp/competitors/M4B2_R1_MAIN_CHAT_FINAL_ACCEPTANCE_2026-09-22.md	9e086c28da48fe34a6886d28181bad29846e60f4		true	Read complete frozen file; preserve source provenance.
ACCEPTANCE	AUTHORITY	docs/seo/serp/competitors/M4Q_R1_SOURCE_LIMITATION_ACCEPTANCE_2026-09-22.md	c51cdabdaee86b87b9fb7ee023d5bf9221607fc8		true	Read complete frozen file; preserve source provenance.
M4A_R3	DATA	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_COMPETITOR_REGISTRY.tsv	822155d7cebcbcf5cf8cdaef0f92782d5f84cd59	30421	true	Read complete frozen file; preserve source provenance.
