candidate_id	registry_id	page_id	raw_term_short	evidence_locator	candidate_type	normalized_key	relation_to_existing_octoport_evidence	status	m6_validation_required	reason
M4B2C00001	REG005	M4B2P00001	Только качественные заявки с СМС-верификацией от api-master.ru	https://api-master.ru/blog/business-idea-for-marketplace-sellers :: title/H1/headings/public body captured 2026-09-22T04:15:10+00:00	PUBLIC_PAGE_TOPIC	только качественные заявки с смс верификацией от api master ru	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00002	REG005	M4B2P00002	Бизнес Услуг для селлеров маркетплейсов	https://api-master.ru/blog/business-on-marketplaces :: title/H1/headings/public body captured 2026-09-22T04:15:01+00:00	PUBLIC_PAGE_TOPIC	бизнес услуг для селлеров маркетплейсов	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	POSSIBLE_VARIANT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00003	REG005	M4B2P00003	Как загрузить данные из API WB, Ozon в Yandex Cloud и ваш SQL сервер	https://api-master.ru/blog/free-of-charge-cloud-server-yandex-cloud-free-teer :: title/H1/headings/public body captured 2026-09-22T04:15:10+00:00	PUBLIC_PAGE_TOPIC	как загрузить данные из api wb ozon в yandex cloud и ваш sql сервер	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00004	REG005	M4B2P00004	Как правильно подключать chatGPT к OZON и WB. С помощью Actions, БД и API	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb :: title/H1/headings/public body captured 2026-09-22T03:53:43+00:00	PUBLIC_PAGE_TOPIC	как правильно подключать chatgpt к ozon и wb с помощью actions бд и api	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00005	REG005	M4B2P00005	Как быстро получить рекламный отчёт Ozon используя chatGPT или Claude Code с помощью Actions, БД и MCP	https://api-master.ru/blog/how-to-get-ads-reports-ozon-api-using-ai-agents :: title/H1/headings/public body captured 2026-09-22T04:15:11+00:00	PUBLIC_PAGE_TOPIC	как быстро получить рекламный отчёт ozon используя chatgpt или claude code с помощью actions бд и mcp	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00006	REG005	M4B2P00006	Только качественные заявки с СМС-верификацией от api-master.ru	https://api-master.ru/blog/how-to-uptoad-wb-ozon-ym-api-data-to-db-to-yandex-cloud-free :: title/H1/headings/public body captured 2026-09-22T04:15:10+00:00	PUBLIC_PAGE_TOPIC	только качественные заявки с смс верификацией от api master ru	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00007	REG005	M4B2P00007	Только качественные заявки с СМС-верификацией от api-master.ru	https://api-master.ru/blog/lead-sms-verification-real-estate :: title/H1/headings/public body captured 2026-09-22T04:15:01+00:00	PUBLIC_PAGE_TOPIC	только качественные заявки с смс верификацией от api master ru	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00008	REG005	M4B2P00008	Только качественные заявки с СМС-верификацией от api-master.ru	https://api-master.ru/blog/marketolog-verification-sms :: title/H1/headings/public body captured 2026-09-22T04:15:01+00:00	PUBLIC_PAGE_TOPIC	только качественные заявки с смс верификацией от api master ru	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00009	REG005	M4B2P00009	Как выгрузить данные из OZON API о рекламных кампаниях и оптимизировать рекламу	https://api-master.ru/ozon-api-blog/fetching-ads-campaigns-from-ozon-api :: title/H1/headings/public body captured 2026-09-22T04:15:01+00:00	PUBLIC_PAGE_TOPIC	как выгрузить данные из ozon api о рекламных кампаниях и оптимизировать рекламу	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	ALREADY_PRESENT	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
M4B2C00010	REG005	M4B2P00010	Настройка и ведение внутренней рекламы Ozon, Wildberries	https://api-master.ru/services/ads-manager-marketplace-ozon-wb :: title/H1/headings/public body captured 2026-09-22T04:15:01+00:00	PUBLIC_PAGE_TOPIC	настройка и ведение внутренней рекламы ozon wildberries	DIRECT_OR_ADJACENT_USE_CASE_OVERLAP	NEW_CANDIDATE	true	Observed public competitor/editorial/native topic only; requires M6 demand validation and later governance before any cluster/page decision.
