semantic_identity_id	hold_class	exact_unknown	current_evidence	missing_evidence	why_not_guess	blocking_for_m9	reopen_trigger	claim_boundary
M8SID_45517d8af3a1541c	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC02344:HOLD_AMBIGUOUS	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_ec86821b212c9c2a	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC04621:HOLD_AMBIGUOUS	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_992b60fdd5f4525e	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_055bd5ccc02b0e97	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06082:HOLD_AMBIGUOUS	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_87c8e545cbd5ba95	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06085:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_a54fef6a67c9c28a	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06089:NO_INCREMENTAL_INFORMATION_GAIN	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_3058b9a1173025f2	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06096:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_ffd1a113c375f2b7	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06093:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_21812c378cd1d956	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06090:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_f6401c67e45e33a1	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06098:NO_INCREMENTAL_INFORMATION_GAIN	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
