diagnostic_id	diagnostic_class	tested_universe	observed_finding	affected_semantic_identity_ids	expected_control	final_resolution	rows_changed_after_qa	sibling_impact	evidence_refs
M9BRDIAG_001	DEMAND_ONLY_PROMOTION	all 82 / Wave 1	3 selected seeds with bounded/empty evidence; all also have a named one-sided M9 HOLD.	M8SID_c4d7f4ca514dc5fd | M8SID_e008cf0c1b28b363 | M8SID_e10faa73a1384257	Demand does not itself select a query.	PASS; no inferred positive demand.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv; docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv
M9BRDIAG_002	COMPETITOR_TITLE_RELEASE	all 82	33 titles/source phrases held; selected titles = 0.		Source wording alone cannot be a query release.	PASS; title candidates excluded from Wave 1.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv
M9BRDIAG_003	NATURAL_NO_DEMAND_REJECTED	all 82	11 natural exact probes retained as query form despite absent Wordstat; selected 3.	M8SID_3bf57790dda15865 | M8SID_7c23963a6f4bc9db | M8SID_f326261dec0f180d	Missing Wordstat is not a veto.	PASS; remaining natural candidates retain bounded disposition.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv
M9BRDIAG_004	QUERY_REWRITE	Wave 1	0 changed texts.		Byte-for-text M8 canonical display equality.	PASS; no rewrite.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv
M9BRDIAG_005	EXISTING_SNAPSHOT_DUPLICATE	Wave 1	0 duplicate exact current anchor texts.		No existing exact RU225 Search request repeated.	PASS.	0	Full 82 inspected; zero QA changes.	docs/seo/M9_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv
M9BRDIAG_006	UNNAMED_GRAPH_GAIN	Wave 1	0 without a one-sided HOLD.		Every selected row names an accepted HOLD pair and prospective bilateral Search comparison.	PASS.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv
M9BRDIAG_007	HIGH_DEGREE_TITLE	all 82	Top five title material degrees: [60, 60, 57, 57, 57]; none released.	M8SID_50e949b2f6a4c494 | M8SID_a5452022da8e1c54 | M8SID_b494df2d754aba5f | M8SID_c673d63396e872d3 | M8SID_ed858336de500ab2	High graph degree never overrides editorial query form.	PASS.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv
M9BRDIAG_008	SUPPORTED_MERGE_ORDER	all eligible candidates	26 releasable blocker candidates; 25 selected; order equals frozen rank.	M8SID_15cbb2efd88933f0 | M8SID_171a63d986f4ed26 | M8SID_17638a451bed5dec | M8SID_3ac8d30877f874f9 | M8SID_3b92dfcc2a1d077e | M8SID_3bf57790dda15865 | M8SID_3e26a6dc912542f5 | M8SID_41128f837d61e865 | M8SID_4d97378705ba844a | M8SID_4ffce42718223241 | M8SID_50ea99098ca3f75a | M8SID_6abd740c63a2528a | M8SID_6eb6592464294694 | M8SID_78187c521b37867e | M8SID_7c23963a6f4bc9db | M8SID_8332eb45850054b1 | M8SID_8850a7f387c57a62 | M8SID_9ebe0f620e9744e6 | M8SID_ad9d528ae20638a6 | M8SID_c4d7f4ca514dc5fd | M8SID_e008cf0c1b28b363 | M8SID_e10faa73a1384257 | M8SID_f1b688e71eecda16 | M8SID_f326261dec0f180d | M8SID_f56a9426dbf7f0a2 | M8SID_fb4d67f1c380d11c	Blocker first, then exact numeric order.	PASS.	0	Full 82 inspected; zero QA changes.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv
M9BRDIAG_009	CEILING_NOT_TARGET	all 82	44 gated candidates; 25 selected by a cap of 25.		Zero or fewer than 25 valid when fewer pass; never fill from source titles.	PASS; bounded.	0	Full 82 inspected; zero QA changes.	docs/seo/M9_BOUNDARY_RESOLUTION_STEP_PREPARATION_2026-09-24_R1.md
M9BRDIAG_010	PROVIDER_LIMIT_TRUNCATION	all 82	0 over limit; selected over limit = 0.		No truncation; exact Unicode codepoints and whitespace words.	PASS.	0	Full 82 inspected; zero QA changes.	docs/seo/M9_BOUNDARY_RESOLUTION_STEP_PREPARATION_2026-09-24_R1.md
