occurrence_id	authority_query_id	query_text	query_family	rank	rank_bucket	raw_url	normalized_url	host	registrable_domain	title	snippet_or_description	target_relevance	page_type	content_format	market_surface	entity_collision	classification_basis	classification_confidence	source_export_path	source_analysis_path	source_revision_or_hash	authority_status	notes
S01-01	S01	ии агенты для маркетплейсов	F1,F9	1	TOP3	https://berkuz.ru/	https://berkuz.ru/	berkuz.ru	berkuz.ru	AI‑агенты для управления магазином на Wildberries и Ozon	AI-агенты БЕРКУЗ управляют магазином на Wildberries и Ozon: SEO, реклама, остатки, финансы и отзывы. 7 дней бесплатно, без привязки карты. … AI-ассистент на ваш сайт. Уже есть сайт? Подключим «AI-Агента» под ключ — он возьмёт на себя аналитику и рутину. Интеграция с текущим сайтом. 8 AI-агентов для маркетплейсов. Отчёты и подсказки 24/7.	TARGET_RELEVANT	ADVERTISING_TOOL_OR_SERVICE_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-02	S01	ии агенты для маркетплейсов	F1,F9	2	TOP3	https://openclaw.ru/for/marketplejsy/obyavleniya	https://openclaw.ru/for/marketplejsy/obyavleniya	openclaw.ru	openclaw.ru	ИИ для объявлений на маркетплейсах: карточки товаров с ИИ...	Вопросы про ИИ для маркетплейсов. Агент знает требования конкретного маркетплейса? Да. Агент знает ограничения Wildberries, Ozon и Яндекс Маркет: длину заголовков, формат описаний, обязательные атрибуты. … ИИ агент для маркетплейсов. Полный обзор: аналитика, цены, конкуренты, отзывы.	TARGET_RELEVANT	SEARCH_OR_NICHE_ANALYTICS_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-03	S01	ии агенты для маркетплейсов	F1,F9	3	TOP3	https://ilai.io/	https://ilai.io/	ilai.io	ilai.io	ILAI - виртуальный помощник с ИИ для маркетплейсов		TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-04	S01	ии агенты для маркетплейсов	F1,F9	4	TOP10_REST	https://secrets.tbank.ru/blogi-kompanij/kak-sdelat-ii-agenta-dlya-sellera/	https://secrets.tbank.ru/blogi-kompanij/kak-sdelat-ii-agenta-dlya-sellera	secrets.tbank.ru	tbank.ru	Создание ИИ-агентов для селлеров на маркетплейсах	Как разработать ИИ агента и оптимизировать бизнес на Озон, WB и других маркетплейсах. … Процесс с ИИ‑агентом на No‑code решении. Комплексная автоматизация с ИИ‑агентами. Экономика автоматизации: цифры и факты. Почему автоматизация — это не просто модно, а выгодно. На российских маркетплейсах работают более 1 миллиона продавцов.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	EDITORIAL_OR_PUBLISHER	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-05	S01	ии агенты для маркетплейсов	F1,F9	5	TOP10_REST	https://habr.com/ru/articles/1010000/	https://habr.com/ru/articles/1010000	habr.com	habr.com	Что такое ИИ-агенты для бизнеса: Понятное руководство... / Хабр	Компания Anthropic (создатели ИИ-модели Claude) опубликовала техническую статью о том, как правильно строить ИИ-агентов. Статья написана для программистов, но идеи в ней настолько важные, что каждый предприниматель должен их понимать. Я перевёл эту статью на язык бизнеса. Все примеры — из жизни селлера на маркетплейсах.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	EDITORIAL_OR_PUBLISHER	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-06	S01	ии агенты для маркетплейсов	F1,F9	6	TOP10_REST	https://mpstats.io/instruments/connect-ai	https://mpstats.io/instruments/connect-ai	mpstats.io	mpstats.io	Подключите аналитику маркетплейсов к AI-агентам	Подключите аналитику маркетплейсов к AI-агентам. Агент запрашивает данные Внешней аналитики MPSTATS, выбирает нужные методы и собирает аналитику по товарам, нишам, брендам и конкурентам. Подключить скилл. Получить API-ключ.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-07	S01	ии агенты для маркетплейсов	F1,F9	7	TOP10_REST	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	www.kt-team.ru	kt-team.ru	ИИ агенты для маркетплейсов	ИИ агенты автоматизируют ключевые процессы работы с маркетплейсами: управление карточками, ценообразование, сбор аналитики, контроль остатков, ответы покупателям, модерации и отчеты. Решение снижает ручную нагрузку и помогает продавцам быстрее масштабировать продажи. Контент, цены, остатки и аналитика под контролем.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-08	S01	ии агенты для маркетплейсов	F1,F9	8	TOP10_REST	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	ascn.ai	ascn.ai	ИИ-агент для маркетплейсов 2026: Автоматизация... - Ascn.ai	Интеграция ИИ-агентов с маркетплейсами и системами. Чтобы агент работал как надо, он должен разговаривать с маркетплейсами, CRM, складом и курьерами. Непосредственный канал общения — API, через который передаются запросы и ответы от одной системы к другой.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-09	S01	ии агенты для маркетплейсов	F1,F9	9	TOP10_REST	https://openclaw.ru/for/marketplejsy	https://openclaw.ru/for/marketplejsy	openclaw.ru	openclaw.ru	ИИ агент для маркетплейсов: примеры, кейсы и инструкция		TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-10	S01	ии агенты для маркетплейсов	F1,F9	10	TOP10_REST	https://jvo.ru/agent	https://jvo.ru/agent	jvo.ru	jvo.ru	Персональный AI-менеджер для автоматизации на...	Агент с искусственным интеллектом для создания и автоматизации бизнес-процессов на маркетплейсах. Ваш бизнес работает 24/7. … Дживио Агент — персональный AI-менеджер, который управляет ценами, отвечает на отзывы, следит за остатками и анализирует данные. Экономит до 500 часов в месяц.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
