target_id	registry_id	source_ranking_url	terminal_state	final_url	page_role	content_relevance	m4c_change_class	m4c_change_summary	candidate_delta_count	new_candidate_count	possible_variant_count	affected_existing_candidate_ids	proposed_m6_effect	search_visibility_demand_boundary	recommended_next_state	confidence	evidence_refs	notes
M4QR2TR0001	REG019	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	INSPECTED	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	ARTICLE_OR_GUIDE	ADJACENT_MIXED_SELLER_TASK_AND_UNSUPPORTED_ACTION_BOUNDARY	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	1	1		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0001 || PassB: M4QR2Q00002 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0002	REG019	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	INSPECTED	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	ARTICLE_OR_GUIDE	OUT_OF_LAUNCH_PRODUCT_SCOPE_OR_EXTERNAL_INTELLIGENCE	OUT_OF_SCOPE	Current page is an accepted-entity ranking URL, but its dominant task is external intelligence/accounting or another unsupported launch scope.	1	0	0		NO_CHANGE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0002 || PassB: M4QR2Q00034 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	INSPECTED	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	5	4	0	M4CCAND003557	ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0003 || PassB: M4QR2Q00032 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0004	REG022	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	INSPECTED	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	2	0		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0004 || PassB: M4QR2Q00014 || M4QR2Q00038 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0005	REG022	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	INSPECTED	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	1	1		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0005 || PassB: M4QR2Q00044 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0006	REG022	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	INSPECTED	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	1	1		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0006 || PassB: M4QR2Q00009 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0007	REG022	https://marpla.ru/blog/raschet-drr-na-wildberries/	INSPECTED	https://marpla.ru/blog/raschet-drr-na-wildberries/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	2	0		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0007 || PassB: M4QR2Q00024 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0008	REG022	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	INSPECTED	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	2	0		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0008 || PassB: M4QR2Q00009 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0009	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	INSPECTED	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	HELP_DOCUMENTATION	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	1	0	1		KEEP_EXISTING_VALIDATION_ROUTE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0009 || PassB: M4QR2Q00035 || M4QR2Q00036 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0010	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	INSPECTED	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	HELP_DOCUMENTATION	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	1	0	1		KEEP_EXISTING_VALIDATION_ROUTE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0010 || PassB: M4QR2Q00025 || M4QR2Q00033 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
