semantic_identity_id	canonical_display_text	anchor_source	source_query_id	exact_query_text	search_evidence_refs	m4a_authority_query_id	m4a_dominant_top10_page_type	m4a_intent_confidence	search_type	region	depth	group_mode	docs_in_group	family_mode	fix_typo_mode	url_overlap_field	domain_overlap_field	snapshot_role	overlap_source_path	overlap_source_identity	full_snapshot_identity
M8SID_8c1225a6582027f4	chatgpt для ozon	M4Q_R2	M4QR2Q00001	chatgpt для ozon	M4A:R02 | M4Q:M4QR2Q00001:SERP100	R02	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	HIGH	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00001:RU225:TOP100
M8SID_a6dbb52f9468a6a4	chatgpt для wildberries	M4Q_R2	M4QR2Q00002	chatgpt для wildberries	M4A:R03 | M4Q:M4QR2Q00002:SERP100	R03	CREATIVE_OR_CARD_TOOL_PAGE	MEDIUM	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00002:RU225:TOP100
M8SID_fd88d7d9e3b2e406	chatgpt для маркетплейсов	M4Q_R2	M4QR2Q00016	chatgpt для маркетплейсов	M4Q:M4QR2Q00016:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00016:RU225:TOP100
M8SID_91db5a13422632c2	дрр wildberries	M4Q_R2	M4QR2Q00024	дрр wildberries	M4Q:M4QR2Q00024:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00024:RU225:TOP100
M8SID_0943a1068e9402f4	загрузка отчетов с маркетплейсов	M4Q_R2	M4QR2Q00025	загрузка отчетов с маркетплейсов	M4Q:M4QR2Q00025:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00025:RU225:TOP100
M8SID_bc3305b7d5adfb2b	ии агент для wildberries	M4Q_R2	M4QR2Q00006	ии агент для wildberries	M4A:S03 | M4Q:M4QR2Q00006:SERP100	S03	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	HIGH	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00006:RU225:TOP100
M8SID_d0cfc29dc443bd98	ии агент для озон	M4Q_R2	M4QR2Q00007	ии агент для озон	M4A:S02 | M4Q:M4QR2Q00007:SERP100	S02	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	HIGH	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00007:RU225:TOP100
M8SID_8df9f34f2bb7e11a	ии агенты для маркетплейсов	M4Q_R2	M4QR2Q00008	ии агенты для маркетплейсов	M4A:S01 | M4Q:M4QR2Q00008:SERP100	S01	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	HIGH	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00008:RU225:TOP100
M8SID_3251f136551cd109	ии ассистент для маркетплейсов	M4Q_R2	M4QR2Q00026	ии ассистент для маркетплейсов	M4Q:M4QR2Q00026:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00026:RU225:TOP100
M8SID_3584fdc5b76fc551	ии для аналитики маркетплейсов	M4Q_R2	M4QR2Q00027	ии для аналитики маркетплейсов	M4Q:M4QR2Q00027:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00027:RU225:TOP100
