case_id	m5_hypothesis_id	cluster_id	semantic_identity_id	current_query_id	link_basis	link_evidence	baseline_owner_state	baseline_page_role_state	current_material_hold_degree	diagnostic_relevance	evidence_refs	m10d_case_outcome	cluster_effect_class	causal_rationale	m11_constraint	evidence_refs
M10BCASE_e5e5533784063649	M5H00001	M9CL_f0e07ec6b2f588c0	M8SID_b02e9e70557692e0	M4QR2Q00028	DIRECT_CURRENT_QUERY_LINK	M5:M5H00001:source_evidence_refs:M4QR2Q00028 -> M10A:M9CL_f0e07ec6b2f588c0; exact Search wording in docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	14	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. Frozen page role/owner HOLD for ии помощник селлера.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028	HOLD	HOLD	Primary ии помощник селлера: Both snapshots repeatedly combine seller-report assistance with third-party card export, promotions and broad management; no consistent read-only-versus-autonomous answer separates the primary helper task from adjacent agent tasks.	Carry unresolved AI evidence for this target to M11; do not infer ownership or product claims.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0
M10BCASE_e5e5533784063649	M5H00001	M9CL_086ce4445a21d4fd	M8SID_d0cfc29dc443bd98	M4QR2Q00007	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_003b80aeed4307e6 connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_086ce4445a21d4fd; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	9	Adjacent unresolved M10A boundary for ии агент для озон, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_003b80aeed4307e6 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии агент для озон: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии агент для озон. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd
M10BCASE_e5e5533784063649	M5H00001	M9CL_b875735bfe0783e3	M8SID_bc3305b7d5adfb2b	M4QR2Q00006	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_1d018d5c5d9e4732 connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_b875735bfe0783e3; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	8	Adjacent unresolved M10A boundary for ии агент для wildberries, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_1d018d5c5d9e4732 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии агент для wildberries: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии агент для wildberries. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3
M10BCASE_e5e5533784063649	M5H00001	M9CL_3291d5bba9e4f595	M8SID_c41c83a50b6900cb	M9BRW2Q_007_c41c83a50b6900cb	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_2d68e30a77ccc511 connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_3291d5bba9e4f595; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	10	Adjacent unresolved M10A boundary for ии агенты маркетплейсы отчеты, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_2d68e30a77ccc511 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3291d5bba9e4f595 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии агенты маркетплейсы отчеты: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии агенты маркетплейсы отчеты. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3291d5bba9e4f595
M10BCASE_e5e5533784063649	M5H00001	M9CL_25bf819e5778d7d3	M8SID_8df9f34f2bb7e11a	M4QR2Q00008	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_4f46ceccce6058ad connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_25bf819e5778d7d3; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	10	Adjacent unresolved M10A boundary for ии агенты для маркетплейсов, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_4f46ceccce6058ad | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии агенты для маркетплейсов: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии агенты для маркетплейсов. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3
M10BCASE_e5e5533784063649	M5H00001	M9CL_a03366ab2f0a93ef	M8SID_21a8a6bdb4a71db0	M9BRW2Q_005_21a8a6bdb4a71db0	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_543c488005cfc692 connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_a03366ab2f0a93ef; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	10	Adjacent unresolved M10A boundary for ии агент для селлера, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_543c488005cfc692 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_a03366ab2f0a93ef | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии агент для селлера: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии агент для селлера. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_a03366ab2f0a93ef
M10BCASE_e5e5533784063649	M5H00001	M9CL_cfaa51fe2ecad73f	M8SID_3a3efaeed3152b7e	M9BRW2Q_011_3a3efaeed3152b7e	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_ca553dc5c5fff88e connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_cfaa51fe2ecad73f; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	9	Adjacent unresolved M10A boundary for ии ассистент для озон, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_ca553dc5c5fff88e | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_cfaa51fe2ecad73f | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии ассистент для озон: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии ассистент для озон. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_cfaa51fe2ecad73f
M10BCASE_e5e5533784063649	M5H00001	M9CL_f6913258126ccd8e	M8SID_eaab889abab5ccd5	M9BRW2Q_004_eaab889abab5ccd5	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_cf3f7ecf56b52167 connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_f6913258126ccd8e; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	13	Adjacent unresolved M10A boundary for ии для работы с маркетплейсами, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_cf3f7ecf56b52167 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f6913258126ccd8e | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии для работы с маркетплейсами: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии для работы с маркетплейсами. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f6913258126ccd8e
M10BCASE_e5e5533784063649	M5H00001	M9CL_fe2be547bb98cbe2	M8SID_5fc65259888e054b	M9BRW2Q_006_5fc65259888e054b	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_cfa7cf50a6b3efda connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_fe2be547bb98cbe2; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	10	Adjacent unresolved M10A boundary for ии ассистент селлера, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_cfa7cf50a6b3efda | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_fe2be547bb98cbe2 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии ассистент селлера: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии ассистент селлера. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_fe2be547bb98cbe2
M10BCASE_e5e5533784063649	M5H00001	M9CL_02025a258eff8c3d	M8SID_3251f136551cd109	M4QR2Q00026	DEFENSIBLE_TASK_SCOPE_LINK	Exact accepted material M10A pair M9PAIR_d1ab9c7800c72c99 connects the direct anchor M9CL_f0e07ec6b2f588c0 to compatible bounded task M9CL_02025a258eff8c3d; ASSISTANT_ROLE uncertainty names this task/page-role distinction.	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	10	Adjacent unresolved M10A boundary for ии ассистент для маркетплейсов, without changing task/marketplace/product fit.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_d1ab9c7800c72c99 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001	HOLD	PRESERVE	Adjacent ии ассистент для маркетплейсов: M10B links this adjacent task, but the exact AI prompt tested ии помощник селлера; no direct target-specific evidence for ии ассистент для маркетплейсов. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	No case-specific causal effect on this linked target; keep immutable Search-only HOLD.	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d
