case_id	primary_cluster_id	frozen_m10a_owner_state	frozen_m10a_page_role_state	frozen_m10a_boundary_context	frozen_uncertainty	m10c_terminal_evidence_state	m10d_outcome	causal_delta_summary	causal_strength	affected_decision_dimensions	affected_cluster_ids	affected_boundary_pair_ids	m11_implication	evidence_refs	claim_boundary
M10BCASE_e5e5533784063649	M9CL_f0e07ec6b2f588c0	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_003b80aeed4307e6 | M9PAIR_1d018d5c5d9e4732 | M9PAIR_2d68e30a77ccc511 | M9PAIR_4f46ceccce6058ad | M9PAIR_543c488005cfc692 | M9PAIR_ca553dc5c5fff88e | M9PAIR_cf3f7ecf56b52167 | M9PAIR_cfa7cf50a6b3efda | M9PAIR_d1ab9c7800c72c99 | M9PAIR_d1b08dd9abde6743	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. M5: Unknown whether AI answers keep seller-data assistance separate from hiring and autonomous write workflows; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	STABLE_MIXED_CAPABILITY_FRAMING	HOLD	Both snapshots repeatedly combine seller-report assistance with third-party card export, promotions and broad management; no consistent read-only-versus-autonomous answer separates the primary helper task from adjacent agent tasks.	CONFLICTED	ASSISTANT_ROLE_AND_WRITE_CAPABILITY	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_994f2db1cb2d47e9 | M9CL_a03366ab2f0a93ef | M9CL_b875735bfe0783e3 | M9CL_cfaa51fe2ecad73f | M9CL_f0e07ec6b2f588c0 | M9CL_f6913258126ccd8e | M9CL_fe2be547bb98cbe2	M9PAIR_003b80aeed4307e6 | M9PAIR_1d018d5c5d9e4732 | M9PAIR_2d68e30a77ccc511 | M9PAIR_4f46ceccce6058ad | M9PAIR_543c488005cfc692 | M9PAIR_ca553dc5c5fff88e | M9PAIR_cf3f7ecf56b52167 | M9PAIR_cfa7cf50a6b3efda | M9PAIR_d1ab9c7800c72c99 | M9PAIR_d1b08dd9abde6743	HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json@43f02c8a9604df35fe2c31fe799fa35d8d84d914 | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json@e369c154a995803aae1747649e36b0d1615525b2 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md@607062e3913d8683942af82ceccbd77413fa2a27 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_c0815ba7ee0ba5b2	M9CL_3f05678ef9d62960	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_1c8ce4c2d774883a | M9PAIR_494ae1cdc6d42966 | M9PAIR_4b271c58077e716f | M9PAIR_57016291ec43a303 | M9PAIR_8978618a90e6e073 | M9PAIR_a5e8104de68bc8c7 | M9PAIR_b16684fb18782fae | M9PAIR_baac50d2991ab331	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	COHERENT_CONNECTOR_MCP_FRAMING	DE_RISK	The complete answer positively shows user-selected AI plus marketplace seller API/MCP connectivity, narrowing the no-data/developer-only side of the named Search HOLD; source claims do not prove read-only execution or page ownership.	SUPPORTING	CONNECT_OWN_LLM_TO_SELLER_DATA	M9CL_3a8d523d2578edae | M9CL_3f05678ef9d62960 | M9CL_6f345eee3ba09af0 | M9CL_710c43ac2fdf4cc7 | M9CL_998176896a32b481 | M9CL_bae58ac9423f9f3c | M9CL_da3ff89bebbefd96 | M9CL_ddc2616f80ca85b6 | M9CL_e8b266b549420d15	M9PAIR_1c8ce4c2d774883a | M9PAIR_494ae1cdc6d42966 | M9PAIR_4b271c58077e716f | M9PAIR_57016291ec43a303 | M9PAIR_8978618a90e6e073 | M9PAIR_a5e8104de68bc8c7 | M9PAIR_b16684fb18782fae | M9PAIR_baac50d2991ab331	NARROW_HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE02_SNAPSHOT01_SEARCH_RESULT_V1.json@37e0dd99322b2d9a7761322bff91d43ddda16f48 | docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md@2b505708271f31cedc7591a829a1f85c812585a9 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_840dee47a90532a8	M9CL_086ce4445a21d4fd	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_60f399343508f906 | M9PAIR_68a7a8af4798fc1a | M9PAIR_6be6917632fbcfd7 | M9PAIR_c61a78a8f59c41a9 | M9PAIR_ee91cc80131d8cad | M9PAIR_f2cd48777d5156c5	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. M5: Unknown whether AI answers keep seller-data assistance separate from hiring and autonomous write workflows; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	COHERENT_AUTONOMOUS_WRITE_FRAMING	DE_RISK	All four used Ozon seller-agent sources emphasize store management and business-state actions, positively distinguishing the observed agent framing from Octoport read-only assistance on the named agent/helper boundary; this is no page split authorization.	SUPPORTING	AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_994f2db1cb2d47e9 | M9CL_cfaa51fe2ecad73f | M9CL_f6913258126ccd8e	M9PAIR_60f399343508f906 | M9PAIR_68a7a8af4798fc1a | M9PAIR_6be6917632fbcfd7 | M9PAIR_c61a78a8f59c41a9 | M9PAIR_ee91cc80131d8cad | M9PAIR_f2cd48777d5156c5	NARROW_HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE03_SNAPSHOT01_SEARCH_RESULT_V1.json@e2788be0fda63f91e999d8f81726b352a38f18ee | docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md@34fbfeda446ed1ac1d7c108443f0b973f23ee8c5 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_e56413a05b57e358	M9CL_bae58ac9423f9f3c	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_494ae1cdc6d42966 | M9PAIR_68c418f6731bfe29 | M9PAIR_a349c79e0071b81b	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	STABLE_MIXED_CONNECTOR_CONTENT_ANALYTICS_FRAMING	ENRICH	Two snapshots retain Ozon connector/API sources alongside content generation without live data and report analytics; this adds distinct task-mode context while leaving the Search owner/boundary HOLD open.	SUPPORTING	OZON_CHATGPT_MODE_MIX	M9CL_3a8d523d2578edae | M9CL_3f05678ef9d62960 | M9CL_998176896a32b481 | M9CL_bae58ac9423f9f3c	M9PAIR_494ae1cdc6d42966 | M9PAIR_68c418f6731bfe29 | M9PAIR_a349c79e0071b81b	ADD_CONTEXT_ONLY	docs/seo/evidence/m10c/M10C_CASE04_SNAPSHOT01_SEARCH_RESULT_V1.json@57df01f760eaebe7ef02c4a8c5374c4bffcc51a9 | docs/seo/evidence/m10c/M10C_CASE04_SNAPSHOT02_SEARCH_RESULT_V1.json@851c4040e0f8fab837c6726eb13165f0d35b3654 | docs/seo/M10C_CASE04_TERMINAL_CLOSURE_2026-09-24_R1.md@68ea695d36045406023b5300453c14f9a89ad18a | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_789a835e7de15e13	M9CL_ddc2616f80ca85b6	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_49e4fc835e9eb76f | M9PAIR_baac50d2991ab331 | M9PAIR_db17760d407610fb	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	STABLE_MIXED_LIVE_CONNECTOR_AND_FILE_REPORT_ANALYTICS	ENRICH	The same live-connector and file/report-use sources recur across both snapshots; the added mode distinction helps M11 interpret this query but does not narrow the frozen page-owner HOLD.	SUPPORTING	WB_CHATGPT_LIVE_VS_FILE_MODE	M9CL_3a8d523d2578edae | M9CL_3f05678ef9d62960 | M9CL_da3ff89bebbefd96 | M9CL_ddc2616f80ca85b6	M9PAIR_49e4fc835e9eb76f | M9PAIR_baac50d2991ab331 | M9PAIR_db17760d407610fb	ADD_CONTEXT_ONLY	docs/seo/evidence/m10c/M10C_CASE05_SNAPSHOT01_SEARCH_RESULT_V1.json@84d4651a5f19133490c0b4bffee1a2d19fcd47bc | docs/seo/evidence/m10c/M10C_CASE05_SNAPSHOT02_SEARCH_RESULT_V1.json@f7e1d4502f20d9ac2f58b586a7369c869d9ef8f5 | docs/seo/M10C_CASE05_TERMINAL_CLOSURE_2026-09-24_R1.md@299d03c54f92971ad68ea290c60f14345a2f6fef | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_9ef8cb07387160b6	M9CL_710c43ac2fdf4cc7	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_453eb09d5294d593 | M9PAIR_b16684fb18782fae	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	STABLE_CONNECTOR_REPORT_MIX_WITH_PERSISTENT_SCOPE_CONTAMINATION	HOLD	Both snapshots mix seller-marketplace connector evidence with a Bitrix24 app-marketplace referent and file-report work; unresolved referent contamination prevents a safe material boundary narrowing.	CONFLICTED	GENERIC_MARKETPLACE_REFERENT	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_998176896a32b481	M9PAIR_453eb09d5294d593 | M9PAIR_b16684fb18782fae	HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE06_SNAPSHOT01_SEARCH_RESULT_V1.json@1bcbd9b49744ea6b5b43f678989f0ec5f25c58c2 | docs/seo/evidence/m10c/M10C_CASE06_SNAPSHOT02_SEARCH_RESULT_V1.json@f957720cb36deee1fa4584137c2d5eea73657bb4 | docs/seo/M10C_CASE06_TERMINAL_CLOSURE_2026-09-24_R1.md@39954bd37a11917af9b0f8dbc47e12bc2f4edb2e | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_503322b8af3825a8	M9CL_25bf819e5778d7d3	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_2d9a8c4be5e488ff | M9PAIR_7e2efcadc2a482b8 | M9PAIR_86ff2dc634c754c0 | M9PAIR_aca8ddeeb2f7cb64 | M9PAIR_c404ebec5999fb38 | M9PAIR_c61a78a8f59c41a9 | M9PAIR_ccd6d7a8b6304c44	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. M5: Unknown whether AI answers keep seller-data assistance separate from hiring and autonomous write workflows; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	COHERENT_AUTONOMOUS_MARKETPLACE_AGENT_FRAMING	DE_RISK	The coherent used-source set positively describes autonomous card, price, stock, advertising and buyer workflows, narrowing the observed agent/helper capability boundary; it cannot authorize independent same/separate pages.	SUPPORTING	GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_994f2db1cb2d47e9 | M9CL_b875735bfe0783e3 | M9CL_cfaa51fe2ecad73f | M9CL_f6913258126ccd8e	M9PAIR_2d9a8c4be5e488ff | M9PAIR_7e2efcadc2a482b8 | M9PAIR_86ff2dc634c754c0 | M9PAIR_aca8ddeeb2f7cb64 | M9PAIR_c404ebec5999fb38 | M9PAIR_c61a78a8f59c41a9 | M9PAIR_ccd6d7a8b6304c44	NARROW_HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE07_SNAPSHOT01_SEARCH_RESULT_V1.json@d7415cf1ebe6e1c0ee46caf2e1a26f77cd6c3294 | docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md@e6de4bf06b0745a253edafd3acbf18294211d00f | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_d3950384418e3bbd	M9CL_ed2d7aae5a2e620a	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_05343261bdf86576 | M9PAIR_36b57f701d67e226 | M9PAIR_46ea1172cfdf0814 | M9PAIR_4c8c240de60b3caf | M9PAIR_57a6151158aaa9ff | M9PAIR_609e68e2409bfbfa | M9PAIR_621cf0c357119122 | M9PAIR_63c99829e2abe2fa | M9PAIR_6c27e57fddaa0baf | M9PAIR_770f86b30fb49b82 | M9PAIR_7adfbdf17bbc1c0e | M9PAIR_8232394063376d75 | M9PAIR_829df6a430a4a492 | M9PAIR_ab516c4aea68b7ec | M9PAIR_cb724884bbdc112a | M9PAIR_d51d94d35e4f74fc | M9PAIR_d916646821308fe0 | M9PAIR_d9e043f6da9a7bd5 | M9PAIR_dcdff2fe306706e2 | M9PAIR_e33679418a190111 | M9PAIR_f4709ae0e28c087d | M9PAIR_fb15871655e5fabe	Whether cited sources address seller-owned cabinet data instead of external niche, competitor or general market intelligence. M5: Unknown whether cited sources support in-cabinet seller metrics rather than external intelligence; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	STABLE_MIXED_OWNED_AND_EXTERNAL_ANALYTICS_SINGLE_SOURCE_SYNTHESIS	HOLD	Both snapshots reproduce an own-store/external-intelligence mix but use just one roundup for answer synthesis; no reliable separation of these incompatible product-fit tasks follows for the frozen material HOLDs.	CONFLICTED	OWN_STORE_VS_EXTERNAL_ANALYTICS	M9CL_0aed479a81711e7f | M9CL_274a77f40055dc26 | M9CL_2bf4cc28a5b1b541 | M9CL_3e9cae524f2ba50c | M9CL_433249de25051688 | M9CL_710651ebc4bae2f1 | M9CL_8cd3918c2ea1fde7 | M9CL_8dc41c74759b520e | M9CL_9d0077e8f75a1708 | M9CL_9d52a57fe836056a | M9CL_a2b4ef64efdfb9f6 | M9CL_ad507c7fc3cfea7a | M9CL_b89a6fbc6bd8bb18 | M9CL_c02ee193ae04ebad | M9CL_c055b49c1d4038d9 | M9CL_c8ef71d4b04d08cf | M9CL_d3c8e648c51f98ec | M9CL_d9c788dddddda566 | M9CL_db048338baaeca8c | M9CL_e5b4c116e46d3dab | M9CL_e6914021014018ac | M9CL_ed2d7aae5a2e620a | M9CL_f2b595fb3a090d8f	M9PAIR_05343261bdf86576 | M9PAIR_36b57f701d67e226 | M9PAIR_46ea1172cfdf0814 | M9PAIR_4c8c240de60b3caf | M9PAIR_57a6151158aaa9ff | M9PAIR_609e68e2409bfbfa | M9PAIR_621cf0c357119122 | M9PAIR_63c99829e2abe2fa | M9PAIR_6c27e57fddaa0baf | M9PAIR_770f86b30fb49b82 | M9PAIR_7adfbdf17bbc1c0e | M9PAIR_8232394063376d75 | M9PAIR_829df6a430a4a492 | M9PAIR_ab516c4aea68b7ec | M9PAIR_cb724884bbdc112a | M9PAIR_d51d94d35e4f74fc | M9PAIR_d916646821308fe0 | M9PAIR_d9e043f6da9a7bd5 | M9PAIR_dcdff2fe306706e2 | M9PAIR_e33679418a190111 | M9PAIR_f4709ae0e28c087d | M9PAIR_fb15871655e5fabe	HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE08_SNAPSHOT01_SEARCH_RESULT_V1.json@57cb5ac41bf5955edb9bc176faa52c5c02b3aa11 | docs/seo/evidence/m10c/M10C_CASE08_SNAPSHOT02_SEARCH_RESULT_V1.json@bb1e0c425733ebb0991a3cd298dabe3676af940a | docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md@4b34f2b307328df405803f7f08506ece482f725d | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ed2d7aae5a2e620a	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_93993613e7003b69	M9CL_db048338baaeca8c	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_0011df11fd51b35d | M9PAIR_13a51bf58d6711d3 | M9PAIR_35e6f9e2229fc292 | M9PAIR_41c4c51f18a5e8b8 | M9PAIR_4e869dad89ae5dc1 | M9PAIR_63cba01917f5df94 | M9PAIR_668830225d12c4c4 | M9PAIR_690008a115c8cb8d | M9PAIR_770f86b30fb49b82 | M9PAIR_77d7ad841295a7fa | M9PAIR_8fd4bc42a94f55ec | M9PAIR_94a4a2cf30b49d7a | M9PAIR_97dc46b87e31115d | M9PAIR_aa4832a40f6786ff | M9PAIR_b7a72a95c19d8a95 | M9PAIR_b7f9c909b933ffa2 | M9PAIR_caac3c09eef79a25 | M9PAIR_cb32a8600fee930f | M9PAIR_d3c49c4c32d9f341 | M9PAIR_ddbd26833d00f247 | M9PAIR_e35a782e2e25f4d3 | M9PAIR_f8a07a97153ecd76	Whether cited sources address seller-owned cabinet data instead of external niche, competitor or general market intelligence. M5: Unknown whether cited sources support in-cabinet seller metrics rather than external intelligence; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	STABLE_OWN_STORE_AI_ANALYTICS_LEAN_WITH_MIXED_ACCESS_MODES	DE_RISK	Despite the expanded returned-source pool, both snapshots use the same three sources for seller-owned sales, stock and advertising analytics; this positively narrows the AI-analytics own-store versus external-intelligence uncertainty, while file/API modes remain mixed.	SUPPORTING	AI_ANALYTICS_OWN_STORE_VS_EXTERNAL	M9CL_0ac1770f2755faaf | M9CL_0aed479a81711e7f | M9CL_2637e53fc435b258 | M9CL_274a77f40055dc26 | M9CL_3e9cae524f2ba50c | M9CL_433249de25051688 | M9CL_4a7d76c662c7f172 | M9CL_5aa7113efc724f06 | M9CL_76d530948f2a83bc | M9CL_88cb2602f75e6f48 | M9CL_896f32bed9216251 | M9CL_8dc41c74759b520e | M9CL_9d0077e8f75a1708 | M9CL_a2b4ef64efdfb9f6 | M9CL_adc8b5ec6197bdf3 | M9CL_c02ee193ae04ebad | M9CL_c055b49c1d4038d9 | M9CL_c8ef71d4b04d08cf | M9CL_d3c8e648c51f98ec | M9CL_db048338baaeca8c | M9CL_e5b4c116e46d3dab | M9CL_e6914021014018ac | M9CL_ed2d7aae5a2e620a	M9PAIR_0011df11fd51b35d | M9PAIR_13a51bf58d6711d3 | M9PAIR_35e6f9e2229fc292 | M9PAIR_41c4c51f18a5e8b8 | M9PAIR_4e869dad89ae5dc1 | M9PAIR_63cba01917f5df94 | M9PAIR_668830225d12c4c4 | M9PAIR_690008a115c8cb8d | M9PAIR_770f86b30fb49b82 | M9PAIR_77d7ad841295a7fa | M9PAIR_8fd4bc42a94f55ec | M9PAIR_94a4a2cf30b49d7a | M9PAIR_97dc46b87e31115d | M9PAIR_aa4832a40f6786ff | M9PAIR_b7a72a95c19d8a95 | M9PAIR_b7f9c909b933ffa2 | M9PAIR_caac3c09eef79a25 | M9PAIR_cb32a8600fee930f | M9PAIR_d3c49c4c32d9f341 | M9PAIR_ddbd26833d00f247 | M9PAIR_e35a782e2e25f4d3 | M9PAIR_f8a07a97153ecd76	NARROW_HOLD_FOR_M11	docs/seo/evidence/m10c/M10C_CASE09_SNAPSHOT01_SEARCH_RESULT_V1.json@a8951faaea116b17033b46fcad1bfa01b3d4d2d8 | docs/seo/evidence/m10c/M10C_CASE09_SNAPSHOT02_SEARCH_RESULT_V1.json@8970605ac5dd0f35f8125cc4dbbf02abbdabe5da | docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md@87aa9b11da42e7451119847c0181cd88752f9f40 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_db048338baaeca8c	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
M10BCASE_975659397140bfbd	M9CL_02025a258eff8c3d	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_00d16cdd77452d93 | M9PAIR_c404ebec5999fb38 | M9PAIR_c9aff265eddaa945 | M9PAIR_c9c8db1750b642d2 | M9PAIR_f2cd48777d5156c5	Whether answers distinguish a native Ozon/WB feature from a separate bridge connecting the user-selected LLM to permitted seller data. M5: Unknown whether AI sources distinguish native seller tools from an independent bring-your-own-LLM workflow; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	BYTE_STABLE_THIRD_PARTY_AI_ASSISTANT_PRODUCTS	ENRICH	Byte-identical answers twice list independent third-party assistant products spanning review help, analytics and management; this adds service-role context but absence of native/BYO sources cannot prove those offerings do not exist or resolve a page boundary.	SUPPORTING	ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_b875735bfe0783e3 | M9CL_cfaa51fe2ecad73f	M9PAIR_00d16cdd77452d93 | M9PAIR_c404ebec5999fb38 | M9PAIR_c9aff265eddaa945 | M9PAIR_c9c8db1750b642d2 | M9PAIR_f2cd48777d5156c5	ADD_CONTEXT_ONLY	docs/seo/evidence/m10c/M10C_CASE10_SNAPSHOT01_SEARCH_RESULT_V1.json@a53ad4ada73a15492daeb65af938928b20c7e26b | docs/seo/evidence/m10c/M10C_CASE10_SNAPSHOT02_SEARCH_RESULT_V1.json@dfa03c7fe3216bc1912c99e70cccb7f108b23af2 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md@77181ac45e47757115fd1bd389964e58ba13523a | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d	Case-level effect only; per-target delta below may remain PRESERVE; frozen M10A owner/page-role/boundary HOLDs unchanged; M11 must independently decide ownership.
