seed_id	seed_type	page_candidate_id	source_occurrence_id	registry_id	entity_name	registrable_domain	candidate_class	ranking_url	normalized_url	authority_query_ids	ranks	rank_buckets	query_families	target_relevance	page_type	collision_or_uncertainty	native_baseline_flag	source_authority	notes
M4B2S001	M4A_PAGE_CANDIDATE_ANCHOR	PAGE005		REG005	Api Master	api-master.ru	EDITORIAL_OR_PUBLISHER	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	R01 | R02 | R03	R01:1 | R02:2 | R03:2	TOP3	F2				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S002	M4A_PAGE_CANDIDATE_ANCHOR	PAGE012		REG010	Habr	habr.com	EDITORIAL_OR_PUBLISHER	https://habr.com/ru/articles/1010000/	https://habr.com/ru/articles/1010000	S01	S01:5	TOP10_REST	F1,F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S003	M4A_PAGE_CANDIDATE_ANCHOR	PAGE024		REG017	Klerk	klerk.ru	EDITORIAL_OR_PUBLISHER	https://www.klerk.ru/blogs/gdekurs/694422/	https://www.klerk.ru/blogs/gdekurs/694422	R02 | S02	R02:9 | S02:20	RANK_11_20 | TOP10_REST	F1 | F2				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S004	M4A_PAGE_CANDIDATE_ANCHOR	PAGE025		REG017	Klerk	klerk.ru	EDITORIAL_OR_PUBLISHER	https://www.klerk.ru/blogs/gdekurs/694545/	https://www.klerk.ru/blogs/gdekurs/694545	R03	R03:4	TOP10_REST	F2				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S005	M4A_PAGE_CANDIDATE_ANCHOR	PAGE060		REG030	Ozon	ozon.ru	NATIVE_MARKETPLACE_BASELINE	https://finance.ozon.ru/business/rko/marketpleysy/analitika-prodazh	https://finance.ozon.ru/business/rko/marketpleysy/analitika-prodazh	R04R1 | R08	R04R1:11 | R08:13	RANK_11_20	F3,F9 | F6				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S006	M4A_PAGE_CANDIDATE_ANCHOR	PAGE061		REG030	Ozon	ozon.ru	NATIVE_MARKETPLACE_BASELINE	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah	R01 | R02 | S02	R01:7 | R02:5 | S02:16	RANK_11_20 | TOP10_REST	F1 | F2				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S007	M4A_REGISTRY_ZERO_ANCHOR_BOOTSTRAP		R07-12	REG032	Reg	reg.ru	EDITORIAL_OR_PUBLISHER	https://www.reg.ru/blog/kak-pravilno-oformit-kartochku-tovara-na-wildberries/	https://www.reg.ru/blog/kak-pravilno-oformit-kartochku-tovara-na-wildberries	R07	12	RANK_11_20	F5,F8	TARGET_RELEVANT	EDITORIAL_GUIDE_OR_ARTICLE	NONE	false	M4A_SERP_OCCURRENCE_R3	Bootstrap only because accepted M4A registry entity has zero M4A_PAGE_CANDIDATES rows; does not change frozen accepted-anchor count 43.
M4B2S008	M4A_REGISTRY_ZERO_ANCHOR_BOOTSTRAP		R12-18	REG032	Reg	reg.ru	EDITORIAL_OR_PUBLISHER	https://www.reg.ru/blog/podborka-nejrosetej-dlya-marketplejsov/	https://www.reg.ru/blog/podborka-nejrosetej-dlya-marketplejsov	R12	18	RANK_11_20	F9	PARTIAL_OR_ADJACENT	CREATIVE_OR_CARD_TOOL_PAGE	PRESENT	false	M4A_SERP_OCCURRENCE_R3	Bootstrap only because accepted M4A registry entity has zero M4A_PAGE_CANDIDATES rows; does not change frozen accepted-anchor count 43.
M4B2S009	M4A_REGISTRY_ZERO_ANCHOR_BOOTSTRAP		R03-19	REG033	Rutube	rutube.ru	EDITORIAL_OR_PUBLISHER	https://rutube.ru/video/97070bb442d470fdfb80ad6e1a077f2d/	https://rutube.ru/video/97070bb442d470fdfb80ad6e1a077f2d	R03	19	RANK_11_20	F2	PARTIAL_OR_ADJACENT	CREATIVE_OR_CARD_TOOL_PAGE	PRESENT	false	M4A_SERP_OCCURRENCE_R3	Bootstrap only because accepted M4A registry entity has zero M4A_PAGE_CANDIDATES rows; does not change frozen accepted-anchor count 43.
M4B2S010	M4A_REGISTRY_ZERO_ANCHOR_BOOTSTRAP		R07-20	REG033	Rutube	rutube.ru	EDITORIAL_OR_PUBLISHER	https://rutube.ru/video/ea24a72b29ec3b0dce4dc4850e457f7d/	https://rutube.ru/video/ea24a72b29ec3b0dce4dc4850e457f7d	R07	20	RANK_11_20	F5,F8	TARGET_RELEVANT	CREATIVE_OR_CARD_TOOL_PAGE	NONE	false	M4A_SERP_OCCURRENCE_R3	Bootstrap only because accepted M4A registry entity has zero M4A_PAGE_CANDIDATES rows; does not change frozen accepted-anchor count 43.
