target_type	target_id	case_ids	case_count	case_outcomes	effect_classes	cross_case_state	synthesis	m11_constraint	evidence_refs
BOUNDARY	M9PAIR_494ae1cdc6d42966	M10BCASE_c0815ba7ee0ba5b2 | M10BCASE_e56413a05b57e358	2	DE_RISK | ENRICH	NARROW_HOLD | ENRICH_ONLY	COMPLEMENTARY	Distinct exact queries contribute bounded observations at this shared target: CASE02 CONNECT_OWN_LLM_TO_SELLER_DATA [NARROW_HOLD], CASE04 OZON_CHATGPT_MODE_MIX [ENRICH_ONLY]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_c0815ba7ee0ba5b2 | docs/seo/M10C_CASE04_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e56413a05b57e358
BOUNDARY	M9PAIR_55efb63d3dcd6a66	M10BCASE_adb2e167115fbbbd | M10BCASE_d7c8eaf031abe40a	2	ENRICH | HOLD	ENRICH_ONLY | HOLD	HOLD	Unresolved case evidence remains at this shared target: CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [ENRICH_ONLY], CASE15 OZON_SELLER_REPORT_VS_CORPORATE_ACCOUNTING [HOLD]. A narrower observation cannot automatically resolve the mixed or unsupported one.	Keep unresolved cross-case HOLD explicit; independently reconcile if M11 considers the target.	docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd | docs/seo/M10C_CASE15_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_d7c8eaf031abe40a
BOUNDARY	M9PAIR_770f86b30fb49b82	M10BCASE_93993613e7003b69 | M10BCASE_d3950384418e3bbd	2	DE_RISK | HOLD	NARROW_HOLD | HOLD	HOLD	Unresolved case evidence remains at this shared target: CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [NARROW_HOLD], CASE08 OWN_STORE_VS_EXTERNAL_ANALYTICS [HOLD]. A narrower observation cannot automatically resolve the mixed or unsupported one.	Keep unresolved cross-case HOLD explicit; independently reconcile if M11 considers the target.	docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_d3950384418e3bbd
BOUNDARY	M9PAIR_aca8ddeeb2f7cb64	M10BCASE_503322b8af3825a8 | M10BCASE_a6a64d20ed4e5695	2	DE_RISK | ENRICH	NARROW_HOLD | ENRICH_ONLY	COMPLEMENTARY	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [NARROW_HOLD], CASE11 WB_AGENT_AUTONOMY_WITH_BYO_SIGNAL [ENRICH_ONLY]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE11_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_a6a64d20ed4e5695
BOUNDARY	M9PAIR_b16684fb18782fae	M10BCASE_9ef8cb07387160b6 | M10BCASE_c0815ba7ee0ba5b2	2	HOLD | DE_RISK	HOLD | NARROW_HOLD	HOLD	Unresolved case evidence remains at this shared target: CASE06 GENERIC_MARKETPLACE_REFERENT [HOLD], CASE02 CONNECT_OWN_LLM_TO_SELLER_DATA [NARROW_HOLD]. A narrower observation cannot automatically resolve the mixed or unsupported one.	Keep unresolved cross-case HOLD explicit; independently reconcile if M11 considers the target.	docs/seo/M10C_CASE06_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_9ef8cb07387160b6 | docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_c0815ba7ee0ba5b2
BOUNDARY	M9PAIR_baac50d2991ab331	M10BCASE_789a835e7de15e13 | M10BCASE_c0815ba7ee0ba5b2	2	ENRICH | DE_RISK	ENRICH_ONLY | NARROW_HOLD	COMPLEMENTARY	Distinct exact queries contribute bounded observations at this shared target: CASE05 WB_CHATGPT_LIVE_VS_FILE_MODE [ENRICH_ONLY], CASE02 CONNECT_OWN_LLM_TO_SELLER_DATA [NARROW_HOLD]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE05_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_789a835e7de15e13 | docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_c0815ba7ee0ba5b2
BOUNDARY	M9PAIR_c3ddd67fc39ef758	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd	2	HOLD | ENRICH	HOLD | ENRICH_ONLY	HOLD	Unresolved case evidence remains at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [HOLD], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [ENRICH_ONLY]. A narrower observation cannot automatically resolve the mixed or unsupported one.	Keep unresolved cross-case HOLD explicit; independently reconcile if M11 considers the target.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
BOUNDARY	M9PAIR_c404ebec5999fb38	M10BCASE_503322b8af3825a8 | M10BCASE_975659397140bfbd	2	DE_RISK | ENRICH	NARROW_HOLD | ENRICH_ONLY	COMPLEMENTARY	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [NARROW_HOLD], CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [ENRICH_ONLY]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd
BOUNDARY	M9PAIR_c61a78a8f59c41a9	M10BCASE_503322b8af3825a8 | M10BCASE_840dee47a90532a8	2	DE_RISK | DE_RISK	NARROW_HOLD | NARROW_HOLD	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [NARROW_HOLD], CASE03 AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER [NARROW_HOLD]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_840dee47a90532a8
BOUNDARY	M9PAIR_c9aff265eddaa945	M10BCASE_975659397140bfbd | M10BCASE_a6a64d20ed4e5695	2	ENRICH | ENRICH	ENRICH_ONLY | ENRICH_ONLY	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [ENRICH_ONLY], CASE11 WB_AGENT_AUTONOMY_WITH_BYO_SIGNAL [ENRICH_ONLY]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd | docs/seo/M10C_CASE11_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_a6a64d20ed4e5695
