test_id	scenario	expected_guard	observed	verdict	evidence_refs
AD01_EXACT_CLUSTER_SET	Exact cluster set	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	104 exact M9 cluster IDs, one per row	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD02_M8_MEMBER_JOIN	M8 member join	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	104 accepted M8 Working identities joined	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD03_M9_PAIRWISE_ACCOUNTING	M9 pairwise accounting	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	5356 M9 pair rows and original 30 columns preserved	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD04_M10A_MATERIAL_HOLD_ACCOUNTING	M10a material hold accounting	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	1399 material HOLD rows and original 20 columns preserved	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD05_M10D_DELTA_ACCOUNTING	M10d delta accounting	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	15/184/166/74 M10D authority accounted; target-specific effects match	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD06_CURRENT_SITE_BLOB_CONTINUITY	Current site blob continuity	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	four current main blobs unchanged; 13 source columns preserved	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD07_OWNER_OR_HOLD_EVERY_CLUSTER	Owner or hold every cluster	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	104 clusters have one assigned owner or explicit HOLD	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD08_PLANNED_OWNER_ID_DETERMINISM	Planned owner id determinism	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	planned job decoded exact signature and deterministic ID	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD09_MERGE_SUPPORTED_SAME_OWNER	Merge supported same owner	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	all 28 MERGE pairs preserve same owner whenever both assigned	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD10_SPLIT_SUPPORTED_SEPARATE_OWNER	Split supported separate owner	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	all 3835 SPLIT pairs separate owners; selected pair explicitly SPLIT	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
