execution_query_id	exact_query_text	exact_safe_comparison_key	query_authority_class	query_authority_source_ids	source_universe_row_ids	source_classes	marketplace_scope	task_or_candidate_groups	existing_demand_evidence	m3_relation	m2r_evidence_summary	m2r_contamination_review	information_gain_question	downstream_decision	why_existing_evidence_insufficient	stop_interpretation	planned_search_type	planned_region	planned_page	planned_depth	planned_group_mode	planned_docs_in_group	planned_family_mode	planned_fix_typo_mode	planned_sort	provider_limit_check	batch_id
M4QR2Q00001	chatgpt для ozon	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=301 || M3:R02	M4QR2U00005 || M4QR2U00315	M2R || M3	OZON || OZON_WB_OR_MARKETPLACE	F2 || M3_R02	M2R_TOTALCOUNT_ONLY_SEED_NO_PROVIDER_ARRAY_ROWS	ACCEPTED_M3_R02_HISTORICAL_TOP20	301:TOTALCOUNT_ONLY_SEED:count=NONE:seed_total=9:family=F2/:intent=connect_own_llm:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-10:Historical B01 durable transcription:reconciled=Preserved totalcount_only_seed with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 301:original_flags=NONE	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=16; words=3	M4Q-R2-B001
M4QR2Q00002	chatgpt для wildberries	chatgpt для wildberries	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=302 || M3:R03	M4QR2U00006 || M4QR2U00316	M2R || M3	OZON_WB_OR_MARKETPLACE || WILDBERRIES	F2 || M3_R03	M2R_TOTALCOUNT_ONLY_SEED_NO_PROVIDER_ARRAY_ROWS	ACCEPTED_M3_R03_HISTORICAL_TOP20	302:TOTALCOUNT_ONLY_SEED:count=NONE:seed_total=10:family=F2/:intent=connect_own_llm:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-11:Historical B01 durable transcription:reconciled=Preserved totalcount_only_seed with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 302:original_flags=NONE	For accepted M3 R03 exact «chatgpt для wildberries», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: WB-specific own-AI intent and difference from Ozon.	M4Q R03 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=23; words=3	M4Q-R2-B001
M4QR2Q00003	анализ ниш wildberries для продавца	анализ ниш wildberries для продавца	M3_EXACT_QUERY_AUTHORITY	M3:R10	M4QR2U00013	M3	OZON_WB_OR_MARKETPLACE	M3_R10	M3_ACCEPTED_SEARCH_ONLY; NO_EXACT_M2R_WORDSTAT	ACCEPTED_M3_R10_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	NOT_APPLICABLE: accepted M3 authority; no M2R exact source	For accepted M3 R10 exact «анализ ниш wildberries для продавца», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: native niche-analysis demand and whether users expect broader external market intelligence.	M4Q R10 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=35; words=5	M4Q-R2-B001
M4QR2Q00004	аналитика маркетплейсов для селлеров	аналитика маркетплейсов для селлеров	M3_EXACT_QUERY_AUTHORITY	M3:R04	M4QR2U00007	M3	OZON_WB_OR_MARKETPLACE	M3_R04	M3_ACCEPTED_SEARCH_ONLY; NO_EXACT_M2R_WORDSTAT	ACCEPTED_M3_R04_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	NOT_APPLICABLE: accepted M3 authority; no M2R exact source	For accepted M3 R04 exact «аналитика маркетплейсов для селлеров», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: whether live intent resolves to seller-owned analytics, external market intelligence, service discovery or human profession/training.	M4Q R04 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=36; words=4	M4Q-R2-B001
M4QR2Q00005	аналитика рекламы маркетплейсов	аналитика рекламы маркетплейсов	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=1026 || M3:R08	M4QR2U00011 || M4QR2U01040	M2R || M3	GENERIC_MARKETPLACE || OZON_WB_OR_MARKETPLACE	F6 || M3_R08	M2R_OBSERVED_WORDSTAT_WITH_EVIDENCE_TYPE_LIMITS	ACCEPTED_M3_R08_HISTORICAL_TOP20	1026:TESTED_SEED:count=NONE:seed_total=33:family=F6/:intent=advertising_analysis:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=M2R/M2R-A10:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 1026:original_flags=NONE	For accepted M3 R08 exact «аналитика рекламы маркетплейсов», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: analytics/diagnostics intent versus agencies and bid-automation tools.	M4Q R08 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=31; words=3	M4Q-R2-B001
M4QR2Q00006	ии агент для wildberries	ии агент для wildberries	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=240 || M2R:line=504 || M2R:line=505 || M3:S03	M4QR2U00003 || M4QR2U00254 || M4QR2U00518 || M4QR2U00519	M2R || M3	OZON_WB_OR_MARKETPLACE || WILDBERRIES	F1 || M3_S03	M2R_OBSERVED_WORDSTAT_WITH_EVIDENCE_TYPE_LIMITS	ACCEPTED_M3_S03_HISTORICAL_TOP20	240:DIRECT_RESULT:count=20:seed_total=225:family=F1/:intent=ai_agent_category:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-07:Historical B01 durable transcription:reconciled=Preserved direct_result with independent conservative classification. || 504:TESTED_SEED:count=NONE:seed_total=20:family=F1/:intent=ai_agent_category:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-09:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification. || 505:DIRECT_RESULT:count=20:seed_total=20:family=F1/:intent=ai_agent_category:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-09:Exact provider envelope:reconciled=Preserved direct_result with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 240:original_flags=NONE || 504:original_flags=NONE || 505:original_flags=NONE	For accepted M3 S03 exact «ии агент для wildberries», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: WB-specific intent exists; generic core overlaps with marketplace-specific depth.	M4Q S03 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=24; words=4	M4Q-R2-B001
M4QR2Q00007	ии агент для озон	ии агент для озон	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=215 || M2R:line=464 || M2R:line=465 || M3:S02	M4QR2U00002 || M4QR2U00229 || M4QR2U00478 || M4QR2U00479	M2R || M3	OZON || OZON_WB_OR_MARKETPLACE	F1 || M3_S02	M2R_OBSERVED_WORDSTAT_WITH_EVIDENCE_TYPE_LIMITS	ACCEPTED_M3_S02_HISTORICAL_TOP20	215:DIRECT_RESULT:count=40:seed_total=972:family=F1/:intent=ai_agent_category:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-06:Historical B01 durable transcription:reconciled=Preserved direct_result with independent conservative classification. || 464:TESTED_SEED:count=NONE:seed_total=40:family=F1/:intent=ai_agent_category:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-07:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification. || 465:DIRECT_RESULT:count=40:seed_total=40:family=F1/:intent=ai_agent_category:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-07:Exact provider envelope:reconciled=Preserved direct_result with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 215:original_flags=NONE || 464:original_flags=NONE || 465:original_flags=NONE	For accepted M3 S02 exact «ии агент для озон», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific seller/API/data/agent intent exists.	M4Q S02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=17; words=4	M4Q-R2-B001
M4QR2Q00008	ии агенты для маркетплейсов	ии агенты для маркетплейсов	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=14 || M2R:line=346 || M2R:line=347 || M3:S01	M4QR2U00001 || M4QR2U00028 || M4QR2U00360 || M4QR2U00361	M2R || M3	GENERIC_MARKETPLACE || OZON_WB_OR_MARKETPLACE	F1 || M3_S01	M2R_OBSERVED_WORDSTAT_WITH_EVIDENCE_TYPE_LIMITS	ACCEPTED_M3_S01_HISTORICAL_TOP20	14:DIRECT_RESULT:count=134:seed_total=3381:family=F1/:intent=ai_agent_category:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-01:Historical B01 durable transcription:reconciled=Preserved direct_result with independent conservative classification. || 346:TESTED_SEED:count=NONE:seed_total=134:family=F1/:intent=ai_agent_category:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-01:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification. || 347:DIRECT_RESULT:count=134:seed_total=134:family=F1/:intent=ai_agent_category:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-01:Exact provider envelope:reconciled=Preserved direct_result with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 14:original_flags=NONE || 346:original_flags=NONE || 347:original_flags=NONE	For accepted M3 S01 exact «ии агенты для маркетплейсов», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: a real marketplace AI-agent SERP/category exists; not only creative-card generation.	M4Q S01 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=27; words=4	M4Q-R2-B001
M4QR2Q00009	как заполнить карточку товара wildberries	как заполнить карточку товара wildberries	M3_AND_M2R_QUERY_AUTHORITY	M2R:line=1087 || M3:R07	M4QR2U00010 || M4QR2U01101	M2R || M3	OZON_WB_OR_MARKETPLACE || WILDBERRIES	F8 || M3_R07	M2R_TOTALCOUNT_ONLY_SEED_NO_PROVIDER_ARRAY_ROWS	ACCEPTED_M3_R07_HISTORICAL_TOP20	1087:TOTALCOUNT_ONLY_SEED:count=NONE:seed_total=34:family=F8/:intent=procedural_cabinet_help:market=WILDBERRIES:fit=ADJACENT:capability=SOURCE_CONFIRMED_NON_API_KNOWLEDGE:observed=OBSERVED_WORDSTAT:lineage=M2R/M2R-A17:Exact provider envelope:reconciled=Preserved totalcount_only_seed with independent conservative classification.	PASS_NO_UNRESOLVED_CONTAMINATION: original source flags and exact text reviewed; 1087:original_flags=NONE	For accepted M3 R07 exact «как заполнить карточку товара wildberries», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: operational card workflow intent versus creative generators and generic education.	M4Q R07 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=41; words=5	M4Q-R2-B001
M4QR2Q00010	как работать в кабинете wildberries продавцу	как работать в кабинете wildberries продавцу	M3_EXACT_QUERY_AUTHORITY	M3:R11	M4QR2U00014	M3	OZON_WB_OR_MARKETPLACE	M3_R11	M3_ACCEPTED_SEARCH_ONLY; NO_EXACT_M2R_WORDSTAT	ACCEPTED_M3_R11_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	NOT_APPLICABLE: accepted M3 authority; no M2R exact source	For accepted M3 R11 exact «как работать в кабинете wildberries продавцу», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: procedural seller-help intent and preferred authority/source type.	M4Q R11 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=44; words=6	M4Q-R2-B001
M4QR2Q00011	какой ии выбрать для маркетплейсов	какой ии выбрать для маркетплейсов	M3_EXACT_QUERY_AUTHORITY	M3:R12	M4QR2U00015	M3	OZON_WB_OR_MARKETPLACE	M3_R12	M3_ACCEPTED_SEARCH_ONLY; NO_EXACT_M2R_WORDSTAT	ACCEPTED_M3_R12_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	NOT_APPLICABLE: accepted M3 authority; no M2R exact source	For accepted M3 R12 exact «какой ии выбрать для маркетплейсов», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: composition of comparison/discovery SERP after corrected product model.	M4Q R12 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=34; words=5	M4Q-R2-B001
M4QR2Q00012	отчеты для селлеров маркетплейсов	отчеты для селлеров маркетплейсов	M3_EXACT_QUERY_AUTHORITY	M3:R05	M4QR2U00008	M3	OZON_WB_OR_MARKETPLACE	M3_R05	M3_ACCEPTED_SEARCH_ONLY; NO_EXACT_M2R_WORDSTAT	ACCEPTED_M3_R05_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	NOT_APPLICABLE: accepted M3 authority; no M2R exact source	For accepted M3 R05 exact «отчеты для селлеров маркетплейсов», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: whether report intent is operational seller data rather than accounting/statutory reporting.	M4Q R05 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	Accepted M3 is top-20 from 2026-09-16/17; it cannot answer current top-100 coverage against the present 60-entity authority.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=33; words=4	M4Q-R2-B001
