source_path	current_blob	change_class	required_change	do_not_change_boundary	test_or_verifier	m14_mutation_authorized	evidence_refs	claim_boundary
apps/site/public/index.html	3123a714e2092fb156eebe498ef97bb5969567f6	OPTIMIZE	Apply M12 R2 HOME Title/H1; retain brand subheadline; add analytics link; add /favicon.png rel=icon; add static WebSite JSON-LD site-name node; keep self canonical/static truth	No unsupported availability/pricing/write-back; do not absorb analytics job; no invented Organization/SoftwareApplication/review facts	site-ci + deploy guard + live verifier	true	M12 R2; Google site names/favicon; Product Truth; live baseline	HOME owner only
apps/site/public/seller-analytics.html	ABSENT	CREATE	Static M12 R2 analytics page with exact Title/H1, unique description, self canonical, HOME backlink and proof boundary	No external intelligence/accounting/write-back; no fake demo/case/metric/schema	site-ci + deploy + live verifier	true	M11/M12 R2; proof contract	One accepted cluster only
apps/site/public/privacy.html	bb975f29e3fbe8e1cfeb1fa19f397f9e5dc1f101	INDEXABLE_UTILITY_SEARCH_APPEARANCE	Keep indexable (no noindex); preserve self canonical/privacy truth; add unique truthful utility description	No commercial-cluster ownership or substantive privacy rewrite without separate authority	site-ci + live verifier	true	R2 external audit; M11 utility decision; Google/Yandex noindex semantics	Indexable utility, not commercial SEO owner
apps/site/public/support.html	2ebb8fdab73c50d98a3af70198f98813cbab942b	INDEXABLE_UTILITY_SEARCH_APPEARANCE	Keep indexable (no noindex); preserve self canonical/support truth; add unique truthful utility description	No commercial-cluster ownership or unsupported browser/store/public-beta claim	site-ci + live verifier	true	R2 external audit; M11 utility decision; Google/Yandex noindex semantics	Indexable utility, not commercial SEO owner
apps/site/public/install.html	99bc456742375219779ae9c611580e389b81c7a1	NOINDEX_STATUS_DIRECTIVE	Add robots meta noindex, follow; preserve not-yet-published state; keep crawlable for directive discovery	No unofficial ZIP/local install/catalog publication claim	site-ci + live verifier	true	R2 external audit; current install-state truth; Google/Yandex noindex semantics	Reopen indexability only after official install/catalog availability
apps/site/public/robots.txt	446df898e31b99b230e8a49a7c94a45e4df96228	UPDATE	Public crawl allowed; canonical Sitemap; no privacy/support/install/favicon/CSS/YandexAdditional block	App/API X-Robots remains separate	site-ci + live verifier	true	Google/Yandex robots; favicon; Yandex AI	Crawler policy only
apps/site/public/sitemap.xml	fdceb2ff477941104373850846c33bac2a5d3ced	UPDATE	Exact canonical loc set HOME + seller-analytics + privacy + support	No install/noindex/alias/www/http/asset URLs	site-ci + live verifier	true	Google/Yandex Sitemap; R2 utility-indexability decision	Discovery hint only
apps/site/public/styles.css	cda70d351cb72332c70d7a32e5b31d3182e0a374	EXTEND_IF_NEEDED	Support analytics while retaining responsive/static foundation	No framework/runtime dependency solely for SEO	site-ci + M15 mobile/lab	true	M13 performance	Only if needed
apps/site/README.md	28442c9c361e64e2fa161281db768a3dc6ca8ecc	UPDATE_DOC	Document analytics route, favicon asset, 4 indexable canonical URLs (2 owners + 2 utilities), and 1 crawlable noindex install status page	Do not claim deployment/indexing before QA	site-ci/readback	true	M13 R2 spec	Documentation only
infra/production/nginx/octoport-site.conf	4efcf08a2c118986496298789bac2565b1067994	UPDATE	Analytics route; explicit aliases; /index.html redirect; direct HTTP www->HTTPS apex; ensure /favicon.png direct 200/no redirect with correct type; preserve 404/security/cache/ACME	Do not define app/api proxies; preserve public-site ownership	site-ci + regression + live verifier	true	live baseline; route matrix	Public ingress only
infra/production/nginx/octoport-apps.conf	adbea6c2d6af15c0ed7bb05af1a7a7e05029d49f	DO_NOT_CHANGE	No SEO mutation	Portal/API proxy/auth/session/X-Robots boundary	regression + verifier	false	M13 isolation	Parallel application behavior
infra/production/scripts/deploy-octoport-site.sh	f35a27b084ddce4cb9342852e5e35579ef0bc6b6	UPDATE_GUARD	Require seller-analytics.html and approved favicon.png; validate favicon PNG dimensions/signature, HOME rel=icon/WebSite node, canonical/key truth before install	Preserve lock/clean checkout/app ingress/rollback/TLS/DNS safety	bash -n + regression + verifier	true	M13 dependency map	Deployment guard only
infra/production/scripts/verify-octoport-site.sh	753782280daa59bd0def52232b23465937f1a880	UPDATE_VERIFIER	Check analytics; privacy/support indexable; install noindex; exact 4-URL sitemap; favicon 200/no redirect/image/png; HOME WebSite site-name; aliases/host redirects/page metadata	Do not weaken portal/API/TLS/cert/old-docs/auth checks	bash -n + regression/live	true	M13 dependency map	Verification only
.github/workflows/site-ci.yml	9c6320dff4f45bf50cc86c1afcdf4893613e374f	UPDATE_CI	Require/parse analytics; exact owner metadata; HOME<->analytics links; privacy/support indexability; install noindex; sitemap 4; favicon PNG 120x120 + HOME link; WebSite JSON-LD; nginx aliases	Preserve privacy/beta/no-price/no-executable-JS safety checks; JSON-LD must not count as executable JS	Site CI	true	M13 dependency map	Source guard only
tests/regression/site/test_site_deployment.py	79d5dca16f5fbb26c70450d6b121d59d281ecc69	EXTEND_TESTS	Cover analytics presence, alias redirects, R2 deployment guards and preservation of application ingress/rollback	No live production mutation	site regression	true	M13 dependency map	Disposable filesystem only
apps/site/public/favicon.png	ABSENT	CREATE_APPROVED_BRAND_ASSET	Add approved Octoport favicon PNG exactly 120x120 at stable /favicon.png URL	Do not invent/redesign logo in M14; asset must derive from approved Octoport brand mark and remain legible in light/dark search surfaces	site-ci PNG IHDR/signature + deploy guard + live verifier	true	Google favicon; Yandex favicon; Product Truth brand	If no approved brand asset is available, M14 holds ASSET_REQUIRED rather than fabricating one
