semantic_identity_id	canonical_display_text	m8_primary_state	m9_eligibility	current_exact_serp_state	current_query_id	query_form_class	query_form_basis	preacquisition_disposition	disposition_basis	unicode_codepoint_length	word_count	provider_limit_status	boundary_impact_ref	m8_demand_evidence_state	m8_demand_evidence_refs	claim_boundary
M8SID_0133a113dcbf6889	Интеграция Ozon Performance и ChatGPT (OpenAI)	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact provider/marketplace pairing has a source integration-page title shape; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	46	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_0133a113dcbf6889	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_0943a1068e9402f4	загрузка отчетов с маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00025	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	32	4	PASS		M2R_DIRECT_RESULT	M2R:line=852:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_096b2cc4a0b3c4f5	Как анализировать отчет о продажах на Wildberries	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about WB sales-report analysis.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	49	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_096b2cc4a0b3c4f5	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_0ce35825bf4cba3b	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	72	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_0ce35825bf4cba3b	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_15cbb2efd88933f0	плагин аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	30	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_15cbb2efd88933f0	M2R_DIRECT_RESULT	M2R:line=684:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_171a63d986f4ed26	финансовые отчеты маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	31	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_171a63d986f4ed26	M2R_DIRECT_RESULT	M2R:line=844:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_17638a451bed5dec	сервис внутренней аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	41	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_17638a451bed5dec	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=317:B01/B01-14 | M2R:line=563:B02/B02-12 | M2R:line=564:B02/B02-12 | M2R:line=733:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_1c0ee8bb00ecd201	Как правильно рассчитать ДРР на Wildberries?	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about calculating DRR.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	44	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_1c0ee8bb00ecd201	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_1d9b00510d4544c8	Управление остатками на Wildberries: как использовать отчёт «История остатков»	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	78	9	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_1d9b00510d4544c8	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_21a051e61744f9fa	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	75	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_21a051e61744f9fa	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
