execution_query_id	exact_query_text	query_authority_class	batch_id	export_source_file	source_item_index	operation_id	result_rank	rank_bucket	result_url_raw	result_url_normalized	result_host	result_domain	result_title	result_snippet_or_passage	authorized_competitor_match_status	authorized_competitor_id	authorized_competitor_name	competitor_role_class	competitor_match_basis	competitor_match_confidence	competitor_match_notes	m4c_exact_url_match_status	m4c_url_id	m4c_entity_id	evidence_time_or_provider_response_time_if_available	provider_result_modtime_if_available	claim_boundary
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	1	TOP3	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	api-master.ru	api-master.ru	Как правильно подключать chatGPT к OZON и WB. С помощью...	Подключить ChatGPT к Ozon или WB можно за 5 минут — просто вставить токен API в Actions. … Самое важное в такой системе — не просто дать ChatGPT доступ к API Ozon или WB. Сначала данные собираются по десяткам отдельных отчётов и эндпоинтов, приводятся к единому формату и сохраняются в базе.	MATCH_AUTHORIZED	REG005	Api Master	EDITORIAL_OR_PUBLISHER	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	EXACT_M4C_URL_MATCH	M4CURL001604	REG005	2026-09-23T05:32:00.544000+00:00	20260811T133351	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	2	TOP3	https://apimonster.ru/connector/bundle/openai/ozon/	https://apimonster.ru/connector/bundle/openai/ozon/	apimonster.ru	apimonster.ru	Интеграция OpenAI / ChatGpt (ОпенАИ / ЧатГпт) и Ozon...	Интеграция OpenAI / ChatGpt и Ozon. По API без программиста. Подключение за 5 минут, 30 дней на тесты. … Интеграция OpenAI и Ozon через ApiMonster — мощный инструмент для автоматизации продаж на маркетплейсе. Коннектор связывает ChatGPT с вашим магазином на Озон без программирования.	MATCH_AUTHORIZED	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	NO_EXACT_M4C_URL_MATCH			2026-09-23T05:32:00.544000+00:00	20221229T184119	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	3	TOP3	https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	jafo.ru	jafo.ru	Как подключить Claude или ChatGPT к Wildberries и Ozon...	Ключи кабинета не попадают в ИИ-сервис. Токены Wildberries и Ozon остаются на стороне Jafo в зашифрованном виде — Claude или ChatGPT их не видит и не может передать дальше. Данные покупателей (ФИО, телефон, адрес) не отдаются вообще: для работы с заказом хватает номера, состава и состояния.	MATCH_AUTHORIZED	REG015	Jafo	RECURRING_PRODUCT_VENDOR	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	EXACT_M4C_URL_MATCH	M4CURL002308	REG015	2026-09-23T05:32:00.544000+00:00	20260906T115008	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	4	TOP10	https://www.ozon.ru/product/chatgpt-plus-gpt-5-6-na-1-mesyats-maksimum-vozmozhnostey-ii-rabota-ucheba-biznes-sovmestnyy-dostup-5543975862/	https://www.ozon.ru/product/chatgpt-plus-gpt-5-6-na-1-mesyats-maksimum-vozmozhnostey-ii-rabota-ucheba-biznes-sovmestnyy-dostup-5543975862/	www.ozon.ru	www.ozon.ru	ChatGPT Plus GPT-5.6 на 1 месяц Максимум возможностей ИИ...		MATCH_AUTHORIZED	REG030	Ozon	NATIVE_MARKETPLACE_BASELINE	EXACT_ACCEPTED_M4A_RANKING_HOST	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	NO_EXACT_M4C_URL_MATCH			2026-09-23T05:32:00.544000+00:00	20260820T203257	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	5	TOP10	https://apimonster.ru/connector/bundle/ozon/callparser/	https://apimonster.ru/connector/bundle/ozon/callparser/	apimonster.ru	apimonster.ru	Интеграция Ozon (Озон) и Транскрибация и речевая аналитика...	Интеграция Ozon и Транскрибация и речевая аналитика через ChatGPT. По API без программиста. … Интеграция Ozon и Callparser от ApiMonster позволяет автоматизировать передачу данных между маркетплейсом и сервисом коллтрекинга. Настройте надежный обмен информацией без навыков программирования.	MATCH_AUTHORIZED	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	NO_EXACT_M4C_URL_MATCH			2026-09-23T05:32:00.544000+00:00	20240111T135535	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	6	TOP10	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	seller.ozon.ru	seller.ozon.ru	Нейросети и ИИ для маркетплейса Ozon: как автоматизировать...	Чтобы ChatGPT вас идеально понял, нужно давать ему прямое указание, например: «Напиши текст для карточки товара на Ozon по следующим вводным» — и перечислить важную информацию, которую вы хотите отразить в описании. Первый вариант, скорее всего, не будет идеальным. Укажите, что нужно скорректировать.	MATCH_AUTHORIZED	REG030	Ozon	NATIVE_MARKETPLACE_BASELINE	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	EXACT_M4C_URL_MATCH	M4CURL003338	REG030	2026-09-23T05:32:00.544000+00:00	20240227T185527	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	7	TOP10	https://albato.ru/integration-openai-ozon	https://albato.ru/integration-openai-ozon	albato.ru	albato.ru	Интеграция ChatGPT (OpenAI) с Ozon Seller — синхронизируем...	Создавайте интеграции ChatGPT (OpenAI) и Ozon Seller с более чем 1 000 сервисами. Настройте передачу данных и автоматизируйте любые процессы под свои задачи. Автоматизация ChatGPT (OpenAI): интеграции с CRM, рекламой и мессенджерами.	MATCH_AUTHORIZED	REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	EXACT_M4C_URL_MATCH	M4CURL000838	REG004	2026-09-23T05:32:00.544000+00:00	20230501T164846	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	8	TOP10	https://geoscout.pro/ru/blog/geo-dlya-ozon	https://geoscout.pro/ru/blog/geo-dlya-ozon	geoscout.pro	geoscout.pro	GEO для Ozon: как продавцу на Ozon попасть в рекомендации...	В статье: как Ozon выглядит в глазах ChatGPT, Алисы, Perplexity и Google AI; как оптимизировать карточку товара, отзывы и характеристики для AI-цитирования; какие внешние источники работают для селлеров Ozon; и пошаговый план на 30 дней.	NO_AUTHORIZED_MATCH				NO_ACCEPTED_HOST_OR_URL	HIGH	No authorized registry root, explicit host, or exact accepted URL matches this result.	NO_EXACT_M4C_URL_MATCH			2026-09-23T05:32:00.544000+00:00	20260415T120051	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	9	TOP10	https://www.youtube.com/watch?v=19SQhBg9Xz4	https://www.youtube.com/watch?v=19SQhBg9Xz4	www.youtube.com	www.youtube.com	Карточка товара за 3 минуты в ChatGPT | Нейросеть для... - YouTube	В этом ролике покажу, как в ChatGPT любой селлер и предприниматель на маркетплейсах сможет создать дизайн инфографики для Wildberries и Ozon.	MATCH_AUTHORIZED	REG059	YouTube	EDITORIAL_OR_PUBLISHER	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	EXACT_M4C_URL_MATCH	M4CURL015461	REG059	2026-09-23T05:32:00.544000+00:00	20250411T180812	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	M4Q-R2-B001	search-octoport-m4q-r2-b001-20260923-r225-0-24.json	0	spr5mar31fe2ahpk49u4	10	TOP10	https://apimonster.ru/connector/bundle/ozon/chatgptMarketingAssistant/	https://apimonster.ru/connector/bundle/ozon/chatgptMarketingAssistant/	apimonster.ru	apimonster.ru	Интеграция Ozon (Озон) и ChatGPT marketing assistant...	Интеграция Ozon и ChatGPT marketing assistant. По API без программиста. Подключение за 5 минут, 30 дней на тесты. … 6 Создать требуемое действие для ChatGPT marketing assistant, указав в какие поля ChatGPT marketing assistant передавать значения полей из Ozon. 7 Настроить фильтры для каждого шага при необходимости.	MATCH_AUTHORIZED	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	Registry identity and permitted exact host/URL anchor; no wildcard subdomain inference.	NO_EXACT_M4C_URL_MATCH			2026-09-23T05:32:00.544000+00:00	20250529T053635	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
