registry_id	entity_name	candidate_class	registrable_domain	m4b_lane	m4a_authority_query_count	m4a_page_candidate_count	source_layers_present	source_url_occurrence_count	deduped_url_count	source_page_evidence_row_count	content_evidence_url_count	source_candidate_occurrence_count	fresh_access_failure_count	historical_content_retained_under_fresh_failure_count	r3_r4_r5_overlap_url_count	freshest_access_observed_at	current_bounded_frontier_state	current_frontier_equation	current_frontier_equation_pass	anchors_channel_state	navigation_channel_state	sitemap_channel_state	pagination_channel_state	open_url_unresolved	blocking_channel_hold	m4q_lane_state	ranking_query_recall_limitation	limitation_notes
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ai007.io	M4B1_PRODUCT_VENDOR	1	1	M4B1_R1 || M4B1_R2	25	24	23	23	41	0	0	0	2026-09-18T10:07:28.974Z	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	aimarketcap.ru	M4B1_PRODUCT_VENDOR	1	1	M4B1_R1 || M4B1_R3_CURRENT	7	7	3	3	3	1	0	0	2026-09-22T07:36:49+00:00	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ainsider.ru	M4B1_PRODUCT_VENDOR	1	1	M4B1_R1 || M4B1_R3_CURRENT	11	11	11	11	13	0	0	0	2026-09-22T07:36:49+00:00	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	albato.ru	M4B1_PRODUCT_VENDOR	1	1	M4B1_R1 || M4B1_R2 || M4B1_R3_CURRENT	1557	1556	1331	1331	1333	160	0	0	2026-09-22T07:42:34+00:00	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG005	Api Master	EDITORIAL_OR_PUBLISHER	api-master.ru	M4B2_CONTEXT_BASELINE	3	1	M4B2_R1	42	42	40	40	40	1	0	0	2026-09-22T04:15:22+00:00	PASS_CANDIDATE	40+1+0+1+0=42	true	ALL_AUTHORITY_SEEDS_TERMINAL	TERMINAL_ENUMERATED	TERMINAL_ENUMERATED_42	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	apimonster.ru	M4B1_PRODUCT_VENDOR	3	3	M4B1_R1 || M4B1_R2	29	28	27	27	42	0	0	0	2026-09-18T10:07:28.974Z	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ascn.ai	M4B1_PRODUCT_VENDOR	1	1	M4B1_R3_CURRENT || M4B1_R1	14	14	4	4	6	9	0	0	2026-09-22T07:42:37+00:00	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG008	Asibiont	SERVICE_OR_AGENCY	asibiont.com	M4B1_PRODUCT_VENDOR	1	1	M4B1_R1 || M4B1_R3_CURRENT	62	62	14	14	15	46	0	0	2026-09-22T07:42:42+00:00	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	berkuz.ru	M4B1_PRODUCT_VENDOR	3	1	M4B1_R1 || M4B1_R2	59	56	48	48	473	0	0	0	2026-09-18T10:07:28.974Z	COMPLETE_BOUNDED_FRONTIER		true	COMPLETE	COMPLETE	COMPLETE	COMPLETE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG010	Habr	EDITORIAL_OR_PUBLISHER	habr.com	M4B2_CONTEXT_BASELINE	3	1	M4B2_R1	1	1	1	1	1	0	0	0	2026-09-22T03:53:43+00:00	PASS_CANDIDATE	1+0+0+0+0=1	true	ALL_AUTHORITY_SEEDS_TERMINAL	UNSCOPABLE_WITH_REASON_GENERIC_NAV	UNSCOPABLE_WITH_REASON_BROAD_SITEMAP	NOT_APPLICABLE	0	0	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	ACTIVE; ZERO_OBSERVATIONS_IS_NOT_ZERO_COMPETITOR_QUERIES	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES
