pair_id	semantic_identity_id_a	semantic_identity_id_b	canonical_text_a	canonical_text_b	preliminary_family_a	preliminary_family_b	user_task_relation	intent_relation	marketplace_scope_relation	product_fit_relation	search_comparability	current_query_id_a	current_query_id_b	exact_url_overlap_top10_count	exact_url_union_top10_count	exact_url_jaccard_top10	exact_url_overlap_top20_count	exact_url_union_top20_count	exact_url_jaccard_top20	domain_overlap_top10_count	domain_union_top10_count	domain_jaccard_top10	result_page_type_relation	search_evidence_refs	evidence_grade	pair_decision	pair_reason_code	rationale	claim_boundary	m10d_effect_summary	m11_owner_compatibility	owner_id_a	owner_id_b	m11_pair_disposition	m11_rationale	m11_evidence_refs
M9PAIR_7f5c991b3b92ff43	M8SID_0133a113dcbf6889	M8SID_0943a1068e9402f4	Интеграция Ozon Performance и ChatGPT (OpenAI)	загрузка отчетов с маркетплейсов	F2	F3	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M4QR2Q00025	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M4QR2Q00025:RU225:TOP100	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_7f5c991b3b92ff43 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_0f4cc6a9670458c6	M8SID_0133a113dcbf6889	M8SID_096b2cc4a0b3c4f5	Интеграция Ozon Performance и ChatGPT (OpenAI)	Как анализировать отчет о продажах на Wildberries	F2	F3	DIFFERENT	DIFFERENT	DIFFERENT	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_016_096b2cc4a0b3c4f5	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_016_096b2cc4a0b3c4f5:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_0f4cc6a9670458c6 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_c5b9a57ccd70a41e	M8SID_0133a113dcbf6889	M8SID_0ce35825bf4cba3b	Интеграция Ozon Performance и ChatGPT (OpenAI)	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	F2	F3	DIFFERENT	AMBIGUOUS	DIFFERENT	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_c5b9a57ccd70a41e | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_b40de4fa68580616	M8SID_0133a113dcbf6889	M8SID_15cbb2efd88933f0	Интеграция Ozon Performance и ChatGPT (OpenAI)	плагин аналитики маркетплейсов	F2	F3	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_011_15cbb2efd88933f0	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_011_15cbb2efd88933f0:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_b40de4fa68580616 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_09abed91c676813a	M8SID_0133a113dcbf6889	M8SID_171a63d986f4ed26	Интеграция Ozon Performance и ChatGPT (OpenAI)	финансовые отчеты маркетплейсов	F2	F3	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_008_171a63d986f4ed26	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_008_171a63d986f4ed26:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_09abed91c676813a | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_531d697149cd41c8	M8SID_0133a113dcbf6889	M8SID_17638a451bed5dec	Интеграция Ozon Performance и ChatGPT (OpenAI)	сервис внутренней аналитики маркетплейсов	F2	F3	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_012_17638a451bed5dec	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_012_17638a451bed5dec:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_531d697149cd41c8 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_4474a7b897a8e608	M8SID_0133a113dcbf6889	M8SID_1c0ee8bb00ecd201	Интеграция Ozon Performance и ChatGPT (OpenAI)	Как правильно рассчитать ДРР на Wildberries?	F2	F6	DIFFERENT	DIFFERENT	DIFFERENT	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_015_1c0ee8bb00ecd201	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_015_1c0ee8bb00ecd201:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_4474a7b897a8e608 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_aeca2b32690b0211	M8SID_0133a113dcbf6889	M8SID_1d9b00510d4544c8	Интеграция Ozon Performance и ChatGPT (OpenAI)	Управление остатками на Wildberries: как использовать отчёт «История остатков»	F2	F3	DIFFERENT	AMBIGUOUS	DIFFERENT	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_aeca2b32690b0211 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_736dc909c6cb7847	M8SID_0133a113dcbf6889	M8SID_21a051e61744f9fa	Интеграция Ozon Performance и ChatGPT (OpenAI)	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	F2	F3	DIFFERENT	AMBIGUOUS	DIFFERENT	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_736dc909c6cb7847 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_056958c9e5748893	M8SID_0133a113dcbf6889	M8SID_21a8a6bdb4a71db0	Интеграция Ozon Performance и ChatGPT (OpenAI)	ии агент для селлера	F2	F1	DIFFERENT	SAME	AMBIGUOUS	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_005_21a8a6bdb4a71db0	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_005_21a8a6bdb4a71db0:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_056958c9e5748893 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
