plan_id	source_path	current_blob	mutation_class	required_change	acceptance_check	do_not_change_boundary	test_gate	blocking	evidence_refs
M14P001	apps/site/public/index.html	3123a714e2092fb156eebe498ef97bb5969567f6	OPTIMIZE	Apply exact M12 R2 Title/H1; retain brand subheadline; add unique M14 description; add regular link to /seller-analytics and service footer links; add /favicon.png rel=icon; add one static WebSite JSON-LD node.	Exact Title/H1/description/self-canonical; required links present in initial HTML; favicon link exact; WebSite name/alternateName/url exact; executable JS=0.	No unsupported availability/pricing/write-back; do not absorb analytics page job; no Organization/SoftwareApplication/review/rating invention.	Site CI + deploy assert_source + live verifier source checks	true	M12 R2; M13 R2 metadata/site-name/favicon contracts
M14P002	apps/site/public/seller-analytics.html	ABSENT	CREATE	Create static seller-owned analytics use-case page using existing public-page CSS classes; exact M12 R2 Title/H1/description/self-canonical; HOME backlink; required M12 content-block order; verified mechanics only.	File exists; one H1; exact Title/description/canonical; initial HTML contains all required M12 blocks and HOME link; no unsupported claims/schema.	No external competitor/niche intelligence; no statutory accounting; no write-back/autonomous mutation; no fake screenshot/case/ROI/metrics or unverified data category.	Site CI + deploy assert_source + live verifier + M13 parity	true	M11/M12 R2; M12 proof/trust; M13TR028
M14P003	apps/site/public/privacy.html	bb975f29e3fbe8e1cfeb1fa19f397f9e5dc1f101	METADATA_ONLY	Preserve substantive body; remain indexable; add unique truthful meta description only.	Body text byte-equivalent except head metadata formatting where mechanically required; self-canonical unchanged; no robots noindex; description exact accepted M14 copy; sitemap includes canonical.	No substantive privacy-policy rewrite; no commercial SEO-owner implication.	Site CI + source diff guard + live verifier	true	M13 R2 INDEXABLE_UTILITY_PRIVACY; privacy revalidation
M14P004	apps/site/public/support.html	2ebb8fdab73c50d98a3af70198f98813cbab942b	METADATA_ONLY	Preserve substantive body; remain indexable; add unique truthful meta description only.	Body text preserved; self-canonical unchanged; no robots noindex; description exact accepted M14 copy; sitemap includes canonical.	No substantive support/browser/beta truth rewrite; no commercial SEO-owner implication.	Site CI + source diff guard + live verifier	true	M13 R2 INDEXABLE_UTILITY_SUPPORT; support revalidation
M14P005	apps/site/public/install.html	99bc456742375219779ae9c611580e389b81c7a1	INDEXING_DIRECTIVE	Preserve body/title/canonical; add meta robots noindex, follow.	Exactly one robots meta noindex, follow; canonical unchanged; absent from sitemap; page remains crawlable.	Do not imply catalog publication, official availability, ZIP/local installation or Safari support.	Site CI + live verifier	true	M13 R2 install current-state noindex decision
M14P006	apps/site/public/favicon.png	ABSENT	CREATE_DERIVED_ASSET	Deterministically resize current main apps/extension/src/assets/octoport-128.png from 128x128 to 120x120 preserving full canvas/colors.	PNG signature; IHDR=120x120; square; source identity/provenance recorded; no crop/recolor/redraw; referenced by HOME.	Do not design a new logo or use unapproved library/design candidates.	Site CI PNG parser + deploy guard + live verifier 200/image/png/no Location	true	M13TR029; current product mark blob 23e8e957...; source SHA256 c82e9037...
M14P007	apps/site/public/sitemap.xml	fdceb2ff477941104373850846c33bac2a5d3ced	REPLACE_CANONICAL_SET	Set exact four canonical locs: HOME, seller-analytics, privacy, support; simple loc-only sitemap.	Valid XML; exact set/count=4; no install, aliases, http/www, app/api; live 200.	No invented lastmod/priority/changefreq; sitemap membership does not create commercial ownership.	Site CI + live verifier	true	M13 R2 sitemap/indexability contract
M14P008	apps/site/README.md	28442c9c361e64e2fa161281db768a3dc6ca8ecc	UPDATE_DOC	Document seller-analytics, favicon asset, 4 indexable canonical URLs, install noindex state, static WebSite JSON-LD and current deployment contract.	README route/file/indexability inventory matches source contract and makes no deployment/indexing claim before M15/M16.	Do not state implementation is deployed or indexed; do not redefine Product Truth.	Site CI/readback	false	M13 R2 + M14 preparation
M14P009	infra/production/nginx/octoport-site.conf	4efcf08a2c118986496298789bac2565b1067994	UPDATE_PUBLIC_INGRESS	Preserve 3 server blocks/ACME/security/cache; direct ordinary HTTP www to HTTPS apex; add seller-analytics route; exact .html/trailing-slash aliases -> canonical 308; /index.html -> /; favicon static route; unknown remains 404.	nginx source checks verify exact routes/redirects; query strings preserved; no redirect loops; favicon direct route; unknown 404; 3 server blocks unchanged.	No app/api proxy or application hostname changes; ACME challenge unchanged; no catch-all HOME redirect.	Site CI + site regression + live verifier source assertions	true	M13 R2 route matrix; live baseline
M14P010	infra/production/scripts/deploy-octoport-site.sh	f35a27b084ddce4cb9342852e5e35579ef0bc6b6	UPDATE_DEPLOY_GUARD	Require seller-analytics.html and favicon.png; validate canonical/Title/H1/site-name/favicons and source truth before installation.	bash syntax PASS; assert_source fails on missing/wrong new artifacts; existing lock, clean checkout, app-ingress hash, DNS/TLS, immutable release and rollback remain.	Do not weaken app-ingress identity, rollback or server safety; do not deploy during M14.	bash -n + site regression + candidate Site CI	true	M13TR024; existing deployment safety
