occurrence_index	snapshot_id	snapshot_timestamp	extraction_chunk_id	extraction_chunk_status	source_collection_url	raw_href	absolute_url	normalized_identity	identity_class	duplicate_occurrence_rank	first_occurrence_index	unique_or_duplicate	reconciliation_state	accepted_identity_source	r5_url_id	retained_occurrence_id	retained_collection_index	observed_date	observed_title	observed_excerpt	observed_tags	original_extraction_batch	first_seen_provenance
1	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/	https://uniseller.io/blog/	https://uniseller.io/blog	ROOT	1	1	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00001	0		Блог			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
2	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/marketpleysy/	https://uniseller.io/blog/tema/marketpleysy/	https://uniseller.io/blog/tema/marketpleysy	THEME_TAXONOMY	1	2	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00002	1		маркетплейсы			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
3	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/wildberries/	https://uniseller.io/blog/tema/wildberries/	https://uniseller.io/blog/tema/wildberries	THEME_TAXONOMY	1	3	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00003	2		wildberries			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
4	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/seller/	https://uniseller.io/blog/tema/seller/	https://uniseller.io/blog/tema/seller	THEME_TAXONOMY	1	4	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00001	R5O00004	3		селлер			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
5	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/ozon/	https://uniseller.io/blog/tema/ozon/	https://uniseller.io/blog/tema/ozon	THEME_TAXONOMY	1	5	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00005	4		ozon			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
6	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/prodazhi/	https://uniseller.io/blog/tema/prodazhi/	https://uniseller.io/blog/tema/prodazhi	THEME_TAXONOMY	1	6	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00002	R5O00006	5		продажи			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
7	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/sellery/	https://uniseller.io/blog/tema/sellery/	https://uniseller.io/blog/tema/sellery	THEME_TAXONOMY	1	7	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00003	R5O00007	6		селлеры			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
8	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/yandeks-market/	https://uniseller.io/blog/tema/yandeks-market/	https://uniseller.io/blog/tema/yandeks-market	THEME_TAXONOMY	1	8	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00004	R5O00008	7		яндекс маркет			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
9	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/logistika/	https://uniseller.io/blog/tema/logistika/	https://uniseller.io/blog/tema/logistika	THEME_TAXONOMY	1	9	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00005	R5O00009	8		логистика			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
10	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/nalogi/	https://uniseller.io/blog/tema/nalogi/	https://uniseller.io/blog/tema/nalogi	THEME_TAXONOMY	1	10	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00006	R5O00010	9		налоги			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
11	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/wildberries-2/	https://uniseller.io/blog/tema/wildberries-2/	https://uniseller.io/blog/tema/wildberries-2	THEME_TAXONOMY	1	11	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00007	R5O00011	10		Wildberries			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
