diagnostic_id	diagnostic_class	tested_universe	observed_conflict	expected_review	final_resolution	changed_by_diagnostic	sibling_impact_checked	notes	evidence_refs
M9DIAG_001	FULL_PAIR_ENUMERATION	7913 eligibility; 104 Working; 5356 pairs	0 missing/duplicate/self; all deterministic pair IDs.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Complete 104 choose 2 compared to final IDs.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_002	R1_EXISTING_BILATERAL	1081 accepted R1 bilateral pairs	0 URL/union/Jaccard or state/reason changes.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	All old22/Wave1 exact current source windows independently recomputed.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_003	OLD22_WAVE2_EXACT_CROSS_SOURCE	396 old22/Wave2 bilateral pairs	0 independently recomputed URL/domain mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exact stored old M4Q and decoded Wave2 strings.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_004	WAVE1_WAVE2_EXACT_CROSS_SOURCE	450 Wave1/Wave2 bilateral pairs	0 independently recomputed URL/domain mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exact stored Wave1 and Wave2 projection strings.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_005	WAVE2_WAVE2_PROJECTION_ONLY	153 Wave2/Wave2 bilateral pairs	0 rank or overlap mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Only accepted Wave2 Top20 projection supplies both sides.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_006	ALL_BILATERAL_NUMERIC	2080 bilateral pairs	0 missing/non-numeric/recomputed metric mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Every nine-field overlap tuple independently recomputed.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_007	MISSING_SERP_NA	3276 one/no snapshot pairs	0 zero-valued overlap tuples; all NA_NOT_COMPARABLE.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Top10/20 and domain overlap all NA.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_008	WAVE2_TOP100_DUPLICATE_BELOW20	18 new current snapshots	18/18 Top20 URL sets unique; three known full Top100 below-window duplications cannot enter M9 windows.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Source export acceptance and decoded projection; no invented normalization.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_009	NEW_ANCHOR_NO_PAGE_TYPE	18 new Wave2 anchors; all 5356 pairs	0 accepted R1 page-type relation drift.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exactly the frozen 21 authorized bilateral page-type annotations remain.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_010	CHANGED_COMPARABILITY	5356 pairs	1701 transitions = 846 ONE->BOTH + 153 NO->BOTH + 702 NO->ONE; 3655 stable.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exact current anchor set 65/104.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
