m3_query_id	exact_query_text	current_decision_sensitivity	historical_m3_baseline_ref	current_m4q_r2_ref	overlap_control_state	temporal_control_state	regional_control_state	full_serp_html_control_state	device_browser_control_state	provider_candidate_ids	expected_control_effect	unresolved_blocker	recommended_next_state	notes
R01	подключить chatgpt к маркетплейсу	Own-LLM connection intent has a strong direct head and mixed integration/content tail. Current RU225 has 12 authorized competitors in top100 and 0 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R01; M4A_R01_TOP20_2026-09-16/17	M4QR2Q00013:2026-09-23:RU225:TOP100:ambiguous=0:comparison=CURRENT_RANKING_URL_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_MATERIAL_INFO_GAIN	M6PC005	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_HTML_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R02	chatgpt для ozon	Ozon ChatGPT intent mixes seller assistance, connection and content use cases. Current RU225 has 15 authorized competitors in top100 and 0 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R02; M4A_R02_TOP20_2026-09-16/17	M4QR2Q00001:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R03	chatgpt для wildberries	Wildberries ChatGPT intent mixes seller assistance, connection and content use cases. Current RU225 has 12 authorized competitors in top100 and 3 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R03; M4A_R03_TOP20_2026-09-16/17	M4QR2Q00002:2026-09-23:RU225:TOP100:ambiguous=3:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R04	аналитика маркетплейсов для селлеров	Seller analytics intent spans products, services, editorial guidance and human-role collisions. Current RU225 has 25 authorized competitors in top100 and 1 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R04; M4A_R04_TOP20_2026-09-16/17	M4QR2Q00004:2026-09-23:RU225:TOP100:ambiguous=1:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	SEARCH_REGION_PROVIDER_CANDIDATE	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_MATERIAL_INFO_GAIN	M6PC006 || M6PC007	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_HTML_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R05	отчеты для селлеров маркетплейсов	Seller reporting intent mixes operational reports with accounting/statutory contamination. Current RU225 has 20 authorized competitors in top100 and 1 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R05; M4A_R05_TOP20_2026-09-16/17	M4QR2Q00012:2026-09-23:RU225:TOP100:ambiguous=1:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R06	помощник селлера маркетплейсов	Software/AI seller-helper intent dominates, with smaller human/service collisions. Current RU225 has 18 authorized competitors in top100 and 0 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R06; M4A_R06_TOP20_2026-09-16/17	M4QR2Q00015:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	SEARCH_REGION_PROVIDER_CANDIDATE	HOLD_BRIDGE_CAPABILITY_REQUIRED	HOLD_BRIDGE_CAPABILITY_REQUIRED	M6PC008 || M6PC009 || M6PC010	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_HTML_BRIDGE_UNSUPPORTED || SEARCH_USERAGENT_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R07	как заполнить карточку товара wildberries	Operational WB card workflow coexists with creative-card and education surfaces. Current RU225 has 16 authorized competitors in top100 and 2 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R07; M4A_R07_TOP20_2026-09-16/17	M4QR2Q00009:2026-09-23:RU225:TOP100:ambiguous=2:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	HOLD_BRIDGE_CAPABILITY_REQUIRED	HOLD_BRIDGE_CAPABILITY_REQUIRED	M6PC011 || M6PC012	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_HTML_BRIDGE_UNSUPPORTED || SEARCH_USERAGENT_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R08	аналитика рекламы маркетплейсов	Marketplace advertising analytics overlaps tools, services, education and automation boundaries. Current RU225 has 26 authorized competitors in top100 and 1 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R08; M4A_R08_TOP20_2026-09-16/17	M4QR2Q00005:2026-09-23:RU225:TOP100:ambiguous=1:comparison=HOLD_COMPARABILITY	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_MATERIAL_INFO_GAIN	M6PC013	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_HTML_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17. R08 historical identity comparison HOLD_COMPARABILITY; temporal snapshot still usable. No causal movement, demand, or all-device claim.
R09	поисковые запросы wildberries для продавца	WB seller search-query task collides with buyer/general search and card-SEO surfaces. Current RU225 has 19 authorized competitors in top100 and 2 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R09; M4A_R09_TOP20_2026-09-16/17	M4QR2Q00014:2026-09-23:RU225:TOP100:ambiguous=2:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R10	анализ ниш wildberries для продавца	WB niche-analysis task overlaps external analytics vendors and educational guidance. Current RU225 has 21 authorized competitors in top100 and 1 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R10; M4A_R10_TOP20_2026-09-16/17	M4QR2Q00003:2026-09-23:RU225:TOP100:ambiguous=1:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R11	как работать в кабинете wildberries продавцу	WB seller-cabinet procedural help is mixed with native help, education and buyer navigation. Current RU225 has 23 authorized competitors in top100 and 3 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R11; M4A_R11_TOP20_2026-09-16/17	M4QR2Q00010:2026-09-23:RU225:TOP100:ambiguous=3:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	HOLD_BRIDGE_CAPABILITY_REQUIRED	M6PC014	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_USERAGENT_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
R12	какой ии выбрать для маркетплейсов	AI/tool comparison intent mixes agents, analytics products, editorial lists and creative tools. Current RU225 has 15 authorized competitors in top100 and 1 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#R12; M4A_R12_TOP20_2026-09-16/17	M4QR2Q00011:2026-09-23:RU225:TOP100:ambiguous=1:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_MATERIAL_INFO_GAIN	M6PC015	M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.	SEARCH_HTML_BRIDGE_UNSUPPORTED	HOLD_SELECTED_FEATURE_OR_DEVICE	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
S01	ии агенты для маркетплейсов	Generic AI-agent/assistant marketplace category with adjacent automation/content surfaces. Current RU225 has 22 authorized competitors in top100 and 0 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#S01; M4A_S01_TOP20_2026-09-16/17	M4QR2Q00008:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
S02	ии агент для озон	Ozon-specific AI-agent category and seller/API/data intent. Current RU225 has 23 authorized competitors in top100 and 0 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#S02; M4A_S02_TOP20_2026-09-16/17	M4QR2Q00007:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
S03	ии агент для wildberries	Wildberries-specific AI-agent category with shared core and marketplace-specific depth. Current RU225 has 24 authorized competitors in top100 and 0 ambiguous-host rows.	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md#S03; M4A_S03_TOP20_2026-09-16/17	M4QR2Q00006:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE	REUSE_ACCEPTED_M4A	REUSE_ACCEPTED_M4Q_R2_CURRENT_SNAPSHOT	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN	NO_MATERIAL_INFO_GAIN		M4A Top10 pairwise reuse and M4Q current top100 time repeat; selected separate regional or feature/device controls can only change bounded intent interpretation.		CONTROLS_REUSED_NO_NEW_ACQUISITION	105/105 complete overlap pairs; M4Q 2026-09-23 satisfies temporal repeat versus M3 2026-09-16/17.  No causal movement, demand, or all-device claim.
