registry_id	entity_name_or_hold	registrable_domain	candidate_class	inclusion_basis	all_query_coverage	top3_query_coverage	top10_query_coverage	rank11_20_query_coverage	target_relevant_query_coverage	distinct_ranking_urls	authority_query_ids	query_families	collision_or_uncertainty_exposure	metric_granularity_notes	m4b_priority	selection_rationale	source_occurrence_ids
REG001	Ai007	ai007.io	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	1	1	0	1	1	S03	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S03-01
REG002	Aimarketcap	aimarketcap.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	1	1	0	1	1	R12	F9	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	R12-03
REG003	Ainsider	ainsider.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S02	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-05
REG004	Albato	albato.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	R02	F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	R02-07
REG005	Api Master	api-master.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	3	3	3	0	3	1	R01 | R02 | R03	F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R01-01 | R02-02 | R03-02
REG006	Apimonster	apimonster.ru	OTHER_RELEVANT_CONTEXT	Recurring relevant context surface outside the core vendor/native/editorial classes.	3	2	3	0	2	4	R01 | R02 | R03	F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring relevant context surface outside the core vendor/native/editorial classes. SEARCH COMPETITOR != BUSINESS RIVAL.	R01-09 | R02-03 | R02-08 | R03-03
REG007	Ascn	ascn.ai	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S01	F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-08
REG008	Asibiont	asibiont.com	SERVICE_OR_AGENCY	Service/agency surface materially ranks in Top10 for a target query.	1	0	1	0	1	1	S02	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Service/agency surface materially ranks in Top10 for a target query. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-10
REG009	Berkuz	berkuz.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	2	3	0	3	1	S01 | S02 | S03	F1 | F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-01 | S02-03 | S03-04
REG010	Habr	habr.com	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	3	0	1	2	2	3	R01 | S01 | S03	F1 | F1,F9 | F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-05 | S03-15 | R01-15
