authority_query_id	query_text	query_family	top3_target_relevant_count	top10_target_relevant_count	rank11_20_target_relevant_count	top10_page_type_distribution	top10_market_surface_distribution	dominant_top10_page_type	dominant_top10_market_surface	accepted_intent_summary	intent_confidence	collision_or_uncertainty_count	profile_basis	source_limitations
S01	ии агенты для маркетплейсов	F1,F9	3	10	10	ADVERTISING_TOOL_OR_SERVICE_PAGE:1 | AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:8 | SEARCH_OR_NICHE_ANALYTICS_PAGE:1	EDITORIAL_OR_PUBLISHER:2 | THIRD_PARTY_PRODUCT_VENDOR:8	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Generic AI-agent/assistant marketplace category with adjacent automation/content surfaces.	HIGH	3	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
S02	ии агент для озон	F1	2	9	7	ADVERTISING_TOOL_OR_SERVICE_PAGE:1 | AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:7 | INTEGRATION_OR_CONNECTION_GUIDE:2	EDITORIAL_OR_PUBLISHER:1 | OTHER:2 | SERVICE_OR_AGENCY:1 | THIRD_PARTY_PRODUCT_VENDOR:6	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Ozon-specific AI-agent category and seller/API/data intent.	HIGH	4	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
S03	ии агент для wildberries	F1	3	9	10	ADVERTISING_TOOL_OR_SERVICE_PAGE:3 | AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:7	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:9	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Wildberries-specific AI-agent category with shared core and marketplace-specific depth.	HIGH	3	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R01	подключить chatgpt к маркетплейсу	F2	2	3	0	CREATIVE_OR_CARD_TOOL_PAGE:1 | EDITORIAL_GUIDE_OR_ARTICLE:1 | INTEGRATION_OR_CONNECTION_GUIDE:6 | NATIVE_MARKETPLACE_HELP_OR_SELLER_PAGE:1 | OTHER_OBSERVED_PAGE:1	EDITORIAL_OR_PUBLISHER:6 | NATIVE_MARKETPLACE:1 | OTHER:3	INTEGRATION_OR_CONNECTION_GUIDE	EDITORIAL_OR_PUBLISHER	Own-LLM connection intent has a strong direct head and mixed integration/content tail.	MEDIUM	7	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R02	chatgpt для ozon	F2	3	6	0	ADVERTISING_TOOL_OR_SERVICE_PAGE:1 | AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:1 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:3 | CREATIVE_OR_CARD_TOOL_PAGE:1 | INTEGRATION_OR_CONNECTION_GUIDE:2 | NATIVE_MARKETPLACE_HELP_OR_SELLER_PAGE:1 | OTHER_OBSERVED_PAGE:1	EDITORIAL_OR_PUBLISHER:4 | NATIVE_MARKETPLACE:1 | THIRD_PARTY_PRODUCT_VENDOR:5	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Ozon ChatGPT intent mixes seller assistance, connection and content use cases.	HIGH	6	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R03	chatgpt для wildberries	F2	3	4	0	ADVERTISING_TOOL_OR_SERVICE_PAGE:1 | AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:1 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:2 | CREATIVE_OR_CARD_TOOL_PAGE:3 | EDITORIAL_GUIDE_OR_ARTICLE:1 | INTEGRATION_OR_CONNECTION_GUIDE:2	EDITORIAL_OR_PUBLISHER:4 | OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:5	CREATIVE_OR_CARD_TOOL_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Wildberries ChatGPT intent mixes seller assistance, connection and content use cases.	MEDIUM	4	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R04R1	аналитика маркетплейсов для селлеров	F3,F9	3	9	7	ADVERTISING_TOOL_OR_SERVICE_PAGE:2 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:5 | SEARCH_OR_NICHE_ANALYTICS_PAGE:3	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:9	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Seller analytics intent spans products, services, editorial guidance and human-role collisions.	HIGH	9	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R05	отчеты для селлеров маркетплейсов	F3	2	4	6	ANALYTICS_OR_REPORTING_PRODUCT_PAGE:4 | EDITORIAL_GUIDE_OR_ARTICLE:3 | OTHER_OBSERVED_PAGE:2 | SEARCH_OR_NICHE_ANALYTICS_PAGE:1	EDITORIAL_OR_PUBLISHER:6 | OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:3	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	EDITORIAL_OR_PUBLISHER	Seller reporting intent mixes operational reports with accounting/statutory contamination.	MEDIUM	9	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R06	помощник селлера маркетплейсов	F4	2	7	5	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:3 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:2 | DIRECTORY_STORE_OR_LISTING_PAGE:3 | EDITORIAL_GUIDE_OR_ARTICLE:1 | SERVICE_OR_AGENCY_PAGE:1	AGGREGATOR_OR_DIRECTORY:3 | OTHER:1 | SERVICE_OR_AGENCY:1 | THIRD_PARTY_PRODUCT_VENDOR:5	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Software/AI seller-helper intent dominates, with smaller human/service collisions.	HIGH	5	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R07	как заполнить карточку товара wildberries	F5,F8	3	7	7	CREATIVE_OR_CARD_TOOL_PAGE:8 | DIRECTORY_STORE_OR_LISTING_PAGE:1 | NATIVE_MARKETPLACE_HELP_OR_SELLER_PAGE:1	AGGREGATOR_OR_DIRECTORY:1 | EDITORIAL_OR_PUBLISHER:4 | NATIVE_MARKETPLACE:1 | THIRD_PARTY_PRODUCT_VENDOR:4	CREATIVE_OR_CARD_TOOL_PAGE	EDITORIAL_OR_PUBLISHER	Operational WB card workflow coexists with creative-card and education surfaces.	HIGH	7	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R08	аналитика рекламы маркетплейсов	F6	2	6	7	ADVERTISING_TOOL_OR_SERVICE_PAGE:5 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:3 | DIRECTORY_STORE_OR_LISTING_PAGE:1 | SEARCH_OR_NICHE_ANALYTICS_PAGE:1	AGGREGATOR_OR_DIRECTORY:1 | SERVICE_OR_AGENCY:1 | THIRD_PARTY_PRODUCT_VENDOR:8	ADVERTISING_TOOL_OR_SERVICE_PAGE	THIRD_PARTY_PRODUCT_VENDOR	Marketplace advertising analytics overlaps tools, services, education and automation boundaries.	HIGH	4	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R09	поисковые запросы wildberries для продавца	F7	3	9	10	ADVERTISING_TOOL_OR_SERVICE_PAGE:1 | EDITORIAL_GUIDE_OR_ARTICLE:4 | INTEGRATION_OR_CONNECTION_GUIDE:1 | NATIVE_MARKETPLACE_HELP_OR_SELLER_PAGE:2 | SEARCH_OR_NICHE_ANALYTICS_PAGE:2	EDITORIAL_OR_PUBLISHER:4 | NATIVE_MARKETPLACE:2 | OTHER:2 | THIRD_PARTY_PRODUCT_VENDOR:2	EDITORIAL_GUIDE_OR_ARTICLE	EDITORIAL_OR_PUBLISHER	WB seller search-query task collides with buyer/general search and card-SEO surfaces.	HIGH	1	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R10	анализ ниш wildberries для продавца	F7	3	10	10	EDITORIAL_GUIDE_OR_ARTICLE:5 | NATIVE_MARKETPLACE_HELP_OR_SELLER_PAGE:1 | SEARCH_OR_NICHE_ANALYTICS_PAGE:4	EDITORIAL_OR_PUBLISHER:5 | NATIVE_MARKETPLACE:1 | OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:3	EDITORIAL_GUIDE_OR_ARTICLE	EDITORIAL_OR_PUBLISHER	WB niche-analysis task overlaps external analytics vendors and educational guidance.	HIGH	1	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R11	как работать в кабинете wildberries продавцу	F8	3	10	9	ADVERTISING_TOOL_OR_SERVICE_PAGE:4 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:2 | EDITORIAL_GUIDE_OR_ARTICLE:3 | NATIVE_MARKETPLACE_HELP_OR_SELLER_PAGE:1	EDITORIAL_OR_PUBLISHER:5 | NATIVE_MARKETPLACE:1 | OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:3	ADVERTISING_TOOL_OR_SERVICE_PAGE	EDITORIAL_OR_PUBLISHER	WB seller-cabinet procedural help is mixed with native help, education and buyer navigation.	HIGH	3	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
R12	какой ии выбрать для маркетплейсов	F9	3	8	5	ADVERTISING_TOOL_OR_SERVICE_PAGE:1 | AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE:1 | ANALYTICS_OR_REPORTING_PRODUCT_PAGE:1 | CREATIVE_OR_CARD_TOOL_PAGE:5 | DIRECTORY_STORE_OR_LISTING_PAGE:1 | INTEGRATION_OR_CONNECTION_GUIDE:1	AGGREGATOR_OR_DIRECTORY:1 | EDITORIAL_OR_PUBLISHER:8 | THIRD_PARTY_PRODUCT_VENDOR:1	CREATIVE_OR_CARD_TOOL_PAGE	EDITORIAL_OR_PUBLISHER	AI/tool comparison intent mixes agents, analytics products, editorial lists and creative tools.	HIGH	11	Complete ranks 1-20; Top3 amplifier, Top10 primary, ranks 11-20 discovery; title/snippet/URL evidence only.	Single accepted SERP snapshot; snippets are not full-page evidence; no external browsing.
