hold_id	pair_id	semantic_identity_id_a	semantic_identity_id_b	cluster_id_a	cluster_id_b	pair_reason_code	exact_unknown	current_evidence	missing_evidence	why_not_guess	blocking_for_m10a	reopen_trigger	claim_boundary
M9H_df04d7d1fb0bc37b	M9PAIR_1c8ce4c2d774883a	M8SID_0133a113dcbf6889	M8SID_4a1030b3d8bdd2d5	M9CL_998176896a32b481	M9CL_3f05678ef9d62960	H_ONE_SERP_INSUFFICIENT	Whether Интеграция Ozon Performance и ChatGPT (OpenAI) and подключить ии к маркетплейсу can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00037:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=SAME; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_f4e2f18316785f49	M9PAIR_453eb09d5294d593	M8SID_0133a113dcbf6889	M8SID_529f805abccbf8b2	M9CL_998176896a32b481	M9CL_710c43ac2fdf4cc7	H_ONE_SERP_INSUFFICIENT	Whether Интеграция Ozon Performance и ChatGPT (OpenAI) and подключить chatgpt к маркетплейсу can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00013:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=SAME; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_f99eae423a464f7b	M9PAIR_68c418f6731bfe29	M8SID_0133a113dcbf6889	M8SID_8c1225a6582027f4	M9CL_998176896a32b481	M9CL_bae58ac9423f9f3c	H_ONE_SERP_INSUFFICIENT	Whether Интеграция Ozon Performance и ChatGPT (OpenAI) and chatgpt для ozon can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00001:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=SAME; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_413e6132f97d711d	M9PAIR_764a6a66fddb65a6	M8SID_0133a113dcbf6889	M8SID_fd88d7d9e3b2e406	M9CL_998176896a32b481	M9CL_3a8d523d2578edae	H_ONE_SERP_INSUFFICIENT	Whether Интеграция Ozon Performance и ChatGPT (OpenAI) and chatgpt для маркетплейсов can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00016:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=SAME; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_0ea28646b3fa0d21	M9PAIR_dbe9ac4fd99b2618	M8SID_0943a1068e9402f4	M8SID_0ce35825bf4cba3b	M9CL_5807efab0bbb4b64	M9CL_ee5c28cd547da2e7	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_d48189bf0728cfb0	M9PAIR_8b033e89b10726e1	M8SID_0943a1068e9402f4	M8SID_171a63d986f4ed26	M9CL_5807efab0bbb4b64	M9CL_de045ccdfbf546b3	H_ONE_SERP_INSUFFICIENT	Whether загрузка отчетов с маркетплейсов and финансовые отчеты маркетплейсов can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_e5ce836c919f4bca	M9PAIR_97ed2b87b4ed3bfc	M8SID_0943a1068e9402f4	M8SID_1d9b00510d4544c8	M9CL_5807efab0bbb4b64	M9CL_d6e9196cf6453986	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Управление остатками на Wildberries: как использовать отчёт «История остатков» can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_ee09a7240de981e6	M9PAIR_35b6c56e16be36d9	M8SID_0943a1068e9402f4	M8SID_21a051e61744f9fa	M9CL_5807efab0bbb4b64	M9CL_ce7b5d6c7e756b52	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_4a6a6cec43b6fd6e	M9PAIR_1d838c5e9c6f9abc	M8SID_0943a1068e9402f4	M8SID_2a1f3b8d04a0da08	M9CL_5807efab0bbb4b64	M9CL_8f0e6e3238f52a2b	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Отчёт «Доходы и расходы» Wildberries: как читать и сверять can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_3d2e35a10dfc95aa	M9PAIR_a76b93f322de42fe	M8SID_0943a1068e9402f4	M8SID_3bf57790dda15865	M9CL_5807efab0bbb4b64	M9CL_d755a1fe3e51ac2e	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Сверка отчетов с Wildberries can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
