semantic_identity_id	canonical_display_text	query_form_class	preacquisition_disposition	deferral_reason	query_form_basis	material_hold_degree	material_hold_to_existing_anchor_degree	one_current_serp_hold_degree	blocks_supported_merge_materialization	reopen_trigger	claim_boundary
M8SID_0133a113dcbf6889	Интеграция Ozon Performance и ChatGPT (OpenAI)	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact provider/marketplace pairing has a source integration-page title shape; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	4	4	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_096b2cc4a0b3c4f5	Как анализировать отчет о продажах на Wildberries	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about WB sales-report analysis.	18	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_0ce35825bf4cba3b	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	23	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_1c0ee8bb00ecd201	Как правильно рассчитать ДРР на Wildberries?	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about calculating DRR.	15	2	2	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_1d9b00510d4544c8	Управление остатками на Wildberries: как использовать отчёт «История остатков»	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	21	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_21a051e61744f9fa	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_21a8a6bdb4a71db0	ии агент для селлера	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_TOTALCOUNT_ONLY_SEED; empty/totalCount-only is not positive demand.	10	5	5	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_24825275388a8170	нейросеть для работы с маркетплейсами	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	14	6	6	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_250abbb38cffed7a	Как скачать отчёт о продажах на Wildberries	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about downloading the sales report.	39	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_26313942bc9cfe04	Аналитика продаж на Вайлдберриз в программе для интеграции с маркетплейсами	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	25	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
