page_id	recovery_url_id	source_layer	url_id	registry_id	entity_name	candidate_class	final_url	captured_at	page_role	title	meta_description	h1	heading_structure_summary	breadcrumb_summary	marketplace_scope	ai_llm_scope	user_jobs	data_scope	capability_claims	action_boundary_claims	integrations	pricing_availability	cta	proof_trust_cases	faq_subtopics	author_freshness	internal_link_pattern	structured_data_observed	evidence_locator	claim_confidence	octoport_overlap	octoport_difference	notes
M4B1R5P00001	M4B1R5U00001	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00001	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/seller/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	селлер	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: селлер	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/seller/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00002	M4B1R5U00002	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00002	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/prodazhi/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	продажи	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: продажи	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/prodazhi/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00003	M4B1R5U00003	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00003	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/sellery/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	селлеры	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	GENERIC_MARKETPLACE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: селлеры	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/sellery/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00004	M4B1R5U00004	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00004	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/yandeks-market/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	яндекс маркет	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	YANDEX_MARKET	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: яндекс маркет	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/yandeks-market/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00005	M4B1R5U00005	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00005	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/logistika/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	логистика	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: логистика	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/logistika/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00006	M4B1R5U00006	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00006	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/nalogi/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	налоги	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: налоги	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/nalogi/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00007	M4B1R5U00007	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00007	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/wildberries-2/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	Wildberries	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	WILDBERRIES	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: Wildberries	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/wildberries-2/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00008	M4B1R5U00008	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00008	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/prodvizhenie/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	продвижение	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: продвижение	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/prodvizhenie/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00009	M4B1R5U00009	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00009	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/servisy/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	сервисы	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: сервисы	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/servisy/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
M4B1R5P00010	M4B1R5U00010	R5_LOSSLESS_PUBLIC_COLLECTION	M4B1R5U00010	REG051	Uniseller	RECURRING_PRODUCT_VENDOR	https://uniseller.io/blog/tema/tovary/	2026-09-21T13:27:14.781Z	COLLECTION_TAXONOMY	товары	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	OFFICIAL_COLLECTION_TAXONOMY_LABEL_OBSERVED	UNISELLER > BLOG > TOPIC	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	CANDIDATE_TOPIC_FROM_PUBLIC_COLLECTION: товары	NOT_OBSERVED_IN_BOUNDED_COLLECTION_CAPTURE	COMPETITOR_PAGE_ONLY; NO OCTOPORT CAPABILITY CLAIM PROMOTED	COMPETITOR_PAGE_ONLY; NO OCTOPORT ACTION BOUNDARY PROMOTED	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_EXTRACTED_IN_BOUNDED_R5_COLLECTION_CAPTURE	NOT_OBSERVED_IN_CAPTURE	DISCOVERED_VIA_COMPLETE_PUBLIC_COLLECTION_DOM	NOT_CHECKED_IN_BOUNDED_R5_COLLECTION_CAPTURE	https://uniseller.io/blog/tema/tovary/	HIGH_OFFICIAL_TAXONOMY_IDENTITY	CANDIDATE_ONLY_NOT_DEMAND	NO_COMPETITOR_CLAIM_PROMOTED_TO_OCTOPORT_FACT	R5 structured collection evidence. Identity kind=TAXONOMY. Tags=NONE_OBSERVED. Full page body was not retained; wording remains competitor evidence and not demand evidence.
