m6_source_row_id	raw_candidate_text	fact_family	main_chat_resolution	resolution_basis	owner_input_required_now	authority_refs	reopen_rule
M6SRC00686	Внешняя аналитика Wildberries для управления прибылью: данные, проверка, внедрение	EXTERNAL_NICHE_INTELLIGENCE	HOLD_CAPABILITY_EVIDENCE_REQUIRED	Current Product Truth explicitly forbids promising full external market/competitor/niche intelligence without endpoint-level confirmation.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC00780	Штрафы Wildberries для продавцов: перечень 2026 года и как оспорить	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Seller-facing task is plausible, but current Product Truth does not prove the exact WB penalty fields plus an allowed dispute/appeal workflow.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC01366	Как понять, что продавать на Wildberries? Понятная инструкция по анализу ниши	EXTERNAL_NICHE_INTELLIGENCE	HOLD_CAPABILITY_EVIDENCE_REQUIRED	Niche-selection intelligence is an explicit current M0 capability unknown; competitor wording cannot establish product support.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC01386	Штрафы за фото на Wildberries и безопасный визуал	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	No accepted endpoint/workflow authority proves this exact penalty cause plus safe visual adjudication task.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC02532	Ошибки, доначисления и штрафы в логистике Wildberries: как проверить и оспорить	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Exact logistics charge/penalty evidence and dispute workflow are not established by current Product Truth.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC02742	Как учитывать расходы, не связанные с маркетплейсами, для расчёта чистой прибыли	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Non-marketplace expenses require an input/import source not present in current Product Truth; complete net-profit calculation cannot be claimed.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC02881	Как проанализировать нишу на Wildberries перед выходом на маркетплейс	EXTERNAL_NICHE_INTELLIGENCE	HOLD_CAPABILITY_EVIDENCE_REQUIRED	Full WB niche-analysis capability is an explicit M0 unknown; Search/competitor evidence cannot substitute for endpoint proof.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC03331	Возвраты и штрафы Wildberries для продавца: учёт, доказательства и оспаривание	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Current authority does not prove complete returns+penalties evidence or appeal workflow.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC03360	Портрет покупателя на Wildberries: как данные меняют ассортимент	BUYER_PORTRAIT	HOLD_WB_ENDPOINT_EVIDENCE_REQUIRED	Exact WB buyer-portrait report/API accessibility is not established in Product Truth.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC03479	Чистая прибыль на маркетплейсе или отчет о прибылях и убытках	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Net profit/P&L requires a complete cost and revenue model; current Product Truth only supports available seller-owned API data, not complete accounting truth.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
