page_candidate_id	registry_id	entity_name	ranking_url	normalized_url	authority_query_ids	ranks	rank_buckets	query_families	candidate_class	why_anchor_for_m4b	collection_priority	expected_information_gain	native_baseline_flag	collision_dependency	hold_reason
PAGE001	REG001	Ai007	https://www.ai007.io/	https://www.ai007.io/	S03	S03:1	TOP3	F1	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE002	REG002	Aimarketcap	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov/	https://aimarketcap.ru/guides/nejroseti-dlya-marketplejsov	R12	R12:3	TOP3	F9	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE003	REG003	Ainsider	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	S02	S02:5	TOP10_REST	F1	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE004	REG004	Albato	https://albato.ru/integration-openai-ozon	https://albato.ru/integration-openai-ozon	R02	R02:7	TOP10_REST	F2	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE005	REG005	Api Master	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	R01 | R02 | R03	R01:1 | R02:2 | R03:2	TOP3	F2	EDITORIAL_OR_PUBLISHER	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE006	REG006	Apimonster	https://apimonster.ru/connector/bundle/callparser/ozon/	https://apimonster.ru/connector/bundle/callparser/ozon	R02	R02:8	TOP10_REST	F2	OTHER_RELEVANT_CONTEXT	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE007	REG006	Apimonster	https://apimonster.ru/connector/bundle/openai/ozon/	https://apimonster.ru/connector/bundle/openai/ozon	R02	R02:3	TOP3	F2	OTHER_RELEVANT_CONTEXT	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE008	REG006	Apimonster	https://apimonster.ru/connector/bundle/openai/wildberries/	https://apimonster.ru/connector/bundle/openai/wildberries	R03	R03:3	TOP3	F2	OTHER_RELEVANT_CONTEXT	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE009	REG007	Ascn	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	S01	S01:8	TOP10_REST	F1,F9	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE010	REG008	Asibiont	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	S02	S02:10	TOP10_REST	F1	SERVICE_OR_AGENCY	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
