requirement_id	topic	scope	current_state	required_state	source_basis	implementation_targets	acceptance_check	blocking	claim_boundary
M13TR001	canonical_origin	public_site	HOME/service pages use apex self-canonical	Canonical public origin is https://octoport.ru; indexable canonical URLs use HTTPS apex	Yandex canonical; Google canonicalization; M12	index.html;seller-analytics.html;privacy.html;support.html;install.html;octoport-site.conf	Every 200 HTML route has exactly one correct absolute self-canonical; aliases do not serve duplicate 200 bodies	true	Preferred origin; not proof search engines already selected it
M13TR002	http_apex_redirect	host_scheme	live HTTP apex -> 308 HTTPS apex	HTTP apex ordinary paths -> one 308 to same HTTPS apex path/query	Yandex canonical/redirect; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	No-follow curl shows 308 exact Location preserving path/query	true	ACME challenge exception may remain
M13TR003	http_www_redirect	host_scheme	live HTTP www -> 308 HTTPS www -> 308 apex	HTTP www ordinary paths -> one 308 directly to HTTPS apex same path/query	Yandex canonical/redirect; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	No-follow curl HTTP www returns direct HTTPS apex Location	true	Ordinary paths only; ACME exception remains explicit
M13TR004	https_www_redirect	host_scheme	live HTTPS www -> 308 HTTPS apex	Preserve direct 308 HTTPS www -> HTTPS apex same path/query	Yandex canonical; Google canonicalization	octoport-site.conf;verify-octoport-site.sh	Exact Location and no loop	true	Host canonicalization only
M13TR005	indexable_routes	routes	HOME 200; seller-analytics 404	HOME and /seller-analytics 200 and only M11/M12 SEO-owner indexable routes	M11 R2; M12 R2	index.html;seller-analytics.html;octoport-site.conf	Both 200, self-canonical, no noindex; exactly two sitemap locs	true	No held cluster/service owner promotion
M13TR006	html_alias_redirects	duplicates	index/service .html aliases currently 200; analytics .html 404	/index.html and all known .html aliases -> permanent canonical extensionless redirect	Yandex canonical; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	Each listed alias returns 308 exact canonical Location and never 200	true	Known aliases only; no wildcard masking 404
M13TR007	trailing_slash_aliases	duplicates	service slash variants 404; analytics slash 404	Known non-root trailing-slash aliases -> permanent no-slash canonical redirect	Yandex canonical; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	Each specified slash alias returns 308 exact canonical Location	true	Root slash remains canonical
M13TR008	unknown_route_404	soft_404	representative unknown live route 404	Preserve unknown public routes as 404; never HOME redirect	crawl/index hygiene; project anti-soft-404 gate	octoport-site.conf;verify-octoport-site.sh;test_site_deployment.py	Unknown path returns 404 and no Location	true	Known aliases are explicit exceptions
M13TR009	service_noindex	indexability	privacy/support/install live 200 without robots meta	privacy/support/install crawlable with robots meta noindex, follow	M11 R2; Yandex robots/noindex	privacy.html;support.html;install.html;site-ci.yml;verify-octoport-site.sh	200 pages expose noindex, follow and are absent sitemap	true	Noindex does not make them inaccessible to users
M13TR010	service_crawlability	robots	current robots does not block service pages	Do not Disallow service pages; crawlers must see noindex	Yandex robots.txt	robots.txt;site-ci.yml;verify-octoport-site.sh	robots allows service paths and page noindex remains fetchable	true	Crawlability != indexability
