registry_id	entity_name	scope_policy	authority_seed_rows	discovered_rows	inspected_rows	inaccessible_rows	excluded_or_variant_rows	redirect_rows	unresolved_rows	equation	equation_pass	all_seed_rows_accounted	applicable_channels_terminal	silent_url_loss	blocking_hold	final_state	notes
REG005	Api Master	THEME_SCOPED_PUBLIC_TAXONOMY	1	42	40	1	0	1	0	40+1+0+1+0=42	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG010	Habr	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1	1	1	0	0	0	0	1+0+0+0+0=1	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG017	Klerk	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	0	0	0	2+0+0+0+0=2	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG030	Ozon	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	170	168	1	0	1	0	168+1+0+1+0=170	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG032	Reg	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	0	0	0	2+0+0+0+0=2	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG033	Rutube	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	0	0	0	2+0+0+0+0=2	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG036	Sellego	THEME_SCOPED_PUBLIC_TAXONOMY	1	7	6	0	0	1	0	6+0+0+1+0=7	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG043	Skillbox	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	4	4	4	0	0	0	0	4+0+0+0+0=4	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG047	Tbank	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	6	59	8	6	42	3	0	8+6+42+3+0=59	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG048	Tochka	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	5	5	0	5	0	0	0	0+5+0+0+0=5	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG052	VC.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	7	7	7	0	0	0	0	7+0+0+0+0=7	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG054	Wbstat	THEME_SCOPED_PUBLIC_TAXONOMY	3	849	846	0	0	3	0	846+0+0+3+0=849	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG055	Wildberries	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	6	321	321	0	0	0	0	321+0+0+0+0=321	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG057	Yandex	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	3	3	3	0	0	0	0	3+0+0+0+0=3	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
REG059	YouTube	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	0	0	0	2+0+0+0+0=2	true	true	true	0	0	PASS_CANDIDATE	Every discovered bounded URL is in exactly one terminal bucket.
