case_id	source_m5_hypothesis_ids	exact_ai_prompt	prompt_source_class	prompt_source_ref	primary_cluster_id	affected_cluster_ids	marketplace_scope	task_or_intent_scope	frozen_m10a_owner_state	frozen_m10a_page_role_state	frozen_m10a_boundary_context	current_uncertainty	expected_ai_information_gain	possible_m10d_outcomes	evidence_capture_requirements	repeat_plan	max_snapshots	variability_trigger	success_condition	valid_partial_condition	failure_condition	unknown_condition	stop_rule	m10c_execution_authorized_here	claim_boundary
M10BCASE_e5e5533784063649	M5H00001	ии помощник селлера	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028	M9CL_f0e07ec6b2f588c0	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_994f2db1cb2d47e9 | M9CL_a03366ab2f0a93ef | M9CL_b875735bfe0783e3 | M9CL_cfaa51fe2ecad73f | M9CL_f0e07ec6b2f588c0 | M9CL_f6913258126ccd8e | M9CL_fe2be547bb98cbe2	MARKETPLACE_UNSPECIFIED	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_003b80aeed4307e6 | M9PAIR_1d018d5c5d9e4732 | M9PAIR_2d68e30a77ccc511 | M9PAIR_4f46ceccce6058ad | M9PAIR_543c488005cfc692 | M9PAIR_ca553dc5c5fff88e | M9PAIR_cf3f7ecf56b52167 | M9PAIR_cfa7cf50a6b3efda | M9PAIR_d1ab9c7800c72c99 | M9PAIR_d1b08dd9abde6743	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. M5: Unknown whether AI answers keep seller-data assistance separate from hiring and autonomous write workflows; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_c0815ba7ee0ba5b2	M5H00002	подключить ии к маркетплейсу	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037	M9CL_3f05678ef9d62960	M9CL_3a8d523d2578edae | M9CL_3f05678ef9d62960 | M9CL_6f345eee3ba09af0 | M9CL_710c43ac2fdf4cc7 | M9CL_998176896a32b481 | M9CL_bae58ac9423f9f3c | M9CL_da3ff89bebbefd96 | M9CL_ddc2616f80ca85b6 | M9CL_e8b266b549420d15	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_1c8ce4c2d774883a | M9PAIR_494ae1cdc6d42966 | M9PAIR_4b271c58077e716f | M9PAIR_57016291ec43a303 | M9PAIR_8978618a90e6e073 | M9PAIR_a5e8104de68bc8c7 | M9PAIR_b16684fb18782fae | M9PAIR_baac50d2991ab331	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_840dee47a90532a8	M5H00005	ии агент для озон	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007	M9CL_086ce4445a21d4fd	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_994f2db1cb2d47e9 | M9CL_cfaa51fe2ecad73f | M9CL_f6913258126ccd8e	OZON	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_60f399343508f906 | M9PAIR_68a7a8af4798fc1a | M9PAIR_6be6917632fbcfd7 | M9PAIR_c61a78a8f59c41a9 | M9PAIR_ee91cc80131d8cad | M9PAIR_f2cd48777d5156c5	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. M5: Unknown whether AI answers keep seller-data assistance separate from hiring and autonomous write workflows; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_e56413a05b57e358	M5H00006	chatgpt для ozon	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001	M9CL_bae58ac9423f9f3c	M9CL_3a8d523d2578edae | M9CL_3f05678ef9d62960 | M9CL_998176896a32b481 | M9CL_bae58ac9423f9f3c	OZON	chosen LLM to authorized seller data versus generic third-party integrations	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_494ae1cdc6d42966 | M9PAIR_68c418f6731bfe29 | M9PAIR_a349c79e0071b81b	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_789a835e7de15e13	M5H00010	chatgpt для wildberries	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002	M9CL_ddc2616f80ca85b6	M9CL_3a8d523d2578edae | M9CL_3f05678ef9d62960 | M9CL_da3ff89bebbefd96 | M9CL_ddc2616f80ca85b6	WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_49e4fc835e9eb76f | M9PAIR_baac50d2991ab331 | M9PAIR_db17760d407610fb	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_9ef8cb07387160b6	M5H00012	подключить chatgpt к маркетплейсу	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013	M9CL_710c43ac2fdf4cc7	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_998176896a32b481	OZON	chosen LLM to authorized seller data versus generic third-party integrations	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_453eb09d5294d593 | M9PAIR_b16684fb18782fae	Whether answers present usable seller-data connectivity with the user-selected LLM rather than unsupported autonomous integration, irrelevant developer tooling or no-data links. M5: Unknown whether a future AI answer cites seller API/help, independent connector pages, or generic no-data integrations; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_503322b8af3825a8	M5H00016	ии агенты для маркетплейсов	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00008	M9CL_25bf819e5778d7d3	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_994f2db1cb2d47e9 | M9CL_b875735bfe0783e3 | M9CL_cfaa51fe2ecad73f | M9CL_f6913258126ccd8e	OZON_AND_WILDBERRIES	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_2d9a8c4be5e488ff | M9PAIR_7e2efcadc2a482b8 | M9PAIR_86ff2dc634c754c0 | M9PAIR_aca8ddeeb2f7cb64 | M9PAIR_c404ebec5999fb38 | M9PAIR_c61a78a8f59c41a9 | M9PAIR_ccd6d7a8b6304c44	Whether the cited answers distinguish seller-owned read-only chat assistance from hiring a person, autonomous business actions and native bots. M5: Unknown whether AI answers keep seller-data assistance separate from hiring and autonomous write workflows; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_d3950384418e3bbd	M5H00023	сервис аналитики маркетплейсов	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00042	M9CL_ed2d7aae5a2e620a	M9CL_0aed479a81711e7f | M9CL_274a77f40055dc26 | M9CL_2bf4cc28a5b1b541 | M9CL_3e9cae524f2ba50c | M9CL_433249de25051688 | M9CL_710651ebc4bae2f1 | M9CL_8cd3918c2ea1fde7 | M9CL_8dc41c74759b520e | M9CL_9d0077e8f75a1708 | M9CL_9d52a57fe836056a | M9CL_a2b4ef64efdfb9f6 | M9CL_ad507c7fc3cfea7a | M9CL_b89a6fbc6bd8bb18 | M9CL_c02ee193ae04ebad | M9CL_c055b49c1d4038d9 | M9CL_c8ef71d4b04d08cf | M9CL_d3c8e648c51f98ec | M9CL_d9c788dddddda566 | M9CL_db048338baaeca8c | M9CL_e5b4c116e46d3dab | M9CL_e6914021014018ac | M9CL_ed2d7aae5a2e620a | M9CL_f2b595fb3a090d8f	MARKETPLACE_UNSPECIFIED	seller-owned store analytics versus external market intelligence or promised automation	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_05343261bdf86576 | M9PAIR_36b57f701d67e226 | M9PAIR_46ea1172cfdf0814 | M9PAIR_4c8c240de60b3caf | M9PAIR_57a6151158aaa9ff | M9PAIR_609e68e2409bfbfa | M9PAIR_621cf0c357119122 | M9PAIR_63c99829e2abe2fa | M9PAIR_6c27e57fddaa0baf | M9PAIR_770f86b30fb49b82 | M9PAIR_7adfbdf17bbc1c0e | M9PAIR_8232394063376d75 | M9PAIR_829df6a430a4a492 | M9PAIR_ab516c4aea68b7ec | M9PAIR_cb724884bbdc112a | M9PAIR_d51d94d35e4f74fc | M9PAIR_d916646821308fe0 | M9PAIR_d9e043f6da9a7bd5 | M9PAIR_dcdff2fe306706e2 | M9PAIR_e33679418a190111 | M9PAIR_f4709ae0e28c087d | M9PAIR_fb15871655e5fabe	Whether cited sources address seller-owned cabinet data instead of external niche, competitor or general market intelligence. M5: Unknown whether cited sources support in-cabinet seller metrics rather than external intelligence; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Compare source types and claims for owned reports versus external intelligence; test whether the frozen analytics owner/page-role HOLD could later be de-risked or stay unresolved.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_93993613e7003b69	M5H00024 | M5H00053	ии для аналитики маркетплейсов	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00027	M9CL_db048338baaeca8c	M9CL_0ac1770f2755faaf | M9CL_0aed479a81711e7f | M9CL_2637e53fc435b258 | M9CL_274a77f40055dc26 | M9CL_3e9cae524f2ba50c | M9CL_433249de25051688 | M9CL_4a7d76c662c7f172 | M9CL_5aa7113efc724f06 | M9CL_76d530948f2a83bc | M9CL_88cb2602f75e6f48 | M9CL_896f32bed9216251 | M9CL_8dc41c74759b520e | M9CL_9d0077e8f75a1708 | M9CL_a2b4ef64efdfb9f6 | M9CL_adc8b5ec6197bdf3 | M9CL_c02ee193ae04ebad | M9CL_c055b49c1d4038d9 | M9CL_c8ef71d4b04d08cf | M9CL_d3c8e648c51f98ec | M9CL_db048338baaeca8c | M9CL_e5b4c116e46d3dab | M9CL_e6914021014018ac | M9CL_ed2d7aae5a2e620a	OZON_AND_WILDBERRIES	seller-owned store analytics versus external market intelligence or promised automation	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_0011df11fd51b35d | M9PAIR_13a51bf58d6711d3 | M9PAIR_35e6f9e2229fc292 | M9PAIR_41c4c51f18a5e8b8 | M9PAIR_4e869dad89ae5dc1 | M9PAIR_63cba01917f5df94 | M9PAIR_668830225d12c4c4 | M9PAIR_690008a115c8cb8d | M9PAIR_770f86b30fb49b82 | M9PAIR_77d7ad841295a7fa | M9PAIR_8fd4bc42a94f55ec | M9PAIR_94a4a2cf30b49d7a | M9PAIR_97dc46b87e31115d | M9PAIR_aa4832a40f6786ff | M9PAIR_b7a72a95c19d8a95 | M9PAIR_b7f9c909b933ffa2 | M9PAIR_caac3c09eef79a25 | M9PAIR_cb32a8600fee930f | M9PAIR_d3c49c4c32d9f341 | M9PAIR_ddbd26833d00f247 | M9PAIR_e35a782e2e25f4d3 | M9PAIR_f8a07a97153ecd76	Whether cited sources address seller-owned cabinet data instead of external niche, competitor or general market intelligence. M5: Unknown whether cited sources support in-cabinet seller metrics rather than external intelligence; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Compare source types and claims for owned reports versus external intelligence; test whether the frozen analytics owner/page-role HOLD could later be de-risked or stay unresolved.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
M10BCASE_975659397140bfbd	M5H00025	ии ассистент для маркетплейсов	EXACT_CURRENT_SEARCH_QUERY	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026	M9CL_02025a258eff8c3d	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_3291d5bba9e4f595 | M9CL_b875735bfe0783e3 | M9CL_cfaa51fe2ecad73f	OZON_AND_WILDBERRIES	native marketplace AI assistant versus the user-selected LLM bridge	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M9PAIR_00d16cdd77452d93 | M9PAIR_c404ebec5999fb38 | M9PAIR_c9aff265eddaa945 | M9PAIR_c9c8db1750b642d2 | M9PAIR_f2cd48777d5156c5	Whether answers distinguish a native Ozon/WB feature from a separate bridge connecting the user-selected LLM to permitted seller data. M5: Unknown whether AI sources distinguish native seller tools from an independent bring-your-own-LLM workflow; later Alice composition may vary. Exact task relevance and seller-owned data access remain bounded by product truth.	Observe whether cited source roles distinguish native functionality from bring-your-own-LLM workflows; evaluate possible causal impact on the named cluster page-role HOLD.	CHANGE | ENRICH | DE_RISK | NO_CHANGE | HOLD (undetermined; M10D only)	Exact prompt; timestamp; AI provider/mode/context; raw complete answer and status; every cited URL and title/source role; relevant excerpt and answer framing; snapshot identity; uncertainty/error/partial reason; comparison to frozen M10A HOLD; no inferred demand.	One initial snapshot only after separate M10C release; second independent snapshot conditional on material source-role or framing inconsistency, incomplete citation/body, or decision-sensitive variability; never blind-repeat a technical failure. Stop after bounded terminal evidence.	2	Material shift in cited URLs/source roles, interpretation of seller task, product/capability boundary, or a partial/incomplete answer; variability remains an observed limitation.	Valid terminal AI answer with full response and cited source roles persisted; later M10D evaluates causal delta without preselecting an outcome.	Valid but incomplete answer/citations or mixed framing; preserve as partial, do not infer missing sources or resolve the frozen HOLD.	Explicit terminal technical/provider failure; no semantic effect and no page/cluster decision.	Operation/result incomplete or transport status unknown; semantic effect NONE; reconcile same operation identity before any new execution.	No execution in M10B. In a separately released M10C, stop after initial usable snapshot if stable and sufficient; conditional second only on named variability trigger; maximum 2; no blind retry or unbounded probing.	false	Diagnostic hypothesis only; exact query is Search wording, not proof of AI answer, demand, product capability, owner, final page, URL, H1, Title or IA.
