diagnostic_id	diagnostic_class	independent_evidence	observed_risk	expected_state	observed_state	final_resolution	changed_by_diagnostic	affected_universe	sibling_impact_checked	notes
M10AQ_001	EXACT_CLUSTER_ID_SET	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	104/104	104/104	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_002	EXACT_CLUSTER_MEMBER_SET	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	104/104	104/104	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_003	CARRY_FORWARD_STATE	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	104/104	104/104	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_004	SEARCH_ANCHOR_PARTITION	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	65/39	65/39	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_005	MATERIAL_AND_SUPPORTED_DEGREES	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	103/1 AND SUM56	103/1 AND SUM56	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_006	HOME_OWNER_NOT_AUTO_ASSIGNED	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_007	UTILITY_SURFACES_NOT_ASSIGNED	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_008	NO_PLANNED_PAGE_FROM_PRODUCT_TASK	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_009	NO_AD_HOC_PAGE_ROLE	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_010	NO_PARENT_CHILD_IA	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_011	NO_INTERNAL_LINK_OWNER	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_012	NO_PAGE_BOUNDARY_AUTHORIZATION	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	1399/1399	1399/1399	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_013	NO_M5_OR_ALICE_INPUT	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
M10AQ_014	NO_FINAL_AI_CASE_SELECTION	Frozen M9H carry + material HOLD endpoint joins; M9 cluster/master membership; main@f079c2e7199250397259ea9ede10a4f72694f5c1 site source where applicable.	Unauthorized Search owner, boundary resolution, site mutation, or AI contamination would violate accepted M9 terminal closure.	0	0	PASS	false	104 clusters / 1399 material HOLD pairs / four source surfaces	YES; exact complete row-set checks and 1399 pair set checks	No mechanism defect; no example-only patch or partial rerun.
