m6_gap_id	gap_class	source_layers	source_row_ids	exact_open_question	current_evidence_summary	current_limitation	information_gain_if_closed	acquisition_required	proposed_provider_or_source	provider_candidate_ids	valid_zero_meaning	failure_unknown_boundary	downstream_decision	stop_rule	reopen_rule	current_state	claim_boundary	notes
M6G001	DEMAND_VALIDATION	M4C_R1_M6_CANDIDATE	M6SRC01233 || M6SRC05451	Do distinct Ozon and WB source-observed ABC seller-report wordings have current Wordstat GetTop evidence worth retaining as separately verified seller data tasks?	M2R has no ABC/АВС report phrase; M4C observes both marketplace-specific wordings; Search rank does not prove demand.	No exact-safe M2R for these distinct seller tasks; current M4Q organic visibility and M4C title are not Wordstat demand.	Decision to retain a separately validated ABC inventory or sales reporting question in M6; still requires product-fit authority.	CANDIDATE_ONLY_PENDING_MAIN_CHAT_ACCEPTANCE	WORDSTAT_GET_TOP	M6PC001 || M6PC002	Successful complete empty GetTop is no returned popular phrase for this input and interval, not global zero demand.	Provider failure, incomplete results and long-title mismatch remain unknown; no demand or zero-demand inference.	Decision to retain a separately validated ABC inventory or sales reporting question in M6; still requires product-fit authority.	Stop after one accepted bounded observation per exact source wording; do not expand synonyms.	Reopen only for new independently observed query authority or product/decision change.	PROVIDER_CANDIDATE_PENDING_MAIN_CHAT	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	
M6G002	DEMAND_VALIDATION	M4C_R1_M6_CANDIDATE	M6SRC04794	Does the exact source-observed seller sales-funnel phrase return a bounded Wordstat observation, beyond existing broad sales analytics?	M2R has no sales-funnel phrase; M4C provides a seller-facing title, not search demand.	No exact-safe M2R for these distinct seller tasks; current M4Q organic visibility and M4C title are not Wordstat demand.	Decide whether the funnel task merits further M6/M7 consideration separate from existing sales reporting.	CANDIDATE_ONLY_PENDING_MAIN_CHAT_ACCEPTANCE	WORDSTAT_GET_TOP	M6PC003	Successful complete empty GetTop is no returned popular phrase for this input and interval, not global zero demand.	Provider failure, incomplete results and long-title mismatch remain unknown; no demand or zero-demand inference.	Decide whether the funnel task merits further M6/M7 consideration separate from existing sales reporting.	Stop after one accepted bounded observation per exact source wording; do not expand synonyms.	Reopen only for new independently observed query authority or product/decision change.	PROVIDER_CANDIDATE_PENDING_MAIN_CHAT	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	
M6G003	DEMAND_VALIDATION	M4C_R1_M6_CANDIDATE	M6SRC02978	Does this exact Wildberries return-rate reporting wording have any bounded Wordstat GetTop response?	M2R has no return-rate phrase; M4C current source title shows a seller metric task, not demand.	No exact-safe M2R for these distinct seller tasks; current M4Q organic visibility and M4C title are not Wordstat demand.	Decide whether return-rate reporting warrants its own later M6/M7 validation lane; no automated returns action inferred.	CANDIDATE_ONLY_PENDING_MAIN_CHAT_ACCEPTANCE	WORDSTAT_GET_TOP	M6PC004	Successful complete empty GetTop is no returned popular phrase for this input and interval, not global zero demand.	Provider failure, incomplete results and long-title mismatch remain unknown; no demand or zero-demand inference.	Decide whether return-rate reporting warrants its own later M6/M7 validation lane; no automated returns action inferred.	Stop after one accepted bounded observation per exact source wording; do not expand synonyms.	Reopen only for new independently observed query authority or product/decision change.	PROVIDER_CANDIDATE_PENDING_MAIN_CHAT	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	
M6G004	M3_FULL_SERP_CONTROL			Does full HTML for M3 R01 «подключить chatgpt к маркетплейсу» expose feature blocks that materially change seller integration versus generic connection instructions or answer-card treatment from the accepted XML organic interpretation?	M3/M4Q organic XML; M4QR2Q00013:2026-09-23:RU225:TOP100:ambiguous=0:comparison=CURRENT_RANKING_URL_CHANGE.	Current YMB0.1.9 Search only FORMAT_XML; cannot record full HTML SERP features.	Does full HTML for M3 R01 «подключить chatgpt к маркетплейсу» expose feature blocks that materially change seller integration versus generic connection instructions or answer-card treatment from the accepted XML organic interpretation?	NO_CURRENT_BRIDGE_ACQUISITION	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	M6PC005	No material feature in a later authorized HTML snapshot is snapshot-bounded only.	Current Bridge unsupported; never infer features from organic XML snippets.	M3 R01 feature control only, no demand proof.	Hold until Main Chat approves an authorized method and interpretable response.	Reopen on verified live HTML capability/alternate authorized method.	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R01
M6G005	M3_REGION_CONTROL			For M3 R04 «аналитика маркетплейсов для селлеров», would Moscow region 213 change the seller-service versus human/local-service composition of the current RU225 organic Top20 enough to reclassify the accepted intent boundary?	M3 R04 historical top20 plus M4Q R2 current RU225 top100; M4QR2Q00004:2026-09-23:RU225:TOP100:ambiguous=1:comparison=MIXED_CHANGE.	No accepted same-query Moscow213 organic XML snapshot.	For M3 R04 «аналитика маркетплейсов для селлеров», would Moscow region 213 change the seller-service versus human/local-service composition of the current RU225 organic Top20 enough to reclassify the accepted intent boundary?	CANDIDATE_ONLY_PENDING_MAIN_CHAT_ACCEPTANCE	SEARCH_XML_REGION_CONTROL	M6PC006	No authorized match in the bounded 213 snapshot; not zero demand.	Incomplete XML/host identity collision leaves regional intent unresolved.	M3 R04 targeted regional sensitivity and M4C context.	One accepted Moscow213 snapshot for this exact query; compare descriptive role composition with RU225.	Reopen if the later decision requires another specified region or accepted identity changes.	PROVIDER_CANDIDATE_PENDING_MAIN_CHAT	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R04; source_row_ids refer only to 6106 primary rows, so empty here
M6G006	M3_FULL_SERP_CONTROL			Does full HTML for M3 R04 «аналитика маркетплейсов для селлеров» expose feature blocks that materially change seller analytics product versus promoted agency, hiring or local service treatment from the accepted XML organic interpretation?	M3/M4Q organic XML; M4QR2Q00004:2026-09-23:RU225:TOP100:ambiguous=1:comparison=MIXED_CHANGE.	Current YMB0.1.9 Search only FORMAT_XML; cannot record full HTML SERP features.	Does full HTML for M3 R04 «аналитика маркетплейсов для селлеров» expose feature blocks that materially change seller analytics product versus promoted agency, hiring or local service treatment from the accepted XML organic interpretation?	NO_CURRENT_BRIDGE_ACQUISITION	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	M6PC007	No material feature in a later authorized HTML snapshot is snapshot-bounded only.	Current Bridge unsupported; never infer features from organic XML snippets.	M3 R04 feature control only, no demand proof.	Hold until Main Chat approves an authorized method and interpretable response.	Reopen on verified live HTML capability/alternate authorized method.	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R04
M6G007	M3_REGION_CONTROL			For M3 R06 «помощник селлера маркетплейсов», would Moscow region 213 change the seller-service versus human/local-service composition of the current RU225 organic Top20 enough to reclassify the accepted intent boundary?	M3 R06 historical top20 plus M4Q R2 current RU225 top100; M4QR2Q00015:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE.	No accepted same-query Moscow213 organic XML snapshot.	For M3 R06 «помощник селлера маркетплейсов», would Moscow region 213 change the seller-service versus human/local-service composition of the current RU225 organic Top20 enough to reclassify the accepted intent boundary?	CANDIDATE_ONLY_PENDING_MAIN_CHAT_ACCEPTANCE	SEARCH_XML_REGION_CONTROL	M6PC008	No authorized match in the bounded 213 snapshot; not zero demand.	Incomplete XML/host identity collision leaves regional intent unresolved.	M3 R06 targeted regional sensitivity and M4C context.	One accepted Moscow213 snapshot for this exact query; compare descriptive role composition with RU225.	Reopen if the later decision requires another specified region or accepted identity changes.	PROVIDER_CANDIDATE_PENDING_MAIN_CHAT	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R06; source_row_ids refer only to 6106 primary rows, so empty here
M6G008	M3_FULL_SERP_CONTROL			Does full HTML for M3 R06 «помощник селлера маркетплейсов» expose feature blocks that materially change seller assistant software versus human-role/jobs or local help treatment from the accepted XML organic interpretation?	M3/M4Q organic XML; M4QR2Q00015:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE.	Current YMB0.1.9 Search only FORMAT_XML; cannot record full HTML SERP features.	Does full HTML for M3 R06 «помощник селлера маркетплейсов» expose feature blocks that materially change seller assistant software versus human-role/jobs or local help treatment from the accepted XML organic interpretation?	NO_CURRENT_BRIDGE_ACQUISITION	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	M6PC009	No material feature in a later authorized HTML snapshot is snapshot-bounded only.	Current Bridge unsupported; never infer features from organic XML snippets.	M3 R06 feature control only, no demand proof.	Hold until Main Chat approves an authorized method and interpretable response.	Reopen on verified live HTML capability/alternate authorized method.	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R06
M6G009	M3_DEVICE_CONTROL			Would an explicitly mobile userAgent SERP for M3 R06 «помощник селлера маркетплейсов» materially change mobile seller-assistant product versus human service/help composition relative to the accepted unspecified-device XML snapshot?	M3/M4Q default or unspecified device; M4QR2Q00015:2026-09-23:RU225:TOP100:ambiguous=0:comparison=MIXED_CHANGE.	No accepted explicit mobile/browser Search response; Bridge lacks userAgent control.	Would an explicitly mobile userAgent SERP for M3 R06 «помощник селлера маркетплейсов» materially change mobile seller-assistant product versus human service/help composition relative to the accepted unspecified-device XML snapshot?	NO_CURRENT_BRIDGE_ACQUISITION	SEARCH_USERAGENT_CONTROL_CAPABILITY_HOLD	M6PC010	No material difference in a later paired mobile snapshot applies only to tested device/time.	Unsupported current Bridge field cannot supply an observation.	M3 R06 bounded device-intent control.	Hold until Main Chat accepts alternate authorized method or verified Bridge change.	Reopen on verified mobile userAgent capability.	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R06
M6G010	M3_FULL_SERP_CONTROL			Does full HTML for M3 R07 «как заполнить карточку товара wildberries» expose feature blocks that materially change seller card-editing help versus answer-card/tutorial feature treatment from the accepted XML organic interpretation?	M3/M4Q organic XML; M4QR2Q00009:2026-09-23:RU225:TOP100:ambiguous=2:comparison=MIXED_CHANGE.	Current YMB0.1.9 Search only FORMAT_XML; cannot record full HTML SERP features.	Does full HTML for M3 R07 «как заполнить карточку товара wildberries» expose feature blocks that materially change seller card-editing help versus answer-card/tutorial feature treatment from the accepted XML organic interpretation?	NO_CURRENT_BRIDGE_ACQUISITION	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	M6PC011	No material feature in a later authorized HTML snapshot is snapshot-bounded only.	Current Bridge unsupported; never infer features from organic XML snippets.	M3 R07 feature control only, no demand proof.	Hold until Main Chat approves an authorized method and interpretable response.	Reopen on verified live HTML capability/alternate authorized method.	HOLD_BRIDGE_CAPABILITY_REQUIRED	NO_SEARCH_VISIBILITY_AS_DEMAND; NO_COMPETITOR_TOPIC_AS_DEMAND; NO_M7_RELEASE	m3_query_id=R07
