r3_url_id	registry_id	entity_name	source_channel	discovery_source_url	raw_url	normalized_comparison_url	relation_to_current_1612	scope_disposition	redirect_chain	final_url	declared_canonical	terminal_state	captured_at	evidence_capture_method	notes
M4B1R4U00001	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=2	https://www.moysklad.ru/poleznoe/marketplejsy/rabota-s-marketplejsami-kak-vybrat-ploshchadku-i-s-chego-nachat-prodazhi/	https://www.moysklad.ru/poleznoe/marketplejsy/rabota-s-marketplejsami-kak-vybrat-ploshchadku-i-s-chego-nachat-prodazhi	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/rabota-s-marketplejsami-kak-vybrat-ploshchadku-i-s-chego-nachat-prodazhi/	https://www.moysklad.ru/poleznoe/marketplejsy/rabota-s-marketplejsami-kak-vybrat-ploshchadku-i-s-chego-nachat-prodazhi/	NOT_FOUND	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_TERMINAL_OBSERVATION	Public page rendered an explicit 404 page with matching 404 H1; no site-wide unavailability inference.
M4B1R4U00002	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=2	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-avito/	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-avito	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-avito/	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-avito/	EXECUTION_ENVIRONMENT_FAILURE	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_TERMINAL_OBSERVATION	Navigation returned title/canonical but no readable body/H1 in the execution environment; terminal environment failure, not a content or site-absence claim.
M4B1R4U00003	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=2	https://www.moysklad.ru/poleznoe/marketplejsy/kakoy-okved-vybrat-dlya-torgovli-na-marketpleysakh/	https://www.moysklad.ru/poleznoe/marketplejsy/kakoy-okved-vybrat-dlya-torgovli-na-marketpleysakh	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/kakoy-okved-vybrat-dlya-torgovli-na-marketpleysakh/	https://www.moysklad.ru/poleznoe/marketplejsy/kakoy-okved-vybrat-dlya-torgovli-na-marketpleysakh/	EXECUTION_ENVIRONMENT_FAILURE	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_TERMINAL_OBSERVATION	Navigation returned title/canonical but no readable body/H1 in the execution environment; terminal environment failure, not a content or site-absence claim.
M4B1R4U00004	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=2	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3#	https://www.moysklad.ru/poleznoe/marketplejsy?PAGEN_1=3	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
M4B1R4U00005	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/marketplejsy-ili-svoj-internet-magazin/	https://www.moysklad.ru/poleznoe/marketplejsy/marketplejsy-ili-svoj-internet-magazin	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/marketplejsy-ili-svoj-internet-magazin/	https://www.moysklad.ru/poleznoe/marketplejsy/marketplejsy-ili-svoj-internet-magazin/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
M4B1R4U00006	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/oshibki-sellerov-na-marketpleisah/	https://www.moysklad.ru/poleznoe/marketplejsy/oshibki-sellerov-na-marketpleisah	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/oshibki-sellerov-na-marketpleisah/	https://www.moysklad.ru/poleznoe/marketplejsy/oshibki-sellerov-na-marketpleisah/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
M4B1R4U00007	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/artikul-tovara-ozon/	https://www.moysklad.ru/poleznoe/marketplejsy/artikul-tovara-ozon	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/artikul-tovara-ozon/	https://www.moysklad.ru/poleznoe/marketplejsy/artikul-tovara-ozon/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
M4B1R4U00008	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/pervaya-postavka-na-ozon/	https://www.moysklad.ru/poleznoe/marketplejsy/pervaya-postavka-na-ozon	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/pervaya-postavka-na-ozon/	https://www.moysklad.ru/poleznoe/marketplejsy/pervaya-postavka-na-ozon/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
M4B1R4U00009	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/postavka-na-wildberries-po-shagam/	https://www.moysklad.ru/poleznoe/marketplejsy/postavka-na-wildberries-po-shagam	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/postavka-na-wildberries-po-shagam/	https://www.moysklad.ru/poleznoe/marketplejsy/postavka-na-wildberries-po-shagam/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
M4B1R4U00010	REG024	Moysklad	PAGINATION_OR_LOAD_MORE	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=3	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=4#	https://www.moysklad.ru/poleznoe/marketplejsy?PAGEN_1=4	NEW_IN_SCOPE	IN_SCOPE	NONE_OBSERVED	https://www.moysklad.ru/poleznoe/marketplejsy/?PAGEN_1=4	https://www.moysklad.ru/poleznoe/marketplejsy/	INSPECTED	2026-09-19T01:40:28.568Z	CLOUD_BROWSER_R4_STRUCTURED_PAGE_CAPTURE	Genuinely new identity beyond the accepted 4,500 baseline; discovered only through the bounded Moysklad public pagination chain and terminalized in R4.
