test_id	scenario	expected_guard	observed_preparation_state	verdict	evidence_refs
M13ADV001	Known .html duplicate serves 200	Alias must 308 canonical extensionless	LIVE_DEFECT_CONFIRMED: index/privacy/support/install .html duplicate 200	PASS_SPEC_GUARD	live baseline; route matrix
M13ADV002	HTTP www incurs two redirects	HTTP www ordinary path direct 308 HTTPS apex	LIVE_DEFECT_CONFIRMED: HTTP www -> HTTPS www -> apex	PASS_SPEC_GUARD	live baseline; route matrix
M13ADV003	Known trailing slash unmanaged	Known service/analytics slash -> 308 no-slash	LIVE_DEFECT_CONFIRMED: service slash 404; analytics absent	PASS_SPEC_GUARD	live baseline; route matrix
M13ADV004	Analytics owner omitted	/seller-analytics must exist in M14 and sitemap	LIVE_EXPECTED_PREIMPLEMENTATION: 404	PASS_SPEC_GUARD	M11/M12 R2; live
M13ADV005	No-owner public utility pages are automatically noindexed	privacy/support stay indexable utilities; install alone remains crawlable noindex until official install availability	R1 METHOD DEFECT: no commercial owner was incorrectly treated as sufficient noindex reason	PASS_R2_CORRECTION	Google/Yandex noindex semantics; M11 utility roles; R2 external audit
M13ADV006	Unknown soft-redirect to HOME	Unknown public URL remains 404	LIVE_GOOD: representative unknown 404	PASS_PRESERVE	live baseline
M13ADV007	Canonical used as sole duplicate control	Known aliases redirect rather than serve duplicate 200	CURRENT_SOURCE_SERVES_HTML_ALIASES	PASS_SPEC_GUARD	Yandex+Google canonical
M13ADV008	robots blocks utility/noindex/favicon before directives/search-appearance can be observed	privacy/support/install/favicon remain crawlable; install noindex remains visible to crawler	CURRENT_ROBOTS_GOOD; R2 expands explicit asset/utility guard	PASS_R2_GUARD	Google/Yandex robots+noindex; favicon guidance
M13ADV009	Yandex AI accidentally opted out	No YandexAdditional/YandexAdditionalBot Disallow	NO_OPTOUT_OBSERVED	PASS_PRESERVE	Yandex AI; robots
M13ADV010	Analytics orphaned	Regular HTML HOME->analytics and analytics->HOME	CURRENT_ANALYTICS_ABSENT; M12 edges frozen 2/2	PASS_SPEC_GUARD	M12 link contract
M13ADV011	Critical content client-render-only	Critical content remains initial static HTML	CURRENT_STATIC_GOOD	PASS_PRESERVE	Yandex rendering; source
M13ADV012	Structured-data policy either invents rich-result facts or blocks valid site-name markup	WebSite site-name JSON-LD required; SoftwareApplication/FAQ/review/rating forbidden; Organization deferred without authority	R1 BLANKET NONE CORRECTED	PASS_R2_CORRECTION	Google site names; Organization; SoftwareApplication; Product Truth
M13ADV013	SEO patch overwrites app/API ingress	octoport-apps.conf/behavior do-not-change	CURRENT_SEPARATE_INGRESS_GOOD	PASS_PRESERVE	apps conf; regression
M13ADV014	Field CWV fabricated	FIELD_DATA_NOT_AVAILABLE when p75 evidence absent	NO_FIELD_DATA_ACCEPTED	PASS_SPEC_GUARD	CWV; performance
M13ADV015	M11/M12 drift during M13	Stop/reconcile dependencies	SEO/main re-fetch identical before execution	PASS	preparation heads; git re-fetch
M13ADV016	HOME metadata remains historical	M14 applies exact M12 R2 H1/Title and brand subheadline	LIVE_DEFECT_CONFIRMED: old Title/H1	PASS_SPEC_GUARD	M12 R2; live
M13ADV017	Sitemap contains only commercial SEO owners and omits deliberate indexable utilities	Exact sitemap HOME + analytics + privacy + support	R1 HOME+analytics set superseded by R2 utility-indexability decision	PASS_R2_CORRECTION	Google/Yandex Sitemap; R2 utility decision
M13ADV018	Analytics proof faked	Concrete categories/examples and central value need endpoint/product proof plus real sanitized/source-backed example	PROOF_GATE_OPEN_FOR_IMPLEMENTATION	PASS_SPEC_GUARD	M12 proof/trust
M13ADV019	Favicon omitted, redirected, blocked, wrong size/type, or fabricated from an unapproved mark	Approved /favicon.png; PNG 120x120; square; stable; direct 200 image/png; crawlable; HOME rel=icon	R1 GAP: favicon absent from technical contract	PASS_R2_GUARD	Google favicon; Yandex favicon; Product Truth
M13ADV020	Site CI treats WebSite JSON-LD as executable application JavaScript and blocks correct markup	Executable JS count=0 while application/ld+json is explicitly allowed and schema-validated	R1 zero-script parser contract requires distinction	PASS_R2_GUARD	Google site names; M13 performance R2
M13ADV021	Organization structured data invents legal name/address/telephone/logo	Organization markup deferred until truthful accepted public organization properties exist	Current Product Truth has brand identity but no frozen public organization-detail authority	PASS_R2_GUARD	Google Organization; Product Truth
