registry_id	entity_name	candidate_class	registrable_domain	scope_policy	anchors_status	anchors_basis	primary_nav_taxonomy_status	primary_nav_taxonomy_basis	breadcrumb_local_subtree_status	breadcrumb_local_subtree_basis	sitemap_status	sitemap_basis	pagination_status	pagination_basis	fresh_r3_discovered_urls	fresh_r3_inspected_urls	fresh_r3_inaccessible_or_error_terminals	fresh_r3_duplicate_canonical	open_url_unresolved	blocking_channel_hold	completion_state	notes
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ai007.io	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	NOT_APPLICABLE	Primary public taxonomy defines the bounded relevant surface; breadcrumb-specific expansion is not separately required.	ACCESS_BLOCKED	No trustworthy XML body; 1 exact public sitemap attempts ended in access/environment failure.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	0	0	0	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	aimarketcap.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	COMPLETE	Accepted R1/R2 anchors/navigation plus current exact public checks define the evidence-anchored relevant subtree; unrelated adjacent links excluded.	ACCESS_BLOCKED	13 sitemap units read and 1 declared/index child units environment-blocked; accessible bounded scope retained without site-unavailable inference.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	3	2	1	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ainsider.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	COMPLETE	Accepted R1/R2 anchors/navigation plus current exact public checks define the evidence-anchored relevant subtree; unrelated adjacent links excluded.	COMPLETE	5/5 readable sitemap units; 874 unique public loc identities enumerated; deterministic scope filter applied.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	9	9	0	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	albato.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	COMPLETE	Accepted R1/R2 anchors/navigation plus current exact public checks define the evidence-anchored relevant subtree; unrelated adjacent links excluded.	COMPLETE	17/18 readable sitemap units; 443211 unique public loc identities enumerated; deterministic scope filter applied.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	1469	1309	160	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	apimonster.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	COMPLETE	Accepted R1/R2 anchors/navigation plus current exact public checks define the evidence-anchored relevant subtree; unrelated adjacent links excluded.	COMPLETE	1/2 readable sitemap units; 222 unique public loc identities enumerated; deterministic scope filter applied.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	0	0	0	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ascn.ai	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	COMPLETE	Accepted R1/R2 anchors/navigation plus current exact public checks define the evidence-anchored relevant subtree; unrelated adjacent links excluded.	COMPLETE	1/1 readable sitemap units; 2677 unique public loc identities enumerated; deterministic scope filter applied.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	9	0	9	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG008	Asibiont	SERVICE_OR_AGENCY	asibiont.com	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	COMPLETE	Accepted R1/R2 anchors/navigation plus current exact public checks define the evidence-anchored relevant subtree; unrelated adjacent links excluded.	COMPLETE	28/28 readable sitemap units; 11981 unique public loc identities enumerated; deterministic scope filter applied.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	59	13	46	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	berkuz.ru	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	NOT_APPLICABLE	Primary public taxonomy defines the bounded relevant surface; breadcrumb-specific expansion is not separately required.	COMPLETE	1/1 readable sitemap units; 54 unique public loc identities enumerated; deterministic scope filter applied.	COMPLETE	1 accepted collection roots and 1 public pagination identities enumerated to numeric/next/repeated-listing closure.	0	0	0	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG011	Ilai	RECURRING_PRODUCT_VENDOR	ilai.io	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	NOT_APPLICABLE	Primary public taxonomy defines the bounded relevant surface; breadcrumb-specific expansion is not separately required.	COMPLETE	1/1 readable sitemap units; 18 unique public loc identities enumerated; deterministic scope filter applied.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	8	8	0	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	infosell.tech	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	All accepted M4A anchors reused from immutable R1/R2 authority; no ritual reacquisition.	COMPLETE	Accepted R1/R2 navigation evidence reused; current public taxonomy checked only where needed for the bounded R3 surface.	NOT_APPLICABLE	Primary public taxonomy defines the bounded relevant surface; breadcrumb-specific expansion is not separately required.	NOT_FOUND	No declared sitemap and conventional public locations returned only evidence-backed not-found/unreadable terminal responses.	NOT_APPLICABLE	No accepted bounded collection root required a pagination/load-more queue.	0	0	0	0	0	0	COMPLETE_BOUNDED_FRONTIER	COMPLETE_BOUNDED_FRONTIER != COMPLETE_INTERNAL_LINK_GRAPH. R2 child-link diagnostics were not replayed as a mandatory queue.
