requirement_id	topic	scope	current_state	required_state	source_basis	implementation_targets	acceptance_check	blocking	claim_boundary
M13TR001	canonical_origin	public_site	HOME/service pages use apex self-canonical	Canonical public origin is https://octoport.ru; indexable canonical URLs use HTTPS apex	Yandex canonical; Google canonicalization; M12	index.html;seller-analytics.html;privacy.html;support.html;install.html;octoport-site.conf	Every 200 HTML route has exactly one correct absolute self-canonical; aliases do not serve duplicate 200 bodies	true	Preferred origin; not proof search engines already selected it
M13TR002	http_apex_redirect	host_scheme	live HTTP apex -> 308 HTTPS apex	HTTP apex ordinary paths -> one 308 to same HTTPS apex path/query	Yandex canonical/redirect; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	No-follow curl shows 308 exact Location preserving path/query	true	ACME challenge exception may remain
M13TR003	http_www_redirect	host_scheme	live HTTP www -> 308 HTTPS www -> 308 apex	HTTP www ordinary paths -> one 308 directly to HTTPS apex same path/query	Yandex canonical/redirect; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	No-follow curl HTTP www returns direct HTTPS apex Location	true	Ordinary paths only; ACME exception remains explicit
M13TR004	https_www_redirect	host_scheme	live HTTPS www -> 308 HTTPS apex	Preserve direct 308 HTTPS www -> HTTPS apex same path/query	Yandex canonical; Google canonicalization	octoport-site.conf;verify-octoport-site.sh	Exact Location and no loop	true	Host canonicalization only
M13TR005	indexable_routes	routes	HOME 200; seller-analytics 404; privacy/support/install 200 public utility surfaces	Commercial SEO owners remain HOME + /seller-analytics; /privacy and /support are INDEXABLE_UTILITY; /install remains NOINDEX_FOLLOW until official install is available	M11/M12 R2; Product Truth; Google/Yandex noindex semantics; R2 external audit	index.html;seller-analytics.html;privacy.html;support.html;install.html;octoport-site.conf	2 commercial owners indexable; privacy/support indexable utilities; install crawlable noindex; no accidental owner promotion	true	Indexability does not assign a commercial cluster/page owner
M13TR006	html_alias_redirects	duplicates	index/service .html aliases currently 200; analytics .html 404	/index.html and all known .html aliases -> permanent canonical extensionless redirect	Yandex canonical; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	Each listed alias returns 308 exact canonical Location and never 200	true	Known aliases only; no wildcard masking 404
M13TR007	trailing_slash_aliases	duplicates	service slash variants 404; analytics slash 404	Known non-root trailing-slash aliases -> permanent no-slash canonical redirect	Yandex canonical; Google canonicalization	octoport-site.conf;verify-octoport-site.sh;site-ci.yml	Each specified slash alias returns 308 exact canonical Location	true	Root slash remains canonical
M13TR008	unknown_route_404	soft_404	representative unknown live route 404	Preserve unknown public routes as 404; never HOME redirect	crawl/index hygiene; project anti-soft-404 gate	octoport-site.conf;verify-octoport-site.sh;test_site_deployment.py	Unknown path returns 404 and no Location	true	Known aliases are explicit exceptions
M13TR009	utility_indexability	privacy_support_install	privacy/support/install live 200 without robots meta	privacy and support remain indexable public utilities; install uses robots meta noindex, follow until official installation/catalog availability	Google noindex semantics; Yandex meta noindex semantics; M11 utility roles; current Product Truth	privacy.html;support.html;install.html;site-ci.yml;verify-octoport-site.sh	privacy/support have no noindex and are sitemap-listed; install exposes noindex,follow and is absent sitemap	true	NO M11 commercial SEO owner does not imply noindex; utility indexability is a separate architecture decision
M13TR010	utility_crawlability	privacy_support_install_favicon	current robots does not block public service pages/assets	Do not Disallow privacy/support/install/favicon; crawlers must access indexable utilities, install noindex, and search-appearance asset	Google/Yandex robots/noindex semantics; Google/Yandex favicon guidance	robots.txt;site-ci.yml;verify-octoport-site.sh	robots allows privacy/support/install/favicon; install noindex is fetchable; favicon direct URL is crawlable	true	Crawlability is separate from indexability and search-result eligibility
