query_a_id	query_b_id	query_a_family	query_b_family	exact_url_overlap_top10	domain_overlap_top10	url_union_top10	domain_union_top10	url_jaccard_top10	domain_jaccard_top10	shared_urls_top10	shared_domains_top10	relationship_note
S01	S02	F1,F9	F1	1	1	19	16	0.052632	0.062500	https://berkuz.ru/	berkuz.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	S03	F1,F9	F1	2	2	18	17	0.111111	0.117647	https://berkuz.ru/ | https://ilai.io/	berkuz.ru | ilai.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R01	F1,F9	F2	0	1	20	18	0.000000	0.055556		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R02	F1,F9	F2	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R03	F1,F9	F2	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R04R1	F1,F9	F3,F9	0	2	20	17	0.000000	0.117647		mpstats.io | tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R05	F1,F9	F3	0	1	20	16	0.000000	0.062500		tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R06	F1,F9	F4	1	1	19	17	0.052632	0.058824	https://ilai.io/	ilai.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R07	F1,F9	F5,F8	0	1	20	17	0.000000	0.058824		tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R08	F1,F9	F6	0	2	20	14	0.000000	0.142857		jvo.ru | mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R09	F1,F9	F7	0	1	20	15	0.000000	0.066667		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R10	F1,F9	F7	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R11	F1,F9	F8	0	2	20	16	0.000000	0.125000		mpstats.io | tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S01	R12	F1,F9	F9	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	S03	F1	F1	3	4	17	14	0.176471	0.285714	https://berkuz.ru/ | https://jafo.ru/ | https://vc.ru/ai/3124090-podklyuchenie-ii-agenta-k-wildberries-i-ozon	berkuz.ru | jafo.ru | superintellect.ru | vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R01	F1	F2	0	2	20	16	0.000000	0.125000		jafo.ru | vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R02	F1	F2	1	1	19	15	0.052632	0.066667	https://jafo.ru/	jafo.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R03	F1	F2	1	1	19	15	0.052632	0.066667	https://jafo.ru/	jafo.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R04R1	F1	F3,F9	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R05	F1	F3	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R06	F1	F4	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R07	F1	F5,F8	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R08	F1	F6	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R09	F1	F7	0	1	20	14	0.000000	0.071429		vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R10	F1	F7	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R11	F1	F8	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S02	R12	F1	F9	0	1	20	13	0.000000	0.076923		vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R01	F1	F2	0	2	20	18	0.000000	0.111111		jafo.ru | vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R02	F1	F2	1	1	19	17	0.052632	0.058824	https://jafo.ru/	jafo.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R03	F1	F2	1	1	19	17	0.052632	0.058824	https://jafo.ru/	jafo.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R04R1	F1	F3,F9	0	0	20	20	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R05	F1	F3	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R06	F1	F4	1	1	19	18	0.052632	0.055556	https://ilai.io/	ilai.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R07	F1	F5,F8	0	0	20	19	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R08	F1	F6	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R09	F1	F7	0	1	20	16	0.000000	0.062500		vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R10	F1	F7	0	0	20	19	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R11	F1	F8	0	0	20	19	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
S03	R12	F1	F9	0	1	20	15	0.000000	0.066667		vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R02	F2	F2	3	4	17	14	0.176471	0.285714	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb | https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon | https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah	api-master.ru | apimonster.ru | jafo.ru | ozon.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R03	F2	F2	2	3	18	15	0.111111	0.200000	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb | https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	api-master.ru | apimonster.ru | jafo.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R04R1	F2	F3,F9	0	1	20	19	0.000000	0.052632		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R05	F2	F3	0	1	20	17	0.000000	0.058824		tochka.com	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R06	F2	F4	0	0	20	19	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R07	F2	F5,F8	0	1	20	18	0.000000	0.055556		tochka.com	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R08	F2	F6	0	1	20	16	0.000000	0.062500		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
