boundary_query_id	wave_order	semantic_identity_id	exact_query_text	query_text_source	query_form_class	query_form_basis	unicode_codepoint_length	word_count	provider_limit_status	open_decision	affected_hold_pair_ids	affected_material_hold_count	affected_anchor_hold_count	blocks_supported_merge_materialization	supported_merge_blocked_edge_ids	one_current_serp_hold_degree	expected_incremental_information_gain	m8_demand_evidence_state	m8_demand_evidence_refs	claim_boundary
M9BRQ_001_f326261dec0f180d	1	M8SID_f326261dec0f180d	аналитика показателей продавца	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_f326261dec0f180d.canonical_display_text	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Plain seller analytics task phrase; no title device or rewrite.	30	3	PASS	Resolve M9 M9PAIR_8c54587dfdf4504a one-sided HOLD: can exact 'аналитика показателей продавца' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_08b2416d87c2ee66 | M9PAIR_0d58aebddbb1e7cf | M9PAIR_14574bc5de1ed8b8 | M9PAIR_1776d529bc703788 | M9PAIR_197bd3abc5ec717b | M9PAIR_304eda62da6a4399 | M9PAIR_3429c296232f1f0b | M9PAIR_38652506add75b7c | M9PAIR_3a7d9976b378c731 | M9PAIR_3d55b7e09bc0243d | M9PAIR_3d8f37db3a857ddd | M9PAIR_410d1f7e2657c027 | M9PAIR_476472678a4bc9fa | M9PAIR_4e98492c1acee14a | M9PAIR_589d3471b4041358 | M9PAIR_5c240d5e56300ce5 | M9PAIR_5cacaf933fd49539 | M9PAIR_650eae7fd4680959 | M9PAIR_73e2a5846c34b657 | M9PAIR_73f80ebf5c4f1a87 | M9PAIR_781a556825454c72 | M9PAIR_78c7be28cd092821 | M9PAIR_8849aa4f1e2edc31 | M9PAIR_88a2506da32b127a | M9PAIR_8a3d6ae19d719cc3 | M9PAIR_8bf3e4fb2988e891 | M9PAIR_8c54587dfdf4504a | M9PAIR_8ed302f84b86fc86 | M9PAIR_8fe056718131aa7e | M9PAIR_91118fdf0644c486 | M9PAIR_93f72f75d976d6dd | M9PAIR_9762cd730d51947c | M9PAIR_9839443e982af157 | M9PAIR_9abd0fb185d3660c | M9PAIR_9cd4ea902593fe74 | M9PAIR_9d05c5ccfcd927ab | M9PAIR_9dd8e6e914908bea | M9PAIR_a502e6de1417e33c | M9PAIR_a864050ba413f951 | M9PAIR_ac092cb9e2bd6276 | M9PAIR_ad820e48f50b48b0 | M9PAIR_b987794b52be2088 | M9PAIR_ba707f85aa80a105 | M9PAIR_ba7f5c2a53705c75 | M9PAIR_ba9124f9884fbac5 | M9PAIR_bdbe50f27910bcd4 | M9PAIR_be32cc43355eec20 | M9PAIR_c13a6f19f2bb5e41 | M9PAIR_c8eb6143ef8b219a | M9PAIR_cd7a5967ec8e98b7 | M9PAIR_ce587be20036c04c | M9PAIR_d81bcd1b5cd72d9b | M9PAIR_dc51345e7cb65e8a | M9PAIR_dd31dcad09fe5300 | M9PAIR_df8768b0e3b9bfd7 | M9PAIR_e03916a8a43b8b42 | M9PAIR_e48ffe6a61dbfd32 | M9PAIR_ebd01d976b6825ce | M9PAIR_ed5cff117be6b3d2 | M9PAIR_f95df01d7a0c63cd | M9PAIR_fed574f9eda4c878	60	9	YES	M9PAIR_63bc080d35f91592	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_8c54587dfdf4504a; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_002_78187c521b37867e	2	M8SID_78187c521b37867e	отчеты маркетплейсов примеры	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_78187c521b37867e.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	28	3	PASS	Resolve M9 M9PAIR_2df4b14d6e23b65d one-sided HOLD: can exact 'отчеты маркетплейсов примеры' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_0362ec473e06f313 | M9PAIR_0773954e3210a9c5 | M9PAIR_0a832e86e746220c | M9PAIR_0ae9b59a65ed6ba3 | M9PAIR_0c3408511a230580 | M9PAIR_1cad0573f1176676 | M9PAIR_226682c9c6179de8 | M9PAIR_249f525373c05dcd | M9PAIR_2a7356216aad98c1 | M9PAIR_2df4b14d6e23b65d | M9PAIR_30a9758d659ea3af | M9PAIR_31023acf2ffc4cd4 | M9PAIR_38652506add75b7c | M9PAIR_52c12370ef34c005 | M9PAIR_570e7be5d23630b8 | M9PAIR_59933705377cd1f9 | M9PAIR_5a9a45c7cae71c81 | M9PAIR_65cbcfb7f2a8600f | M9PAIR_6ca7c3d6c947b6e1 | M9PAIR_6dc89da0ac8fe4db | M9PAIR_6e083ca5ca81eb93 | M9PAIR_6e957be2c12289b0 | M9PAIR_71003c8cbf5391e8 | M9PAIR_7606626fed002cf8 | M9PAIR_874ea0fdf118bc4e | M9PAIR_88ab27b68270d57d | M9PAIR_909445c1e7f01786 | M9PAIR_927d1919c5aaed7a | M9PAIR_9a6b0012f30cc36e | M9PAIR_9f9ac864499203c1 | M9PAIR_a31e76b4b79ef377 | M9PAIR_aa21dc16f5e308bb | M9PAIR_ac64d13b97145307 | M9PAIR_b0d98cd4c42a8e00 | M9PAIR_b7f9c909b933ffa2 | M9PAIR_beb6c3065bcaada2 | M9PAIR_c665e784777b5b31 | M9PAIR_d08f6e143802117d | M9PAIR_d16a7ed860d62e92 | M9PAIR_dc08f8e65044a589 | M9PAIR_de8e3514b94879d4 | M9PAIR_e0e5f3a36b961a30 | M9PAIR_e203cbc6f59432c6 | M9PAIR_e8d059a449d6940d | M9PAIR_ebc5b23f2a1b94f2 | M9PAIR_f3c68c801e428820 | M9PAIR_fbe6323bc0ee29e3	46	9	YES	M9PAIR_63bc080d35f91592	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_2df4b14d6e23b65d; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	M2R_DIRECT_RESULT	M2R:line=859:M2R/M2R-A03	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_003_8850a7f387c57a62	3	M8SID_8850a7f387c57a62	отчет для селлеров	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_8850a7f387c57a62.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	18	3	PASS	Resolve M9 M9PAIR_a4c645108eee33d8 one-sided HOLD: can exact 'отчет для селлеров' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_055ef56343f0aaf4 | M9PAIR_0ae9b59a65ed6ba3 | M9PAIR_0bd809088040b492 | M9PAIR_0fd8398679b5c915 | M9PAIR_1259cf649b966469 | M9PAIR_1532721e3f09f1ae | M9PAIR_2da82ebd89af94cb | M9PAIR_2e6865fc7b1099d4 | M9PAIR_3323f4c96d3364b4 | M9PAIR_3418d0d8fdaafc91 | M9PAIR_3fbcf71bad469ff0 | M9PAIR_40d0a007e922dc70 | M9PAIR_4111434c46771112 | M9PAIR_43ad57b57894522c | M9PAIR_4af661bb9d4abf33 | M9PAIR_51c860c5951949e8 | M9PAIR_543e270af621a016 | M9PAIR_56970df086077ee3 | M9PAIR_59304378c985e33a | M9PAIR_5ba3a22f284e541f | M9PAIR_61f7102f48f4f0f0 | M9PAIR_69677b1e15baeff3 | M9PAIR_6d05dd885ee3a373 | M9PAIR_78d01f5f260d0428 | M9PAIR_78fbbb3567acfafd | M9PAIR_7c8988a6399c1252 | M9PAIR_816459b20ca7e973 | M9PAIR_8b12b17d57821fe7 | M9PAIR_8f00d08647a950cb | M9PAIR_98b9e814a0ab690f | M9PAIR_a4c645108eee33d8 | M9PAIR_a5ed73b4d37f8092 | M9PAIR_aa79a9deed928f80 | M9PAIR_b0250b0902c8f3bf | M9PAIR_b4883c6107df1212 | M9PAIR_bb6a34ad802b4dc9 | M9PAIR_be8d822ae4cf5d1f | M9PAIR_bf4c97d7a9ddc763 | M9PAIR_c2e3aa32862a44e0 | M9PAIR_c865370fdd68aa8b | M9PAIR_c87b658548c796ff | M9PAIR_e48ffe6a61dbfd32 | M9PAIR_eb264357eb0aa122 | M9PAIR_f9be7abc4b47d889 | M9PAIR_f9d45b0a63ff7d96 | M9PAIR_fdb68b9ec3e3f4b8 | M9PAIR_ff213488f5376b6b	46	9	YES	M9PAIR_63bc080d35f91592	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_a4c645108eee33d8; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	M2R_DIRECT_RESULT	M2R:line=885:M2R/M2R-A04	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_004_e10faa73a1384257	4	M8SID_e10faa73a1384257	отчеты для селлеров	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_e10faa73a1384257.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_TESTED_SEED; empty/totalCount-only is not positive demand.	19	3	PASS	Resolve M9 M9PAIR_6fb72a100ec07178 one-sided HOLD: can exact 'отчеты для селлеров' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_05c101cbc522d3f8 | M9PAIR_0c568ac5fbb40ead | M9PAIR_11eafbd6d106a025 | M9PAIR_186c04c6e513322a | M9PAIR_1dc6fa8fcfe2b376 | M9PAIR_2937955f1e9a3e0f | M9PAIR_2982ed12a355ad2c | M9PAIR_2d2f3ee0faa5f618 | M9PAIR_2f1a6300608ab4e2 | M9PAIR_2fc0ca3ae4c173e6 | M9PAIR_3688d7c365e349af | M9PAIR_36f1c61efbca1983 | M9PAIR_43ad57b57894522c | M9PAIR_494318061db9352f | M9PAIR_49a1197637e7fdd0 | M9PAIR_49eb2bc13f9b008e | M9PAIR_51a7934d49d690cc | M9PAIR_5235c3935e481799 | M9PAIR_5323c4e90930118f | M9PAIR_55235abce9bb6529 | M9PAIR_5c6be56ec1494ae1 | M9PAIR_5d2c55f7985c8645 | M9PAIR_604fe483f94760a8 | M9PAIR_650eae7fd4680959 | M9PAIR_6ca7c3d6c947b6e1 | M9PAIR_6fb72a100ec07178 | M9PAIR_72b2069fba7a9553 | M9PAIR_7505ce1488cb1769 | M9PAIR_7628913554540295 | M9PAIR_768addfb146336b2 | M9PAIR_7abafc35f7138d72 | M9PAIR_7f44ff8073cdfa0c | M9PAIR_9107ab02a3a25caf | M9PAIR_9daa293159585ed9 | M9PAIR_a0fae1829a6c4b74 | M9PAIR_a1991942951d7ff7 | M9PAIR_b07e46ff9432c41d | M9PAIR_b3bf78e10ae3928c | M9PAIR_b6ce18aae1567bc3 | M9PAIR_b8f3c206e2d3b7b0 | M9PAIR_c32acfa7f5114436 | M9PAIR_cdc151c85a0c385d | M9PAIR_d4ce115e11349d29 | M9PAIR_e380b1c504816cec | M9PAIR_ee9ea2dd11108a8b | M9PAIR_f149ff6074cf70d6 | M9PAIR_f1ba17c32de91397	46	9	YES	M9PAIR_63bc080d35f91592	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_6fb72a100ec07178; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	M2R_TESTED_SEED	M2R:line=884:M2R/M2R-A04	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_005_8332eb45850054b1	5	M8SID_8332eb45850054b1	ии аналитика маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_8332eb45850054b1.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	26	3	PASS	Resolve M9 M9PAIR_f01d582cc3187d30 one-sided HOLD: can exact 'ии аналитика маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_05de1b08b2e7e6eb | M9PAIR_0b84b8ab4532b74b | M9PAIR_1237b405de269c66 | M9PAIR_20d13838481d6fa0 | M9PAIR_213c413b7b0ed207 | M9PAIR_2a6ad3b2cf873195 | M9PAIR_2fa1323516b2fcb3 | M9PAIR_35429bc5ebb003f0 | M9PAIR_3a2502b5e27935cc | M9PAIR_3a3ce13f391d67c0 | M9PAIR_4930e0a140a81cb8 | M9PAIR_55235abce9bb6529 | M9PAIR_5697ef4f3a8c3032 | M9PAIR_654173f31b9b4a6b | M9PAIR_654f8206efd5a374 | M9PAIR_65cd278f87294cfc | M9PAIR_73f80ebf5c4f1a87 | M9PAIR_7c8988a6399c1252 | M9PAIR_83c6206ae4af6c05 | M9PAIR_861a64aa3607c3b4 | M9PAIR_8646bcfa22dbe646 | M9PAIR_8df413f5fa4dc877 | M9PAIR_9620d364be33d2e2 | M9PAIR_a2cdad2a2147e7d2 | M9PAIR_b3ce314dd710becd | M9PAIR_ba62cc9cc21dcb62 | M9PAIR_bb4c9a9833b5e8c6 | M9PAIR_c0baceaf491e637f | M9PAIR_c2422cd1636a17b1 | M9PAIR_c67ed48f1093245f | M9PAIR_d4da837efd305068 | M9PAIR_da723d356e74c731 | M9PAIR_dcdff2fe306706e2 | M9PAIR_e1ccf2b2cf6e9ab3 | M9PAIR_e203cbc6f59432c6 | M9PAIR_e943952629c2532e | M9PAIR_eda0939adbecd324 | M9PAIR_f01d582cc3187d30 | M9PAIR_f678df3291885225 | M9PAIR_f916c357e8a3a789 | M9PAIR_f94cb0b0b3b4fa98 | M9PAIR_fd9506ebfa8e12a4	41	9	YES	M9PAIR_63bc080d35f91592 | M9PAIR_d8d09565d02e3ba1	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_f01d582cc3187d30; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592 | M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=685:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_006_c4d7f4ca514dc5fd	6	M8SID_c4d7f4ca514dc5fd	ии анализ продаж маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_c4d7f4ca514dc5fd.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_EMPTY_SUCCESS_SEED; empty/totalCount-only is not positive demand.	30	4	PASS	Resolve M9 M9PAIR_6d57640c92aee8ee one-sided HOLD: can exact 'ии анализ продаж маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_00048fd99ef5ef05 | M9PAIR_01e40bb29507ce3d | M9PAIR_03f882369ac9890e | M9PAIR_09bd027e8c048f02 | M9PAIR_0a832e86e746220c | M9PAIR_0b4ff8c11525a6b9 | M9PAIR_0c568ac5fbb40ead | M9PAIR_0dcc910006f926ea | M9PAIR_105151d6a252e6a1 | M9PAIR_1237b405de269c66 | M9PAIR_18c470ec6c577446 | M9PAIR_1f5f704f29920b0b | M9PAIR_4082b166c50c93f9 | M9PAIR_41c4c51f18a5e8b8 | M9PAIR_424edc1db1da10f4 | M9PAIR_46f936d83587080f | M9PAIR_4dcf58063cfd95b2 | M9PAIR_57a6151158aaa9ff | M9PAIR_635da38f35161689 | M9PAIR_6d57640c92aee8ee | M9PAIR_7909e5d516fa6645 | M9PAIR_7cbacf28ec35c681 | M9PAIR_82d7c04aee4f8293 | M9PAIR_830d7b953ee70908 | M9PAIR_8874fd906259ee68 | M9PAIR_8d7313ff4ba4ae62 | M9PAIR_95ca19ca27bfb537 | M9PAIR_9839443e982af157 | M9PAIR_a02297c74e6bde96 | M9PAIR_a7b440aa3f40bc97 | M9PAIR_b863961315fb7a78 | M9PAIR_b9859b30fc2d45b2 | M9PAIR_bc7ae57480d3e87b | M9PAIR_be32c93b26c03bdf | M9PAIR_c0685fe2085b478f | M9PAIR_c079ea1c6093418c | M9PAIR_c1ae854792a0b350 | M9PAIR_c2b6f0db91d3d281 | M9PAIR_c865370fdd68aa8b | M9PAIR_d6d39990d9bd7773 | M9PAIR_df38397ce2e58cec | M9PAIR_ea4e1c8ccd6b9f8c	41	9	YES	M9PAIR_63bc080d35f91592 | M9PAIR_d8d09565d02e3ba1	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_6d57640c92aee8ee; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592 | M9PAIR_d8d09565d02e3ba1.	M2R_EMPTY_SUCCESS_SEED	M2R:line=302:B01/B01-12	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_007_e008cf0c1b28b363	7	M8SID_e008cf0c1b28b363	аналитика маркетплейсов с ии	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_e008cf0c1b28b363.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_TOTALCOUNT_ONLY_SEED; empty/totalCount-only is not positive demand.	28	4	PASS	Resolve M9 M9PAIR_18eeea079eb0a441 one-sided HOLD: can exact 'аналитика маркетплейсов с ии' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_05de1b08b2e7e6eb | M9PAIR_0c716a3f7738336f | M9PAIR_0e52cbe485e94f76 | M9PAIR_18eeea079eb0a441 | M9PAIR_1dc6fa8fcfe2b376 | M9PAIR_287e6f981eb3b15c | M9PAIR_3673660bc5612614 | M9PAIR_377c34fb730e4dc8 | M9PAIR_3d08ccceeb583f15 | M9PAIR_478bdb0ff1628d0b | M9PAIR_499c7bf225762be3 | M9PAIR_4ca13ae2088b664d | M9PAIR_5e27d2066dd6132b | M9PAIR_5f39e4f930ffa0d6 | M9PAIR_6262ab07b1ad96d0 | M9PAIR_6298c73f65ce9f71 | M9PAIR_6c75221eac397e56 | M9PAIR_755237b55da29749 | M9PAIR_7796be5efc8e2b50 | M9PAIR_86cb401861cb7c2a | M9PAIR_98b9e814a0ab690f | M9PAIR_998ee3ae6bfa2cbd | M9PAIR_9ac95d1ae3a1b471 | M9PAIR_9ef9576b4cd35f82 | M9PAIR_a277a70e796ae0e3 | M9PAIR_a27ca169cc7e94b4 | M9PAIR_a8ed2cc89a3bd14e | M9PAIR_aa4208ac700d3681 | M9PAIR_b7209ac0bd071911 | M9PAIR_bd7f6edea3319fbc | M9PAIR_be32c93b26c03bdf | M9PAIR_c13a6f19f2bb5e41 | M9PAIR_d1222cea0d5cfd06 | M9PAIR_d16a7ed860d62e92 | M9PAIR_d1d86d084e6c9c86 | M9PAIR_d984dabf816e16ac | M9PAIR_dc704dd0706e09d5 | M9PAIR_dccec92e61407bef | M9PAIR_e33679418a190111 | M9PAIR_f895f349da5ff150 | M9PAIR_fa9e3954ce5781d5 | M9PAIR_fc16b3718fc6300e	41	9	YES	M9PAIR_63bc080d35f91592 | M9PAIR_d8d09565d02e3ba1	9	Adds current RU225 Top100 exact-query Search side for 9 one-sided HOLD pair(s), including M9PAIR_18eeea079eb0a441; 9 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592 | M9PAIR_d8d09565d02e3ba1.	M2R_TOTALCOUNT_ONLY_SEED	M2R:line=182:B01/B01-04	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_008_171a63d986f4ed26	8	M8SID_171a63d986f4ed26	финансовые отчеты маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_171a63d986f4ed26.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	31	3	PASS	Resolve M9 M9PAIR_8b033e89b10726e1 one-sided HOLD: can exact 'финансовые отчеты маркетплейсов' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_0db1de845e6091bb | M9PAIR_1409fabcda52b8fb | M9PAIR_149ee31c7741ee1b | M9PAIR_199e4c9f369525d1 | M9PAIR_1a2aac3d94614a0a | M9PAIR_2196972a549c2b37 | M9PAIR_3c873a5b9c477057 | M9PAIR_47f90903d01eadc8 | M9PAIR_4ad9df14a0e35197 | M9PAIR_5aa1f2f735b07592 | M9PAIR_5b3de68d12df1d30 | M9PAIR_5d02af714fcb0f0c | M9PAIR_5e9050e522923aee | M9PAIR_6ff3cf6b267fea79 | M9PAIR_71b7062dafdf7002 | M9PAIR_7505ce1488cb1769 | M9PAIR_78b2edcbdd20fe52 | M9PAIR_849c396bb6bc2c1d | M9PAIR_8b033e89b10726e1 | M9PAIR_907ed8471275065b | M9PAIR_909445c1e7f01786 | M9PAIR_930fa62a1b237165 | M9PAIR_9dd8e6e914908bea | M9PAIR_a78361a6c204b8d9 | M9PAIR_b4883c6107df1212 | M9PAIR_bcf01d36c685cbed | M9PAIR_c088e052306ef496 | M9PAIR_c65018e53138d9cc | M9PAIR_ca626bde6d39d6b0 | M9PAIR_e8fac15c328ba7a5 | M9PAIR_f21e696841723dd0	30	6	YES	M9PAIR_63bc080d35f91592	6	Adds current RU225 Top100 exact-query Search side for 6 one-sided HOLD pair(s), including M9PAIR_8b033e89b10726e1; 6 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	M2R_DIRECT_RESULT	M2R:line=844:M2R/M2R-A03	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_009_3bf57790dda15865	9	M8SID_3bf57790dda15865	Сверка отчетов с Wildberries	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_3bf57790dda15865.canonical_display_text	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Plain seller task of reconciling Wildberries reports.	28	4	PASS	Resolve M9 M9PAIR_a76b93f322de42fe one-sided HOLD: can exact 'Сверка отчетов с Wildberries' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_0ac7276fe42ccd38 | M9PAIR_1259cf649b966469 | M9PAIR_181a150a1014c686 | M9PAIR_1cdd1e2cbadad4d5 | M9PAIR_1fcfd88284cbc6f2 | M9PAIR_288e2a0e5b1dfe61 | M9PAIR_2f1a6300608ab4e2 | M9PAIR_3f8f6554efc0f9f8 | M9PAIR_476472678a4bc9fa | M9PAIR_5133862eb80d30fd | M9PAIR_6d9584f90a592ae5 | M9PAIR_6e083ca5ca81eb93 | M9PAIR_72b79566683d095f | M9PAIR_76e35c11f3d73f7b | M9PAIR_788fab4e32051cd6 | M9PAIR_7e878c6c5ea91993 | M9PAIR_820e7bf3c0502909 | M9PAIR_83623c6e9f26962b | M9PAIR_87c8d1808b030849 | M9PAIR_8dabf1123f179eb7 | M9PAIR_939ef74c9593899e | M9PAIR_94a2ebbd19f13a46 | M9PAIR_a76b93f322de42fe | M9PAIR_b46424a8a513d14a | M9PAIR_b7215cf99f50a2f1 | M9PAIR_bedf3b6bdd30c883 | M9PAIR_c1685b6ba60e51e1 | M9PAIR_c9be1d618d7b06de | M9PAIR_ca626bde6d39d6b0 | M9PAIR_d55b8108cfcfebc4 | M9PAIR_d61349f0919c6cb3 | M9PAIR_d8fc504bbab73c77 | M9PAIR_e416efa09a9843fe | M9PAIR_f67b329738c438ea | M9PAIR_f8a6cc41eb8b3196 | M9PAIR_fbc6d8310d5b825d | M9PAIR_fe79342536d66d56	36	5	YES	M9PAIR_63bc080d35f91592	5	Adds current RU225 Top100 exact-query Search side for 5 one-sided HOLD pair(s), including M9PAIR_a76b93f322de42fe; 5 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_010_7c23963a6f4bc9db	10	M8SID_7c23963a6f4bc9db	Сверка отчетов с Ozon	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_7c23963a6f4bc9db.canonical_display_text	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Plain seller task of reconciling Ozon reports.	21	4	PASS	Resolve M9 M9PAIR_f5b39c8254770692 one-sided HOLD: can exact 'Сверка отчетов с Ozon' and existing anchor 'загрузка отчетов с маркетплейсов' share a product-safe Search answer?	M9PAIR_073e4f890bf22658 | M9PAIR_199e4c9f369525d1 | M9PAIR_2aab30cbf4f3ceaf | M9PAIR_4c27170947d87345 | M9PAIR_51a7934d49d690cc | M9PAIR_53ce1754b53125ae | M9PAIR_6184da45f0d93f7b | M9PAIR_71484b1d153b347b | M9PAIR_73e2a5846c34b657 | M9PAIR_7ad85899659e2343 | M9PAIR_8b003c469a922e13 | M9PAIR_999e78733fd83a44 | M9PAIR_9f9ac864499203c1 | M9PAIR_be8d822ae4cf5d1f | M9PAIR_d21a0342b29aa44a | M9PAIR_e46be14b59750da2 | M9PAIR_e6f110ab6fe00d09 | M9PAIR_f5b39c8254770692 | M9PAIR_f8242ff72abb1cbf | M9PAIR_fe24bdc659d769a6	19	5	YES	M9PAIR_63bc080d35f91592	5	Adds current RU225 Top100 exact-query Search side for 5 one-sided HOLD pair(s), including M9PAIR_f5b39c8254770692; 5 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_63bc080d35f91592.	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
