case_id	source_m5_hypothesis_ids	exact_ai_prompt	marketplace_scope	task_or_intent_scope	snapshot_count	request_ids	m10c_terminal_evidence_state	source_role_summary	official_marketplace_source_state	byo_llm_signal_state	autonomous_write_signal_state	report_accounting_signal_state	variability_summary	evidence_quality_state	raw_evidence_refs	terminal_closure_ref	claim_boundary
M10BCASE_e5e5533784063649	M5H00001	ии помощник селлера	MARKETPLACE_UNSPECIFIED	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	2	search-bd634526-efca-44a3-bdf4-3bd12801a529 | search-b1e138cb-4c3e-4cc3-b0ef-6c537da590bb	STABLE_MIXED_CAPABILITY_FRAMING	Third-party seller assistant/service pages; used set stable across both snapshots. Mixed bounded analytics and stronger mutation claims; helper/agent boundary remains open	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	NO_EXPLICIT_USER_SELECTED_LLM_BRIDGE_IN_USED_SYNTHESIS	CARD_EXPORT_AND_PROMOTIONS_IN_THIRD_PARTY_CLAIMS	SELLER_REPORT_ANALYTICS_PRESENT	Two accepted snapshots; used URL intersection 4/4; STABLE_SOURCES_MIXED_CAPABILITIES; unresolved task boundary	STABLE_SOURCES_MIXED_CAPABILITIES; unresolved task boundary	docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE01_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_c0815ba7ee0ba5b2	M5H00002	подключить ии к маркетплейсу	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	1	search-ccc53292-fcb1-4a8c-bcd5-35c1acd97026	COHERENT_CONNECTOR_MCP_FRAMING	Used UniSeller/MP Manager MCP and MarketAut connector sources; generic returned items unused. Connector/MCP seller-data job positively observed; no product capability inference	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	POSITIVE_CHOOSE_AI_AND_CONNECT_MCP_SIGNAL	READ_ONLY_SCOPE_UNPROVEN; third-party tooling may exceed launch scope	SELLER_DATA_QUERY_EXAMPLES_PRESENT	One accepted snapshot; COHERENT_SINGLE_SNAPSHOT; no repeat trigger under accepted closure	COHERENT_SINGLE_SNAPSHOT; no repeat trigger under accepted closure	docs/seo/evidence/m10c/M10C_CASE02_SNAPSHOT01_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_840dee47a90532a8	M5H00005	ии агент для озон	OZON	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	1	search-5076b59e-eaad-4afe-acec-df2ae68cd2b3	COHERENT_AUTONOMOUS_WRITE_FRAMING	Promto, JAFO, БЕРКУЗ, MarketAut: third-party operational agents. Ozon autonomous/write agent observed, unlike current read-only product	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	NO_PROVEN_BOUNDED_BYO_LLM_WORKFLOW	POSITIVE_PRICE_CARD_AD_REVIEW_STOCK_ACTION_CLAIMS_THIRD_PARTY	ANALYTICS_ADJACENT_TO_MANAGEMENT	One accepted snapshot; COHERENT_SINGLE_SNAPSHOT; marketplace Ozon explicit	COHERENT_SINGLE_SNAPSHOT; marketplace Ozon explicit	docs/seo/evidence/m10c/M10C_CASE03_SNAPSHOT01_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_e56413a05b57e358	M5H00006	chatgpt для ozon	OZON	chosen LLM to authorized seller data versus generic third-party integrations	2	search-59200248-1c6c-4ff8-ab34-846ce8d5a4e8 | search-913a0c24-3471-4f21-8de4-a5dec93fa1f6	STABLE_MIXED_CONNECTOR_CONTENT_ANALYTICS_FRAMING	ApiMonster/JAFO connector; Cossa/XWAY/Ozon media content; Tablichki reporting. Connector versus generic content versus analytic tasks coexist	OZON_MEDIA_USED_FOR_CONTENT_CONTEXT_ONLY; NOT_SELLER_API_PROOF	CONNECTOR_SIGNAL_PRESENT_BUT_MODE_MIXED	AUTOMATION_LANGUAGE_IN_THIRD_PARTY_CLAIMS_NOT_PRODUCT_TRUTH	FILE_OR_EXPORT_ANALYTICS_ADJACENT	Two accepted snapshots; used URL intersection 6/6; TWO_SNAPSHOTS_STABLE_ROLE_MIX; ordering and wording vary	TWO_SNAPSHOTS_STABLE_ROLE_MIX; ordering and wording vary	docs/seo/evidence/m10c/M10C_CASE04_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE04_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE04_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_789a835e7de15e13	M5H00010	chatgpt для wildberries	WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	2	search-debc7610-8460-4b57-91dc-651846df68cf | search-e1909455-84bf-4dbf-bcde-9287a38bff23	STABLE_MIXED_LIVE_CONNECTOR_AND_FILE_REPORT_ANALYTICS	ApiMonster/JAFO connection and Legasoft/Tablichki/Fin Academy file-report workflows. Live access versus manual file processing remains separate task context	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	LIVE_CONNECTOR_AND_OFFLINE_FILE_MODES_MIXED	NO_OCTOPORT_WRITE_CAPABILITY_PROVEN	FILE_REPORT_AND_LIVE_API_ANALYSIS_COEXIST	Two accepted snapshots; used URL intersection 5/5; TWO_SNAPSHOTS_SAME_USED_SOURCES; answer tokens stable	TWO_SNAPSHOTS_SAME_USED_SOURCES; answer tokens stable	docs/seo/evidence/m10c/M10C_CASE05_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE05_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE05_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_9ef8cb07387160b6	M5H00012	подключить chatgpt к маркетплейсу	OZON	chosen LLM to authorized seller data versus generic third-party integrations	2	search-41b1e208-e09b-4766-b309-cdb8000d8358 | search-987f52d9-a0d8-4f34-b103-58a8930bb144	STABLE_CONNECTOR_REPORT_MIX_WITH_PERSISTENT_SCOPE_CONTAMINATION	SDVG Bitrix24, ApiMonster Ozon, JAFO WB/Ozon, Fin Academy reports. Seller marketplace and software app marketplace collide	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	CONNECTOR_SIGNAL_MIXED_WITH_UNRELATED_APP_MARKETPLACE	JAFO_MANAGEMENT_CLAIMS_OUTSIDE_CURRENT_PRODUCT_TRUTH	FILE_REPORT_MODE_ALSO_USED	Two accepted snapshots; used URL intersection 4/6; TWO_SNAPSHOTS_PERSISTENT_SCOPE_CONTAMINATION; one general source rotates	TWO_SNAPSHOTS_PERSISTENT_SCOPE_CONTAMINATION; one general source rotates	docs/seo/evidence/m10c/M10C_CASE06_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE06_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE06_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_503322b8af3825a8	M5H00016	ии агенты для маркетплейсов	OZON_AND_WILDBERRIES	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	1	search-2e2e2e68-846f-4335-9838-2158fa266cb1	COHERENT_AUTONOMOUS_MARKETPLACE_AGENT_FRAMING	KT-Team, JVO and БЕРКУЗ third-party autonomous seller agents. Generic agent answer centers on operational autonomous actions	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	NO_BOUNDED_USER_SELECTED_LLM_BRIDGE_PROVEN	POSITIVE_AUTONOMOUS_STORE_OPERATION_CLAIMS_THIRD_PARTY	ANALYTICS_ONLY_ONE_PART_OF_AGENT_SCOPE	One accepted snapshot; COHERENT_SINGLE_SNAPSHOT; no repeat trigger under accepted closure	COHERENT_SINGLE_SNAPSHOT; no repeat trigger under accepted closure	docs/seo/evidence/m10c/M10C_CASE07_SNAPSHOT01_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_d3950384418e3bbd	M5H00023	сервис аналитики маркетплейсов	MARKETPLACE_UNSPECIFIED	seller-owned store analytics versus external market intelligence or promised automation	2	search-5bd426b6-f2ed-4606-9756-07b29bf76970 | search-bd76ae83-1a4d-4497-a0fa-86310b885c1e	STABLE_MIXED_OWNED_AND_EXTERNAL_ANALYTICS_SINGLE_SOURCE_SYNTHESIS	Tproger roundup is sole used synthesis source in both; other returned sources unused. Comparative services combine seller metrics and external intelligence	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	NO_SPECIFIC_OWN_LLM_CONNECTOR_PROOF	AUTOMATION_ADJACENCY_ONLY	OWN_STORE_STOCK_MARGIN_VS_EXTERNAL_NICHE_COMPETITOR_MIXED	Two accepted snapshots; used URL intersection 1/1; TWO_SNAPSHOTS_SINGLE_USED_ROUNDUP; no independent source triangulation	TWO_SNAPSHOTS_SINGLE_USED_ROUNDUP; no independent source triangulation	docs/seo/evidence/m10c/M10C_CASE08_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE08_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_93993613e7003b69	M5H00024 | M5H00053	ии для аналитики маркетплейсов	OZON_AND_WILDBERRIES	seller-owned store analytics versus external market intelligence or promised automation	2	search-c2bb0393-3e2c-4246-80bb-2705c209284f | search-58b88d6b-a5ca-4fc5-a978-c2c0d65856ed	STABLE_OWN_STORE_AI_ANALYTICS_LEAN_WITH_MIXED_ACCESS_MODES	Tablichki, RocketMetrix and Komanda.ai used in both snapshots. Seller-owned data dominates used-source answer; access method unresolved	NO_OFFICIAL_MARKETPLACE_USED_SOURCE	MIXED_FILE_API_BROADER_AI_ACCESS; NO_UNIVERSAL_LIVE_CONNECTOR	NO_PRODUCT_WRITE_AUTHORIZATION	OWN_STORE_OPERATIONAL_METRICS_DOMINANT	Two accepted snapshots; used URL intersection 3/3; TWO_SNAPSHOTS_STABLE_USED_CORE; unused external roundup not treated as proof	TWO_SNAPSHOTS_STABLE_USED_CORE; unused external roundup not treated as proof	docs/seo/evidence/m10c/M10C_CASE09_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE09_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
M10BCASE_975659397140bfbd	M5H00025	ии ассистент для маркетплейсов	OZON_AND_WILDBERRIES	native marketplace AI assistant versus the user-selected LLM bridge	2	search-c4086f64-7049-44f8-9bcb-e80cadea117f | search-9df0338b-041b-4670-b28e-57e1d07506f5	BYTE_STABLE_THIRD_PARTY_AI_ASSISTANT_PRODUCTS	Blaber.AI, SELLER MOON, InfoSell, JAFO used; Komanda.ai returned unused. Independent third-party service mix, not native-feature proof	NO_NATIVE_OFFICIAL_USED_SOURCE; NO_NEGATIVE_MARKET_CLAIM	NO_EXPLICIT_BYO_BRIDGE_IN_THIS_ANSWER_ONLY	THIRD_PARTY_AUTONOMOUS_CLAIMS_PRESENT	SELLER_ANALYTICS_SERVICE_PRESENT	Two accepted snapshots; used URL intersection 4/4; TWO_SNAPSHOTS_BYTE_STABLE; source absence not market absence	TWO_SNAPSHOTS_BYTE_STABLE; source absence not market absence	docs/seo/evidence/m10c/M10C_CASE10_SNAPSHOT01_SEARCH_RESULT_V1.json | docs/seo/evidence/m10c/M10C_CASE10_SNAPSHOT02_SEARCH_RESULT_V1.json	docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md	Accepted GenSearch observation, not Wordstat demand, official truth from third-party claims, Octoport capability, consumer Alice equivalence or page ownership.
