ID	Существующий_тест	Что_переносить_на_WB	Статус_новой_сборки
IMP-01	tests/regression/imported/ozon-v0.1.22/validation/build_ozon_seller_step7_terminal_matrix.py	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-02	tests/regression/imported/ozon-v0.1.22/validation/indexeddb-transaction-durability-v1/run_prefix_transaction_abort_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-03	tests/regression/imported/ozon-v0.1.22/validation/indexeddb-transaction-durability-v1/run_secondary_dependency_sweep.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-04	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_defect_015_date_repair_gate.mjs	Provider-specific: сопоставить WB auth/error/date/schema отдельно	INVENTORIED_NOT_RUN
IMP-05	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_effect_read_repair_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-06	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_live_gate_corrective_regression.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-07	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_provider_taxonomy_gate.mjs	Provider-specific: сопоставить WB auth/error/date/schema отдельно	INVENTORIED_NOT_RUN
IMP-08	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_report_file_lifecycle_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-09	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_report_file_session_fail_closed_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-10	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_report_xlsx_implicit_cell_ref_regression_2026-09-07.mjs	Парсер: оставить регрессии Ozon; дополнить фактическими форматами WB, не обещать XLSX там, где его нет	INVENTORIED_NOT_RUN
IMP-11	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_report_xlsx_namespace_parser_regression_2026-09-07.mjs	Парсер: оставить регрессии Ozon; дополнить фактическими форматами WB, не обещать XLSX там, где его нет	INVENTORIED_NOT_RUN
IMP-12	tests/regression/imported/ozon-v0.1.22/validation/read-effect-repair-v1/run_report_xlsx_relationship_target_regression_2026-09-06.mjs	Парсер: оставить регрессии Ozon; дополнить фактическими форматами WB, не обещать XLSX там, где его нет	INVENTORIED_NOT_RUN
IMP-13	tests/regression/imported/ozon-v0.1.22/validation/regression/run_direct_binary_provider_attachment_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-14	tests/regression/imported/ozon-v0.1.22/validation/swagger-read-surface-live-repair-2026-09-13/run_dependency_closure_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-15	tests/regression/imported/ozon-v0.1.22/validation/swagger-read-surface-live-repair-2026-09-13/run_full_worker_batch_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-16	tests/regression/imported/ozon-v0.1.22/validation/swagger-read-surface-live-repair-2026-09-13/run_runtime_predispatch_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-17	tests/regression/imported/ozon-v0.1.22/validation/swagger-read-surface-live-repair-2026-09-13/run_shared_consumer_parity_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-18	tests/regression/imported/ozon-v0.1.22/validation/swagger-read-surface-patch-2026-09-13/run_final_514_registry_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-19	tests/regression/imported/ozon-v0.1.22/validation/swagger-read-surface-patch-2026-09-13/run_patch_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-20	tests/regression/imported/ozon-v0.1.22/validation/v0122-live-defects-2026-09-14/run_v0122_dependency_closure_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
IMP-21	tests/regression/imported/ozon-v0.1.22/validation/v0122-live-defects-2026-09-14/run_v0122_live_defects_gate.mjs	Общая механика: перенести поведенческие проверки на два адаптера; параметры/ожидания Ozon не копировать	INVENTORIED_NOT_RUN
